"tax_id","org_name","genome_size","coding_genes","isolation_source","reference","ref_type"
706191,"Pantoea ananatis LMG 20103",4703373,4241,NA,"43085","bioproject_id"
580332,"Sideroxydans lithotrophicus",3003656,2980,NA,"33161","bioproject_id"
665029,"Erwinia amylovora CFBP1430",3833832,3735,NA,"46805","bioproject_id"
472759,"Nitrosococcus halophilus",4145260,3817,NA,"36589","bioproject_id"
716540,"Erwinia amylovora ATCC 49946",3905604,3553,NA,"43757","bioproject_id"
309800,"Haloferax volcanii",4012900,4018,NA,"12524","bioproject_id"
452662,"Sphingobium japonicum",4424862,4394,NA,"19949","bioproject_id"
572547,"Aminobacterium colombiense",1980592,1876,NA,"32587","bioproject_id"
641892,"Candidatus Sulcia muelleri DMIN",243933,226,NA,"37785","bioproject_id"
583355,"Coraliomargarita akajimensis",3750771,3120,NA,"33365","bioproject_id"
512564,"Mycoplasma crocodyli",934379,689,NA,"29021","bioproject_id"
637905,"Shewanella violacea",4962103,4346,NA,"34739","bioproject_id"
488538,"Candidatus Puniceispirillum marinum",2753527,2546,"Isolated from a surface seawater sample from the Western Pacific Ocean Margin (East Sea of Korea).","28081","bioproject_id"
545693,"Bacillus megaterium QM B1551",5523192,5612,NA,"30165","bioproject_id"
761659,"Salinibacter ruber M8",3832918,3257,NA,"48827","bioproject_id"
637386,"Yersinia pestis Z176003",4725788,3693,NA,"36547","bioproject_id"
547558,"Methanohalophilus mahii",2012424,1987,NA,"30711","bioproject_id"
264731,"Prevotella ruminicola",3619559,2763,NA,"10619","bioproject_id"
272942,"Rhodobacter capsulatus",3871920,3642,NA,"55","bioproject_id"
446469,"Sanguibacter keddieii",4253413,3710,NA,"19711","bioproject_id"
553199,"Propionibacterium acnes SK137",2495334,2352,NA,"31005","bioproject_id"
655815,"Zunongwangia profunda",5128187,4653,NA,"38641","bioproject_id"
640511,"Burkholderia sp. CCGE1002",7884858,6889,"Isolated from a Mimosa occidentalis nodule collected in Tepic, Nayarit, Mexico.","37719","bioproject_id"
515618,"Candidatus Riesia pediculicola",582127,556,NA,"29065","bioproject_id"
592022,"Bacillus megaterium DSM 319",5097447,5100,NA,"42425","bioproject_id"
562970,"Kyrpidia tusciae",3384766,3150,NA,"31345","bioproject_id"
509190,"Caulobacter segnis",4655622,4139,NA,"37277","bioproject_id"
748671,"Lactobacillus crispatus",2043161,2024,"Originally isolated from the crop of a chicken.","46813","bioproject_id"
1236608,"Moraxella catarrhalis BBH18",1863286,1886,NA,"46869","bioproject_id"
521674,"Planctopirus limnophila",5460085,4258,NA,"29411","bioproject_id"
635013,"Thermincola potens",3157416,2949,NA,"41467","bioproject_id"
75379,"Thiomonas intermedia",3462095,3172,NA,"33641","bioproject_id"
521096,"Tsukamurella paurometabola",4479724,4242,NA,"29399","bioproject_id"
526224,"Brachyspira murdochii",3241804,2809,NA,"29543","bioproject_id"
446466,"Cellulomonas flavigena",4123179,3678,NA,"19707","bioproject_id"
716541,"Enterobacter cloacae subsp. cloacae ATCC 13047",5598796,5518,NA,"48363","bioproject_id"
423212,"Legionella pneumophila 2300/99 Alcoy",3516334,3191,NA,"18743","bioproject_id"
762051,"Leuconostoc kimchii",2101787,2130,"Isolated from kimchi made of cabbage.","40837","bioproject_id"
573063,"Methanocaldococcus infernus",1328194,1441,NA,"32611","bioproject_id"
572480,"Arcobacter nitrofigilis",3192235,3126,NA,"32593","bioproject_id"
469371,"Thermobispora bispora",4189976,3546,NA,"20737","bioproject_id"
633148,"Thermosphaera aggregans",1316595,1387,NA,"36571","bioproject_id"
640132,"Segniliparus rotundus",3157527,3006,NA,"37711","bioproject_id"
714359,"Bacillus thuringiensis BMB171",5643051,5349,NA,"43631","bioproject_id"
759350,"Bifidobacterium longum subsp. longum JDM301",2477838,1959,NA,"47579","bioproject_id"
644284,"Arcanobacterium haemolyticum",1986154,1731,NA,"37925","bioproject_id"
439292,"Bacillus selenitireducens",3592487,3255,NA,"13376","bioproject_id"
589865,"Desulfurivibrio alkaliphilus",3097763,2620,NA,"33629","bioproject_id"
691437,"Geobacillus sp. C56-T3",3650813,3315,NA,"41701","bioproject_id"
526227,"Meiothermus silvanus",3721669,3505,NA,"29551","bioproject_id"
666681,"Methylotenera versatilis",3059871,2764,NA,"39983","bioproject_id"
446468,"Nocardiopsis dassonvillei",6543312,5497,NA,"19709","bioproject_id"
591019,"Staphylothermus hellenicus",1580347,1599,NA,"33683","bioproject_id"
583358,"Thermoanaerobacter mathranii",2306092,2159,NA,"33329","bioproject_id"
456320,"Methanococcus voltae",1936387,1717,NA,"20131","bioproject_id"
754252,"Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1",2616384,2375,NA,"46291","bioproject_id"
643648,"Syntrophothermus lipocalidus",2405559,2313,NA,"37873","bioproject_id"
649638,"Truepera radiovictrix",3260398,2945,NA,"38371","bioproject_id"
716544,"Waddlia chondrophila",2131905,1956,NA,"43761","bioproject_id"
216432,"Croceibacter atlanticus",2952962,2702,NA,"13570","bioproject_id"
548479,"Mobiluncus curtisii",2146480,1909,NA,"31519","bioproject_id"
639283,"Starkeya novella",4765023,4431,NA,"37659","bioproject_id"
525381,"Streptococcus pneumoniae TCH8431/19A",2088772,2275,NA,"34659","bioproject_id"
551115,"'Nostoc azollae' 0708",5486145,3651,NA,"30807","bioproject_id"
644295,"Methanohalobium evestigatum",2406232,2254,NA,"37945","bioproject_id"
693745,"Helicobacter pylori B8",1680029,1720,NA,"41831","bioproject_id"
436717,"Acinetobacter oleivorans",4152543,3874,NA,"46105","bioproject_id"
552811,"Dehalogenimonas lykanthroporepellens",1686510,1659,NA,"40221","bioproject_id"
582899,"Hyphomicrobium denitrificans ATCC 51888",3638969,3512,NA,"33261","bioproject_id"
105559,"Nitrosococcus watsonii",3373286,2908,NA,"40331","bioproject_id"
762550,"Leuconostoc gelidum subsp. gasicomitatum",1954080,1913,NA,"48123","bioproject_id"
757424,"Herbaspirillum seropedicae SmR1",5513887,4735,NA,"47945","bioproject_id"
749927,"Amycolatopsis mediterranei U32",10236715,9228,NA,"50565","bioproject_id"
634500,"Erwinia billingiae",5372268,4917,NA,"34781","bioproject_id"
795797,"Halalkalicoccus jeotgali",3698650,3873,NA,"49517","bioproject_id"
859656,"Ralstonia solanacearum CFBP2957",3417386,3229,NA,"50685","bioproject_id"
859657,"Ralstonia solanacearum PSI07",5618429,5000,NA,"50683","bioproject_id"
406817,"Xenorhabdus nematophila ATCC 19061",4587917,4549,NA,"13400","bioproject_id"
748727,"Clostridium ljungdahlii",4630065,4184,NA,"13492","bioproject_id"
765874,"Corynebacterium pseudotuberculosis FRC41",2337913,2110,NA,"48979","bioproject_id"
759914,"Brachyspira pilosicoli 95/1000",2586443,2301,NA,"48097","bioproject_id"
637380,"Bacillus cereus biovar anthracis CI",5486649,5558,NA,"36309","bioproject_id"
498216,"Lactobacillus casei Zhang",2898456,2835,NA,"28537","bioproject_id"
330214,"Nitrospira defluvii",4317083,4268,NA,"46433","bioproject_id"
666510,"Acidilobus saccharovorans",1496453,1499,NA,"39927","bioproject_id"
644282,"Desulfarculus baarsii",3655731,3277,NA,"37955","bioproject_id"
633147,"Olsenella uli",2051896,1739,NA,"36641","bioproject_id"
553174,"Prevotella melaninogenica",3168282,2296,NA,"31383","bioproject_id"
573413,"Sediminispirochaeta smaragdinae",4653970,4219,NA,"32637","bioproject_id"
610130,"Clostridium saccharolyticum WM1",4662871,4154,NA,"42097","bioproject_id"
555079,"Thermosediminibacter oceani",2280035,2197,NA,"30983","bioproject_id"
574087,"Acetohalobium arabaticum",2469596,2282,NA,"32769","bioproject_id"
633149,"Brevundimonas subvibrioides",3445263,3327,NA,"36643","bioproject_id"
515622,"Butyrivibrio proteoclasticus",4404886,3811,NA,"29153","bioproject_id"
608506,"Caldicellulosiruptor obsidiansis",2532343,2188,NA,"40355","bioproject_id"
573061,"Clostridium cellulovorans",5262222,4254,NA,"32609","bioproject_id"
395494,"Gallionella capsiferriformans",3162471,2894,NA,"32827","bioproject_id"
644283,"Micromonospora aurantiaca",7025559,6222,NA,"37957","bioproject_id"
79929,"Methanothermobacter marburgensis",1639135,1757,NA,"40103","bioproject_id"
314260,"Parvularcula bermudensis",2902643,2687,NA,"13509","bioproject_id"
580327,"Thermoanaerobacterium thermosaccharolyticum DSM 571",2785752,2601,NA,"33165","bioproject_id"
83406,"Gamma proteobacterium HdN1",4587455,3763,NA,"46849","bioproject_id"
872331,"Mycoplasma hyorhinis HUB-1",839615,658,NA,"51405","bioproject_id"
655816,"Bacillus subtilis subsp. spizizenii W23",4027676,4063,NA,"38713","bioproject_id"
706194,"Candidatus Sulcia muelleri CARI",276511,246,NA,"43087","bioproject_id"
871271,"Candidatus Zinderia insecticola",208564,206,NA,"51243","bioproject_id"
198628,"Dickeya dadantii 3937",4922802,4549,NA,"30","bioproject_id"
313603,"Maribacter sp. HTCC2170",3868304,3411,"Isolated from surface seawaters collected off the Oregon coast.","13595","bioproject_id"
583356,"Ignisphaera aggregans",1875953,1930,NA,"33361","bioproject_id"
189423,"Streptococcus pneumoniae 670-6B",2240045,2352,NA,"292","bioproject_id"
574093,"Streptococcus pneumoniae AP200",2130580,2216,NA,"32641","bioproject_id"
497965,"Cyanothece sp. PCC 7822",7841948,6642,NA,"28535","bioproject_id"
768066,"Halomonas elongata",4061296,3472,NA,"49333","bioproject_id"
679926,"Methanolacinia petrolearia",2843290,2785,NA,"40773","bioproject_id"
572478,"Vulcanisaeta distributa",2374137,2493,NA,"32589","bioproject_id"
640512,"Burkholderia sp. CCGE1003",7043595,5988,NA,"37721","bioproject_id"
665571,"Spirochaeta thermophila DSM 6192",2472645,2203,NA,"39877","bioproject_id"
563040,"Sulfurimonas autotrophica",2153198,2158,NA,"31347","bioproject_id"
573062,"Thermoanaerobacter sp. X513",2456520,2331,NA,"32613","bioproject_id"
550540,"Ferrimonas balearica",4279159,3782,NA,"30799","bioproject_id"
349520,"Paenibacillus polymyxa E681",5394883,4764,NA,"16065","bioproject_id"
861360,"Glutamicibacter arilaitensis Re117",3918192,3436,NA,"50353","bioproject_id"
692420,"Bacillus amyloliquefaciens DSM 7",3980199,3922,NA,"41719","bioproject_id"
765963,"Helicobacter pylori PeCan4",1638269,1563,NA,"49027","bioproject_id"
765962,"Helicobacter pylori SJM180",1658051,1581,NA,"49025","bioproject_id"
889932,"Lactobacillus plantarum subsp. plantarum ST-III",53560,3038,NA,"52949","bioproject_id"
637387,"Mycoplasma fermentans JER",977524,797,NA,"36551","bioproject_id"
712898,"Pantoea vagans",4888338,4590,NA,"43531","bioproject_id"
672161,"Chlamydia trachomatis B/TZ1A828/OT",1044282,880,NA,"32653","bioproject_id"
883062,"Bifidobacterium bifidum S17",2186882,1784,NA,"51963","bioproject_id"
499177,"Acetoanaerobium sticklandii",2715461,2573,NA,"28575","bioproject_id"
886882,"Paenibacillus polymyxa SC2",6238510,5387,NA,"52019","bioproject_id"
903814,"Eubacterium limosum",4316707,4579,NA,"52281","bioproject_id"
572544,"Ilyobacter polytropus",3132314,2880,NA,"32577","bioproject_id"
880591,"Ketogulonicigenium vulgare Y25",3288404,3213,NA,"51787","bioproject_id"
720555,"Bacillus atrophaeus 1942",4168266,4186,NA,"46075","bioproject_id"
702459,"Bifidobacterium bifidum PRL2010",2214656,1706,NA,"59883","bioproject_id"
762376,"Achromobacter xylosoxidans A8",7359146,6815,NA,"48393","bioproject_id"
701347,"Enterobacter lignolyticus SCF1",4814049,4399,NA,"53533","bioproject_id"
762948,"Rothia dentocariosa",2506025,2217,NA,"48447","bioproject_id"
525284,"Gardnerella vaginalis ATCC 14019",1667350,1365,NA,"55487","bioproject_id"
890402,"Bifidobacterium longum subsp. longum BBMN68",2265943,1806,NA,"53143","bioproject_id"
632292,"Caldicellulosiruptor hydrothermalis",2770676,2546,NA,"40831","bioproject_id"
632518,"Caldicellulosiruptor owensensis",2428903,2147,NA,"40833","bioproject_id"
581103,"Geobacillus sp. Y4.1MC1",3911947,3669,NA,"33183","bioproject_id"
656519,"Halanaerobium hydrogeniformans",2613117,2295,NA,"43059","bioproject_id"
649349,"Leadbetterella byssophila",4059653,3465,NA,"38283","bioproject_id"
523846,"Methanothermus fervidus",1243342,1283,NA,"33689","bioproject_id"
685727,"Rhodococcus equi",5043170,4512,NA,"41335","bioproject_id"
648757,"Rhodomicrobium vannielii",4014469,3565,NA,"38253","bioproject_id"
298654,"Frankia sp. EuI1c",8815781,7083,NA,"37913","bioproject_id"
882378,"Paraburkholderia rhizoxinica",3750138,3870,NA,"51915","bioproject_id"
632335,"Caldicellulosiruptor kristjanssonii",2802443,2482,NA,"41727","bioproject_id"
632348,"Caldicellulosiruptor kronotskyensis",2843785,2466,NA,"52409","bioproject_id"
469382,"Halogeometricum borinquense",3944467,3898,NA,"20743","bioproject_id"
767455,"Lactobacillus delbrueckii subsp. bulgaricus ND02",2131976,2018,NA,"49147","bioproject_id"
887061,"Methylovorus sp. MP688",2862391,2712,"Isolated from soil for high-level production of pyrroloquinolone quinone.","52541","bioproject_id"
694427,"Paludibacter propionicigenes",3685504,3020,NA,"42009","bioproject_id"
693978,"Riemerella anatipestifer ATCC 11845 = DSM 15868",2155121,1972,NA,"41989","bioproject_id"
768670,"Calditerrivibrio nitroreducens",2216552,2100,NA,"49523","bioproject_id"
643867,"Marivirga tractuosa",4516490,3757,NA,"37901","bioproject_id"
289397,"Mycoplasma bovis PG45",1003404,765,NA,"12525","bioproject_id"
880447,"Mycoplasma leachii PG50",1008951,882,NA,"27715","bioproject_id"
489653,"Neisseria lactamica",2220606,1972,NA,"13472","bioproject_id"
670487,"Oceanithermus profundus",2439291,2373,NA,"40223","bioproject_id"
709032,"Sulfuricurvum kujiense",2819357,2798,NA,"43399","bioproject_id"
695560,"Lactobacillus amylovorus GRL 1112",2126674,2121,NA,"42073","bioproject_id"
757425,"Campylobacter jejuni subsp. jejuni ICDCCJ07001",1708924,1531,NA,"47949","bioproject_id"
658172,"Candidatus Liberibacter solanacearum",1258278,1192,NA,"39273","bioproject_id"
234831,"Pseudoalteromonas sp. SM9913",4037671,3712,"Isolated from deep-sea sediment at a water depth of 1855 meters near the Okinawa Trough.","39311","bioproject_id"
936155,"Helicobacter felis",1672681,1654,NA,"61189","bioproject_id"
278137,"Mycobacterium gilvum Spyr1",5783292,5349,NA,"28521","bioproject_id"
391623,"Thermococcus barophilus",2064237,2265,NA,"19379","bioproject_id"
573065,"Asticcacaulis excentricus",4308776,3763,NA,"32595","bioproject_id"
648999,"Micromonospora sp. L5",6962533,6150,"Isolated from nodules of Casuarina equisetifolia trees growing in Mexico.","38291","bioproject_id"
414004,"Cenarchaeum symbiosum",2045086,2017,"Sponge symbiont nonthermophilic crenarchaeota.","202","bioproject_id"
652103,"Rhodopseudomonas palustris DX-1",5404117,4917,NA,"38503","bioproject_id"
643562,"Pseudodesulfovibrio aespoeensis",3629109,3304,NA,"37869","bioproject_id"
653733,"Desulfurispirillum indicum",2928377,2571,NA,"38575","bioproject_id"
663278,"Ethanoligenens harbinense",3008576,2701,NA,"39729","bioproject_id"
710696,"Intrasporangium calvum",4024382,3563,"Isolated from air in a school dining room in Russia in 1967.","43527","bioproject_id"
592316,"Pantoea sp. At-9b",6312783,5770,NA,"33803","bioproject_id"
697329,"Ruminococcus albus",4482087,3872,NA,"42255","bioproject_id"
644966,"Thermaerobacter marianensis",2844696,2327,NA,"38025","bioproject_id"
649639,"Bacillus cellulosilyticus",4681672,4266,NA,"38423","bioproject_id"
937774,"Taylorella equigenitalis MCE9",1695860,1556,NA,"61285","bioproject_id"
648996,"Thermovibrio ammonificans",1759526,1813,NA,"49403","bioproject_id"
595537,"Variovorax paradoxus EPS",6550056,5952,NA,"43457","bioproject_id"
693979,"Bacteroides helcogenes",3998906,3244,NA,"41913","bioproject_id"
696125,"Bartonella clarridgeiae",1522743,1330,NA,"42109","bioproject_id"
866630,"Haemophilus influenzae F3031 (nontypeable)",1985832,1768,NA,"50729","bioproject_id"
937773,"Staphylococcus pseudintermedius HKU10-03",2617381,2450,NA,"61283","bioproject_id"
596153,"Alicycliphilus denitrificans BC",4835713,4542,NA,"41663","bioproject_id"
859654,"Candidatus Blochmannia vafer (Camponotus vafer)",722585,587,NA,"50045","bioproject_id"
550542,"Geobacillus sp. Y412MC52",3673940,3459,"Isolated from Obsidian Hot Spring, Yellowstone National Park, Montana, USA.","30797","bioproject_id"
935897,"Haemophilus influenzae F3047 (nontypeable)",2007018,1786,NA,"61001","bioproject_id"
765698,"Mesorhizobium ciceri",6690028,6264,NA,"62101","bioproject_id"
943945,"Mycoplasma fermentans M64",1118751,1050,NA,"13415","bioproject_id"
743721,"Pseudoxanthomonas suwonensis 11-1",3419049,3070,NA,"48619","bioproject_id"
688270,"Cellulophaga algicola",4888353,4163,NA,"41529","bioproject_id"
749222,"Nitratifractor salsuginis",2101285,2088,NA,"46883","bioproject_id"
765177,"Desulfurococcus mucosus",1314639,1345,NA,"48641","bioproject_id"
575540,"Isosphaera pallida",5529304,3722,NA,"32825","bioproject_id"
401053,"Terriglobus saanensis",5095226,4180,NA,"48971","bioproject_id"
509193,"Thermoanaerobacter brockii",2344824,2209,NA,"32585","bioproject_id"
926569,"Anaerolinea thermophila",3532378,3167,NA,"60099","bioproject_id"
1198114,"Granulicella tundricola",5503984,4542,NA,"47621","bioproject_id"
709986,"Deinococcus maricopensis",3498530,3264,NA,"43461","bioproject_id"
577650,"Desulfobulbus propionicus",3851869,3283,NA,"32993","bioproject_id"
743525,"Thermus scotoductus",2355186,2461,NA,"46293","bioproject_id"
914127,"Vibrio vulnificus MO6-24/O",5007768,4562,NA,"59881","bioproject_id"
936156,"Bacillus subtilis BSn5",4093599,4145,NA,"61191","bioproject_id"
941640,"Mycoplasma haemofelis Langford 1",1147259,1545,NA,"61503","bioproject_id"
565042,"Bifidobacterium longum subsp. longum JCM 1217",2385164,1924,NA,"32047","bioproject_id"
565040,"Bifidobacterium longum subsp. infantis 157F",2408831,1999,NA,"32051","bioproject_id"
443143,"Geobacter sp. M18",5277406,4434,NA,"33159","bioproject_id"
741091,"Rahnella sp. Y9602",5614252,5111,"Isolated from a mixed-waste-contaminated subsurface at the U.S. Department of Energy (DOE) Oak Ridge Reservation in Oak Ridge, TN.","50601","bioproject_id"
979556,"Microbacterium testaceum",3982034,3676,"Isolated from potato leaves.","62249","bioproject_id"
640510,"Burkholderia sp. CCGE1001",7253494,6453,NA,"37717","bioproject_id"
378806,"Stigmatella aurantiaca",10260756,8352,NA,"52561","bioproject_id"
693977,"Deinococcus proteolyticus",2886836,2656,NA,"41911","bioproject_id"
868864,"Desulfurobacterium thermolithotrophum",1541968,1509,NA,"51497","bioproject_id"
709991,"Odoribacter splanchnicus",4392288,3497,NA,"43469","bioproject_id"
645991,"Syntrophobotulus glycolicus",3406739,3251,NA,"38111","bioproject_id"
762903,"Pseudopedobacter saltans",4635236,3792,NA,"49337","bioproject_id"
756272,"Rubinisphaera brasiliensis",6006602,4750,NA,"47863","bioproject_id"
861208,"Agrobacterium sp. H13-3",5573770,5345,"A soil bacterium isolated from the rhizophere of Lupinus luteus. non-virulent species.","50341","bioproject_id"
667015,"Bacteroides salanitronis",4308663,3641,NA,"40055","bioproject_id"
867900,"Cellulophaga lytica DSM 7489",3765936,3284,NA,"50743","bioproject_id"
930171,"Pseudarthrobacter phenanthrenivorans",4535320,4131,NA,"20087","bioproject_id"
891391,"Lactobacillus acidophilus 30SC",2097766,2059,NA,"53145","bioproject_id"
877455,"Methanobacterium lacus",2583753,2493,NA,"53495","bioproject_id"
768700,"Mycoplasma suis Illinois",742431,844,NA,"49421","bioproject_id"
158189,"Sphaerochaeta globosa",3316466,3017,NA,"47953","bioproject_id"
985053,"Vulcanisaeta moutnovskia",2298983,2320,NA,"63027","bioproject_id"
865938,"Weeksella virosa",2272954,2049,NA,"50581","bioproject_id"
708248,"Mycoplasma suis KI3806",709270,799,NA,"43245","bioproject_id"
153948,"Nitrosomonas sp. AL212",3337023,2983,NA,"32989","bioproject_id"
990317,"Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069",2377209,2329,NA,"63179","bioproject_id"
643561,"Acidovorax avenae",5482170,4737,NA,"37867","bioproject_id"
926570,"Acidiphilium multivorum",4214744,3949,NA,"60101","bioproject_id"
866775,"Aerococcus urinae ACS-120-V-Col10a",2080974,1726,NA,"51073","bioproject_id"
642492,"Clostridium lentocellum",4714237,4182,NA,"41511","bioproject_id"
717774,"Marinomonas mediterranea",4684316,4121,NA,"51765","bioproject_id"
743722,"Sphingobacterium sp. 21",6226409,5169,NA,"51631","bioproject_id"
693661,"Archaeoglobus veneficus",1901943,2090,NA,"51621","bioproject_id"
208596,"Carnobacterium sp. 17-4",2685399,2474,"Isolated from a seawater sample taken at the Isfjord, Spitsbergen, in autumn 1999.","60607","bioproject_id"
700015,"Coriobacterium glomerans",2115681,1768,NA,"42699","bioproject_id"
880072,"Desulfobacca acetoxidans",3282536,2866,NA,"51777","bioproject_id"
755732,"Fluviicola taffensis",4633577,4033,NA,"47603","bioproject_id"
760142,"Hippea maritima",1694430,1677,NA,"48195","bioproject_id"
869210,"Marinithermus hydrothermalis",2269167,2205,NA,"50827","bioproject_id"
991905,"Polymorphum gilvum",4718963,4393,NA,"63293","bioproject_id"
767031,"Prevotella denticola",2937589,2386,NA,"49293","bioproject_id"
999630,"Thermoproteus uzoniensis",1936063,2186,NA,"64455","bioproject_id"
869209,"Treponema succinifaciens",2897425,2608,NA,"50825","bioproject_id"
998088,"Aeromonas veronii B565",4551783,4028,NA,"63671","bioproject_id"
596154,"Alicycliphilus denitrificans K601",5070751,4696,NA,"50751","bioproject_id"
999541,"Burkholderia gladioli BSR3",9052299,7410,NA,"64503","bioproject_id"
1002672,"Candidatus Pelagibacter sp. IMCC9063",1284727,1447,"Isolated from a surface seawater sample collected off the coastal region in Ny-Aalesund, Svalbard, Norway.","62303","bioproject_id"
331635,"Chlamydia pecorum E58",1106197,988,NA,"62893","bioproject_id"
1006006,"Metallosphaera cuprina",1840348,2029,NA,"65497","bioproject_id"
990316,"Methanosaeta concilii",3026645,2850,NA,"63185","bioproject_id"
760011,"Sphaerochaeta coccoides",2227296,1822,NA,"48121","bioproject_id"
1007064,"Streptococcus suis ST3",2028815,1952,NA,"65245","bioproject_id"
263358,"Verrucosispora maris",6732271,6009,"Isolated from a deep marine sediment sample collected from the East Sea (Sea of Japan).","59863","bioproject_id"
994484,"Pseudomonas brassicacearum subsp. brassicacearum NFM421",6843248,6095,NA,"63495","bioproject_id"
1001585,"Pseudomonas mendocina NK-01",5434353,4958,NA,"64797","bioproject_id"
546271,"Selenomonas sputigena",2568361,2255,NA,"51247","bioproject_id"
929506,"Clostridium botulinum BKT015925",3207592,2994,NA,"60407","bioproject_id"
927666,"Streptococcus oralis",1958690,1907,NA,"60241","bioproject_id"
511437,"Lactobacillus buchneri NRRL B-30929",2588309,2392,NA,"29003","bioproject_id"
862259,"Mycoplasma mycoides subsp. capri LC 95010",1155838,924,NA,"50391","bioproject_id"
675635,"Pseudonocardia dioxanivorans",7303989,6681,NA,"65087","bioproject_id"
994476,"Yersinia enterocolitica subsp. palearctica 105.5R(r)",4621811,4021,NA,"53341","bioproject_id"
331636,"Chlamydia psittaci 6BC",1179213,975,NA,"63149","bioproject_id"
1005058,"Gallibacterium anatis",2694139,2500,NA,"65483","bioproject_id"
983545,"Glaciecola sp. 4H-3-7+YE-5",5393591,4547,"Isolated from marine subseafloor sediments (31.4 m below the seafloor) collected at a water depth of 755 m at Suruga Bay, Japan.","62887","bioproject_id"
983548,"Dokdonia sp. 4H-3-7-5",3389993,2978,"Isolated from subseafloor sediments at Suruga Bay (Japan) at depths of 31.4 and 41 m.","62895","bioproject_id"
879243,"Porphyromonas asaccharolytica",2186370,1699,NA,"51745","bioproject_id"
1007105,"Pusillimonas sp. T7-7",3924810,3773,"Isolated from the benthal mud of a petroleum-contaminated site in Bohai Sea, China.","65659","bioproject_id"
342949,"Pyrococcus sp. NA2",1861320,1980,"Isolated from a sample collected from a hydrothermal vent area in the Papua New Guinea-Australia-Canada-Manus (PACMANUS) field of the western Pacific Ocean at a depth of 1,650 m in 2002.","65431","bioproject_id"
747365,"Thermodesulfobium narugense",1898865,1807,NA,"46673","bioproject_id"
906968,"Treponema brennaborense",3055580,2531,NA,"53887","bioproject_id"
590998,"Cellulomonas fimi",4266344,3762,NA,"33691","bioproject_id"
760192,"Haliscomenobacter hydrossis",8771651,6752,NA,"48289","bioproject_id"
940190,"Melissococcus plutonius ATCC 35311",2068732,1885,NA,"61383","bioproject_id"
933801,"Acidianus hospitalis",2137654,2329,"Chemolithoautotrophic and facultatively anaerobic acidothermophile.","60875","bioproject_id"
697281,"Mahella australiensis",3135972,2870,NA,"42243","bioproject_id"
1209989,"Tepidanaerobacter acetatoxydans Re1",2759867,2524,NA,"50697","bioproject_id"
742013,"Delftia sp. Cs1-4",6685842,5861,"Isolated from soil contaminated by coal tar at the former site of a manufactured gas plant in Chippewa Falls, Wisconsin.","46303","bioproject_id"
868595,"Desulfotomaculum nigrificans",2892255,2657,NA,"50757","bioproject_id"
760568,"Desulfotomaculum kuznetsovii",3601386,3398,NA,"48313","bioproject_id"
743720,"Pseudomonas fulva",4920769,4461,NA,"49675","bioproject_id"
768490,"Serratia sp. AS12",5443009,4952,"Isolated from rapeseed roots from Uppsala, Sweden in 1998","60453","bioproject_id"
768492,"Serratia plymuthica AS9",5442880,4952,NA,"60457","bioproject_id"
936154,"Streptococcus parauberis",2143887,1868,NA,"61187","bioproject_id"
858215,"Thermoanaerobacterium xylanolyticum",2534358,2345,NA,"50295","bioproject_id"
545695,"Treponema azotonutricium",3855671,3474,NA,"30191","bioproject_id"
545694,"Treponema primitia",4059867,3522,NA,"30189","bioproject_id"
491952,"Marinomonas posidonica",3899940,3491,NA,"52545","bioproject_id"
868131,"Methanobacterium paludis",2546541,2397,"Isolated from a near circumneutral temperate minerotrophic fen in New York State, USA.","53561","bioproject_id"
880724,"Methanotorris igneus",1854197,1772,NA,"51821","bioproject_id"
857087,"Methylomonas methanica",5051681,4494,NA,"53917","bioproject_id"
875328,"Mycobacterium sinense",4643668,4346,NA,"51513","bioproject_id"
715451,"Alteromonas naphthalenivorans",4972148,4371,NA,"59947","bioproject_id"
443218,"Amycolicicoccus subflavus",4863490,4705,NA,"63351","bioproject_id"
702113,"Novosphingobium sp. PP1Y",5313905,4683,"Isolated from a surface seawater sample collected from a closed bay in the harbour of Pozzuoli (Naples, Italy).","66901","bioproject_id"
1030843,"Porphyromonas gingivalis TDC60",2339898,2220,NA,"66755","bioproject_id"
717773,"Thioalkalimicrobium cyclicum",1932455,1665,NA,"52629","bioproject_id"
696281,"Desulfotomaculum ruminis",3969014,3796,NA,"47605","bioproject_id"
743718,"Isoptericola variabilis",3307740,2881,NA,"49657","bioproject_id"
693982,"Sinorhizobium meliloti AK83",7140471,6510,NA,"41993","bioproject_id"
690566,"Sphingobium chlorophenolicum",4573221,4072,NA,"50015","bioproject_id"
981540,"Streptococcus pasteurianus",2100077,1869,NA,"62519","bioproject_id"
650150,"Erysipelothrix rhusiopathiae Fujisawa",1787941,1697,NA,"38421","bioproject_id"
1033837,"Lactobacillus kefiranofaciens",2354088,2162,NA,"66525","bioproject_id"
941639,"Bacillus coagulans 2-6",3073079,2971,NA,"61501","bioproject_id"
261317,"Buchnera aphidicola (Cinara tujafilina)",444925,359,NA,"41379","bioproject_id"
1028307,"Klebsiella aerogenes KCTC 2190",5280350,4912,NA,"68103","bioproject_id"
656024,"Frankia symbiont",5340989,4215,NA,"39113","bioproject_id"
