microbe_id,kingdom,phylum,class,order,family,genus,species,gram_stain,gram_stain_citation,microbiome_location,microbiome_location_citation,antimicrobial_susceptibility,antimicrobial_susceptibility_citation,optimal_temperature,optimal_temperature_citation,extreme_environment,extreme_environment_citation,biofilm_forming,biofilm_forming_citation,optimal_ph,optimal_ph_citation,animal_pathogen,animal_pathogen_citation,spore_forming,spore_forming_citation,pathogenicity,pathogenicity_citation,plant_pathogen,plant_pathogen_citation
957,Bacteria,Chloroflexi,Chloroflexi,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon aurantiacus,0,,0,,0,,32.5,,,,,,,,0,,,,,,0,
958,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp 3 1 23,0,,1,,,,,,,,,,,,,,0,,,,,
959,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus intermedius,1,,0,,1,,36.0,,0,,,,,,,,0,,2,,0,
960,Viruses,Viruses noname,Viruses noname,Viruses noname,Parvoviridae,Bocavirus,Bocavirus gorilla GBoV1 2009,,,,,,,,,,,,,,,,,,,,,,
961,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium loti,,,,,,,,,,,,,,,0,,,,1,,0,
962,Viroids,Viroids noname,Viroids noname,Viroids noname,Pospiviroidae,Apscaviroid,Citrus viroid VI,,,,,,,,,0,,0,,,,0,,0,,,,1,
963,Viruses,Viruses noname,Viruses noname,Viruses noname,Closteroviridae,Closterovirus,Mint virus 1,,,0,,,,,,0,,,,,,0,,,,,,,
964,Viruses,Viruses noname,Viruses noname,Viruses noname,Papillomaviridae,Taupapillomavirus,Felis catus papillomavirus 3,,,,,,,,,,,,,,,1,,,,,,,
965,Viroids,Viroids noname,Viroids noname,Viroids noname,Pospiviroidae,Pospiviroid,Pepper chat fruit viroid,,,,,,,,,0,,0,,,,0,,0,,,,1,
966,Viruses,Viruses noname,Viruses noname,Tymovirales,Alphaflexiviridae,Potexvirus,Plantago asiatica mosaic virus,,,,,,,,,,,,,,,,,,,,,1,
967,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp LH128,0,,,,0,,,,0,,0,,,,0,,0,,,,,
968,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium jeikeium,1,,1,,1,,,,0,,,,,,0,,,,2,,0,
969,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Lambdalikevirus,Enterobacteria phage cdtI,,,,,,,,,0,,0,,,,0,,0,,,,0,
970,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes sp EGD AK7,,,,,,,,,,,,,,,,,,,2,,,
971,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella ictaluri,0,,0,,1,,,,,,,,2.5,,1,,0,,1,,0,
972,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus sp HPP0048,1,,,,0,,,,0,,,,,,,,,,,,,
973,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Diaporthe ambigua RNA virus 1,,,0,,,,,,,,,,,,0,,,,,,1,
974,Viruses,Viruses noname,Viruses noname,Mononegavirales,Rhabdoviridae,Sigmavirus,Drosophila obscura sigmavirus,,,,,,,,,,,,,,,0,,,,,,0,
975,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Emilia yellow vein virus associated DNA beta,,,,,,,,,,,,,,,,,,,,,,
976,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,Pectobacterium wasabiae,0,,0,,,,26.0,,,,1,,5.5,,0,,0,,1,,1,
977,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella violacea,0,,,,,,8.0,,,,,,,,,,,,,,,
978,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp C300,1,,,,,,,,0,,,,,,,,0,,,,,
979,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio,Enterovibrio calviensis,0,,0,,,,26.0,,,,,,,,,,,,,,0,
980,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,1,,1,,,,37.4,,0,,,,7.09,,0,,0,,,,0,
981,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Mycobacterium phage WIVsmall,,,0,,,,,,0,,,,,,0,,,,,,0,
982,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter arilaitensis,1,,0,,,,,,0,,1,,,,0,,0,,2,,0,
983,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus simiae,1,,0,,1,,36.0,,0,,,,,,1,,0,,2,,0,
984,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Clavibacter phage CMP1,,,,,,,,,0,,0,,,,0,,0,,,,0,
985,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum,1,,0,,1,,30.0,,0,,,,,,,,0,,2,,0,
986,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,0,,0,,,,,,0,,,,,,,,1,,1,,,
987,Viruses,Viruses noname,Viruses noname,Viruses noname,Potyviridae,Potyvirus,Wild tomato mosaic virus,,,,,,,,,,,,,,,,,,,,,1,
988,Viruses,Viruses noname,Viruses noname,Viruses noname,Adenoviridae,Mastadenovirus,Murine adenovirus B,,,,,,,,,,,,,,,1,,,,,,,
989,Viruses,Viruses noname,Viruses noname,Viruses noname,Papillomaviridae,Taupapillomavirus,Felis catus papillomavirus 4,,,,,,,,,,,,,,,1,,,,,,,
990,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Tunalikevirus,Enterobacteria phage T1,,,1,,,,,,0,,,,,,0,,,,,,0,
991,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus callidus,1,,1,,,,37.0,,0,,,,,,,,0,,1,,,
992,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,,,0,,0,,,,1,,0,,,,0,,1,,,,0,
993,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,Podoviridae noname,Synechococcus phage S RIP1,,,,,,,,,0,,0,,,,0,,0,,,,0,
994,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Halorubrum phage HF2,,,0,,,,,,,,,,,,,,,,,,,
995,Viruses,Viruses noname,Viruses noname,Viruses noname,Caulimoviridae,Caulimovirus,Dahlia mosaic virus,,,0,,,,,,0,,,,,,0,,,,,,1,
996,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Imtechella,Imtechella halotolerans,0,,0,,0,,33.5,,1,,,,7.5,,0,,0,,,,0,
997,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria noname,Alphaproteobacteria noname,Alphaproteobacteria noname,alpha proteobacterium SCGC AAA024 N17,0,,0,,,,,,0,,,,,,1,,,,,,0,
998,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,Curtobacterium ginsengisoli,1,,0,,,,33.5,,0,,,,8.0,,0,,,,1,,0,
999,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium sp JC43,1,,1,,,,33.5,,0,,,,,,0,,0,,,,0,
1000,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia bellii,0,,0,,1,,,,,,,,,,1,,,,3,,0,
1001,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Clostridium phage phiCP26F,,,,,,,,,0,,0,,,,0,,0,,,,0,
1002,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tjernbergiae,0,,,,,,,,0,,,,,,,,,,,,,
1003,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Mycobacterium phage Fishburne,,,0,,,,,,0,,,,,,0,,,,,,0,
1004,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas flavipulchra,0,,,,1,,28.0,,0,,,,7.0,,,,0,,,,,
1005,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter rudis,0,,0,,,,23.5,,0,,0,,7.25,,0,,0,,,,0,
1006,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus sphaericus,1,,0,,,,,,,,,,,,,,1,,,,,
1007,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp BAL3,0,,0,,1,,,,0,,,,7.0,,0,,,,,,0,
1008,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter rectus,0,,0,,1,,37.0,,0,,1,,7.0,,1,,0,,2,,,
1009,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria weaveri,0,,1,,1,,36.0,,0,,,,,,,,,,2,,0,
1010,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,Podoviridae noname,Vibrio phage VP5,,,,,,,,,0,,0,,,,0,,0,,,,0,
1011,Bacteria,Cyanobacteria,Cyanobacteria noname,Chroococcales,Chroococcales noname,Synechococcus,Synechococcus sp WH 8102,0,,0,,0,,32.5,,,,,,,,0,,,,,,0,
1012,Viruses,Viruses noname,Viruses noname,Viruses noname,Tombusviridae,Tombusvirus,Carnation Italian ringspot virus,,,0,,,,,,0,,,,,,0,,,,,,1,
1013,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,Caloramator australicus,1,,0,,,,,,1,,,,7.0,,,,,,1,,,
1014,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis,Plesiocystis pacifica,0,,,,,,29.0,,1,,,,8.0,,,,,,1,,,
1015,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium sp 2MFCol3 1,0,,,,,,,,,,,,,,,,,,1,,0,
1016,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Ixodes scapularis,0,,0,,,,,,0,,,,,,1,,,,,,0,
1017,Viruses,Viruses noname,Viruses noname,Viruses noname,Caulimoviridae,Cavemovirus,Sweet potato caulimo like virus,,,0,,,,,,0,,,,,,0,,,,,,0,
1018,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter marburgensis,,,0,,,,,,1,,,,,,0,,,,,,0,
1019,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter ureolyticus,0,,1,,1,,39.5,,0,,1,,7.0,,1,,0,,,,0,
1020,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Mycobacterium phage Jabbawokkie,,,0,,,,,,0,,,,,,0,,,,,,0,
1021,Viruses,Viruses noname,Viruses noname,Viruses noname,Tombusviridae,Tombusvirus,Cymbidium ringspot virus,,,0,,,,,,0,,,,,,0,,,,,,1,
1022,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Salmonella phage iEPS5,,,0,,,,,,0,,,,,,0,,,,,,0,
1023,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Catenovulum,Catenovulum agarivorans,0,,,,,,28.0,,0,,,,8.5,,,,,,,,,
1024,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,1,,0,,,,,,0,,,,,,0,,0,,,,0,
1025,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharomonospora,Saccharomonospora xinjiangensis,1,,0,,1,,37.0,,0,,,,,,0,,1,,1,,0,
1026,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus suis,0,,0,,1,,37.0,,0,,,,,,1,,,,2,,0,
1027,Viruses,Viruses noname,Viruses noname,Viruses noname,Luteoviridae,Polerovirus,Maize yellow dwarf virus RMV,,,,,,,,,,,0,,,,,,0,,,,,
1028,Viruses,Viruses noname,Viruses noname,Viruses noname,Narnaviridae,Mitovirus,Tuber aestivum mitovirus,,,,,,,,,,,,,,,,,,,,,,
1029,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus murinus,,,0,,1,,37.0,,,,,,,,0,,,,,,0,
1030,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces canus,1,,0,,,,26.0,,0,,,,,,0,,1,,1,,0,
1031,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,Podoviridae noname,Cellulophaga phage phi13 2,,,,,,,,,0,,0,,,,0,,0,,,,0,
1032,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp MCS,,,0,,,,,,1,,,,,,0,,0,,2,,0,
1033,Viruses,Viruses noname,Viruses noname,Viruses noname,Tombusviridae,Carmovirus,Hibiscus chlorotic ringspot virus,,,0,,,,,,0,,,,,,0,,,,,,1,
1034,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,Dictyoglomus thermophilum,1,,0,,0,,78.0,,1,,,,,,0,,0,,,,0,
1035,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Nitratireductor,Nitratireductor pacificus,0,,0,,1,,,,0,,0,,,,0,,0,,,,0,
1036,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp ANC 3789,0,,,,,,,,0,,,,,,,,,,,,,
1037,Viruses,Viruses noname,Viruses noname,Viruses noname,Ascoviridae,Ascovirus,Diadromus pulchellus ascovirus 4a,,,,,,,,,,,,,,,,,,,,,,
1038,Viruses,Viruses noname,Viruses noname,Picornavirales,Secoviridae,Sequivirus,Parsnip yellow fleck virus,,,0,,,,,,0,,,,,,0,,,,,,1,
1039,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria subflava,0,,1,,1,,36.0,,0,,1,,,,0,,0,,2,,0,
1040,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Leptospiraceae,Leptospira,Leptospira kirschneri,0,,,,0,,,,0,,0,,7.4,,1,,0,,2,,0,
1041,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp oral taxon 848,1,,1,,,,,,0,,,,,,0,,0,,,,0,
1042,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp ANC 3929,0,,1,,,,,,0,,1,,,,,,0,,2,,0,
1043,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium celatum,1,,1,,1,,37.0,,0,,,,5.35,,1,,1,,,,0,
1044,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Fodinicurvata,Fodinicurvata sediminis,0,,0,,,,28.0,,0,,0,,7.5,,0,,0,,,,0,
1045,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,Glaciecola chathamensis,0,,,,,,17.0,,0,,,,7.0,,,,0,,1,,,
1046,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,P2likeviruses,Yersinia phage L 413C,,,,,,,,,0,,0,,,,0,,0,,,,0,
1047,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Catellicoccus,Catellicoccus marimammalium,1,,0,,,,,,0,,,,,,1,,0,,,,0,
1048,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella micans,0,,1,,,,37.0,,0,,0,,,,0,,0,,,,0,
1049,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales noname,Exiguobacterium,Exiguobacterium sp AT1b,,,,,,,,,,,,,,,,,,,,,,
1050,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,Desulfotomaculum hydrothermale,,,0,,,,,,1,,,,7.1,,0,,1,,1,,0,
1051,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp HPS0048,0,,1,,,,32.5,,,,,,,,,,0,,,,,
1052,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Modestobacter,Modestobacter multiseptatus,1,,0,,,,20.5,,1,,,,8.0,,0,,0,,1,,0,
1053,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobiaceae noname,Bradyrhizobiaceae bacterium SG 6C,0,,0,,,,,,0,,,,,,0,,,,1,,0,
1054,Viruses,Viruses noname,Viruses noname,Picornavirales,Secoviridae,Comovirus,Cowpea mosaic virus,,,0,,,,,,0,,,,,,0,,,,,,1,
1055,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp TD01,0,,0,,,,,,1,,,,5.67,,0,,,,1,,0,
1056,Viruses,Viruses noname,Viruses noname,Viruses noname,Papillomaviridae,Gammapapillomavirus,Human papillomavirus 132 like viruses,,,0,,0,,,,0,,0,,,,,,0,,,,,
1057,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp GM80,,,,,,,,,0,,,,,,,,,,,,,
1058,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,Selenomonas flueggei,0,,1,,,,37.0,,0,,,,,,,,0,,2,,,
1059,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica,0,,,,,,30.0,,0,,,,,,0,,0,,,,,
1060,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,Felixounalikevirus,Erwinia phage phiEa21 4,,,,,,,,,0,,0,,,,0,,0,,,,0,
1061,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter heparinus,0,,0,,,,27.5,,0,,,,7.0,,,,0,,,,,
1062,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus aminophilus,0,,,,,,27.5,,,,,,,,,,0,,,,,
1063,Bacteria,Deinococcus Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus geothermalis,1,,,,0,,47.0,,1,,1,,6.5,,0,,,,,,0,
1064,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sinaloensis,0,,,,,,,,0,,,,,,1,,,,,,,
1065,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter cancerogenus,0,,0,,1,,,,,,1,,,,0,,,,2,,1,
1066,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii,1,,0,,,,30.0,,0,,,,7.2,,0,,0,,2,,0,
1067,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus halodurans,,,,,,,,,,,,,,,,,,,,,,
1068,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces fulvissimus,1,,0,,,,,,0,,,,,,0,,1,,1,,0,
1069,Viruses,Viruses noname,Viruses noname,Viruses noname,Arenaviridae,Arenavirus,Machupo virus,,,,,,,,,,,,,,,,,,,,,,
1070,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Lambdalikevirus,Escherichia Stx1 converting phage,,,,,,,,,0,,0,,,,0,,0,,,,0,
1071,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Mastrevirus,Chickpea redleaf virus,,,,,,,,,,,,,,,,,,,,,,
1072,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Williamsiaceae,Williamsia,Williamsia sp D3,,,0,,,,,,,,,,,,,,,,,,,
1073,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Tomato leaf curl Cebu virus,,,,,,,,,,,,,,,,,,,,,,
1074,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp LaPpAH 108,1,,0,,,,,,,,,,,,,,1,,,,0,
1075,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornaviridae,Cosavirus,Cosavirus A,0,,0,,0,,,,0,,,,,,1,,,,,,,
1076,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp Ex25,0,,0,,1,,27.5,,1,,1,,,,0,,0,,,,0,
1077,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium albertimagni,0,,0,,,,,,0,,0,,,,0,,0,,,,1,
1078,Bacteria,Cyanobacteria,Cyanobacteria noname,Chroococcales,Chroococcales noname,Gloeocapsa,Gloeocapsa sp PCC 7428,,,0,,,,32.5,,,,,,,,,,,,,,,
1079,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,P22likevirus,Enterobacteria phage ST104,,,,,,,,,0,,0,,,,0,,0,,,,0,
1080,Viruses,Viruses noname,Viruses noname,Viruses noname,Papillomaviridae,Lambdapapillomavirus,Lambdapapillomavirus 2,,,0,,,,,,0,,,,,,1,,,,,,0,
1081,Viruses,Viruses noname,Viruses noname,Viruses noname,Caulimoviridae,Badnavirus,Pelargonium vein banding virus,,,0,,,,,,0,,,,,,0,,,,,,1,
1082,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,Ahjdlikevirus,Staphylococcus phage 66,,,,,,,,,0,,0,,,,0,,0,,,,0,
1083,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Mesta yellow vein mosaic virus,,,0,,,,,,0,,,,,,0,,,,,,1,
1084,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,Halarchaeum acidiphilum,0,,0,,,,37.0,,1,,,,4.45,,,,,,,,,
1085,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanimonas,Oceanimonas sp GK1,0,,0,,0,,35.0,,1,,,,8.0,,0,,,,1,,0,
1086,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,0,,1,,,,37.0,,0,,,,,,,,0,,2,,,
1087,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,,,1,,0,,37.0,,,,,,,,0,,1,,,,0,
1088,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera sp BL7,0,,1,,,,37.0,,0,,,,,,,,1,,,,,
1089,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Clostridium phage phiCP34O,,,,,,,,,0,,0,,,,0,,0,,,,0,
1090,Viruses,Viruses noname,Viruses noname,Viruses noname,Partitiviridae,Alphacryptovirus,Vicia cryptic virus,,,,,,,,,,,,,,,,,,,,,,
1091,Viruses,Viruses noname,Viruses noname,Viruses noname,Baculoviridae,Betabaculovirus,Clostera anachoreta granulovirus,,,0,,0,,,,,,,,,,1,,,,,,0,
1092,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium clariflavum,1,,,,,,55.0,,1,,,,,,,,1,,,,,
1093,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter ursingii,0,,,,1,,,,0,,,,,,,,,,2,,,
1094,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp oral taxon 877,1,,1,,,,,,0,,1,,,,0,,0,,,,0,
1095,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,Coprobacillus sp 8 2 54BFAA,1,,1,,,,37.0,,0,,,,,,,,0,,,,,
1096,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Borrelia,Borrelia miyamotoi,0,,0,,1,,,,,,,,,,,,,,2,,0,
1097,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,Sp6likevirus,Enterobacteria phage K1E,,,,,,,,,0,,0,,,,0,,0,,,,0,
1098,Viroids,Viroids noname,Viroids noname,Viroids noname,Pospiviroidae,Pospiviroid,Citrus exocortis viroid,,,,,,,,,0,,0,,,,0,,0,,,,1,
1099,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium phaseoli,0,,,,,,26.0,,,,,,4.6,,,,,,1,,0,
1100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium thermophilum,0,,,,,,48.5,,0,,,,,,,,0,,1,,,
1101,Bacteria,Cyanobacteria,Cyanobacteria noname,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus sp W4,0,,0,,,,,,,,,,,,,,,,,,,
1102,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella maculosa,0,,1,,,,,,0,,,,,,,,,,,,,
1103,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,Microvirga sp WSM3557,0,,0,,1,,41.0,,1,,,,7.75,,,,0,,,,,
1104,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella veroralis,0,,1,,,,37.0,,0,,,,,,,,0,,,,,
1105,Viruses,Viruses noname,Viruses noname,Caudovirales,Caudovirales noname,Caudovirales noname,Prochlorococcus phage Syn1,,,,,,,,,0,,0,,,,0,,0,,,,0,
1106,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,N4likevirus,Sulfitobacter phage EE36phi1,,,,,,,,,0,,0,,,,0,,0,,,,0,
1107,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kisonensis,1,,0,,0,,10.0,,0,,0,,6.25,,0,,0,,,,0,
1108,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Mycobacterium phage Job42,,,0,,,,,,0,,,,,,0,,,,,,0,
