Code,Strain/species name,Aero.,Troph.,Smp.,Tmin,Topt,Tmax,Lit.
409,Haliea rubra,A,H,6,15.0,30.0,44.1,175
410,Plutella xylostella,A,H,10,8.0,29.7,32.9,176
411,Haliea salexigens,A,H,7,9.9,29.9,44.0,177
412,Balneola alkaliphila,A,H,6,14.9,25.0,44.0,178
413,Salinisphaera hydrothermalis,A,M,5,20.0,35.0,40.0,179
414,Trichogrammatoidea bactrae,A,H,5,17.0,29.0,29.0,180
415,Aphis spiraecola,A,H,7,10.0,25.0,32.0,181
416,Iphiseius degenerans,A,H,5,15.0,30.0,32.5,182
417,Elasmopalpus lignosellus,A,H,9,13.0,30.0,36.0,183
418,Scolothrips longicornis,A,H,6,15.0,35.0,37.0,184
419,Amblyseius womersleyi,A,H,8,16.0,33.0,38.0,185
420,Escherichia coli,FA,H,4,10.0,37.0,37.0,186
421,Salmonella Typhimurium,FA,H,4,10.0,37.0,37.0,186
422,Clavigralla shadabi,A,H,6,20.0,29.8,31.9,187
423,Clavigralla tomentosicollis,A,H,6,20.1,30.0,35.9,187
424,Acyrthosiphon pisum,A,H,5,11.9,23.1,26.7,188
425,Acyrthosiphon pisum,A,H,5,11.9,19.6,26.7,188
426,Acetanaerobacterium elongatum,AN,H,1,37.0,37.0,37.0,189
427,Methanopyrus kandleri,AN,A,10,90.1,105.0,122.1,190
428,Methanopyrus kandleri,AN,A,10,85.1,100.1,115.2,190
429,Caminicella sporogenes,AN,H,1,57.5,57.5,57.5,191
430,Muscidifurax raptor,A,H,9,14.7,30.1,32.6,192
431,Muscidifurax raptor,A,H,10,14.7,30.1,32.6,192
432,Urolepis rufipes,A,H,8,15.0,30.0,35.0,193
433,Trichomalopsis sarcophagae,A,H,4,19.3,25.3,33.0,194
434,Clostridiurn frigidicarnis,AN,H,33,3.9,32.5,40.5,195
435,Hypoaspis miles,A,H,4,15.0,25.0,30.0,196
436,Propylea dissecta,A,H,5,20.0,27.0,35.0,197
437,Stethorus punctillum,A,H,6,16.0,30.0,32.0,198
438,Hyperaspis notata,A,H,5,18.0,30.0,32.0,199
439,Aphis gossypii,A,H,5,10.0,25.0,30.0,200
440,Aphis gossypii,A,H,5,10.0,30.0,30.0,201
441,Stethorus gilvifrons,A,H,6,15.0,35.0,35.0,202
442,Toxoptera aurantii,A,H,7,10.0,28.0,32.0,203
443,Nephus bisignatus,A,H,4,20.0,25.0,32.5,204
444,Nephus includens,A,H,4,20.0,30.0,32.5,204
445,Liposcelis entomophila,A,H,6,20.0,27.5,35.0,205
446,Aphis gossypii,A,H,8,15.0,25.0,32.5,206
447,Hypothenemus hampei,A,H,5,20.0,26.0,30.0,207
448,Tetranychus evansi,A,H,5,15.0,35.0,35.0,208
449,Euseius finlandicus,A,H,6,15.0,30.0,32.0,209
450,Tyrophagus putrescentiae,A,H,6,15.0,30.0,34.0,210
451,Bemisia tabaci,A,H,5,16.0,28.0,28.0,211
452,Frankliniella occidentalis,A,H,6,15.0,30.0,30.0,212
453,Aphis gossypii,A,H,5,10.0,25.0,30.0,213
454,Sitotroga cerealella,A,H,3,20.0,30.0,30.0,214
455,Sitotroga cerealella,A,H,3,20.0,30.0,30.0,214
456,Sphaerochaeta globosa,AN,H,1,27.5,27.5,27.5,215
457,Sphaerochaeta pleomorpha,AN,H,1,27.5,27.5,27.5,215
458,Toxoptera citricida,A,H,7,10.0,28.0,32.0,216
459,Paronychiurus kimi,A,H,5,17.0,25.1,28.0,217
460,Myzus persicae,A,H,5,10.0,20.0,30.0,218
461,Liposcelis badia,A,H,7,22.0,27.5,35.0,219
462,Aulacorthum solani,A,H,4,10.0,25.0,25.0,220
463,Aphis punicae,A,H,5,17.5,25.0,27.5,221
464,Liposcelis bostrychophila,A,H,7,20.0,30.0,35.0,222
465,Adoxophyes orana,A,H,6,14.0,25.0,25.0,223
466,Aphis nasturti,A,H,5,15.0,27.0,30.0,224
467,Bemisia argentifolii,A,H,5,20.0,30.0,35.0,225
468,Tetraneura nigriabdominalis,A,H,4,15.0,30.0,30.0,226
469,Liposcelis paeta,A,H,4,23.8,33.8,37.5,227
470,Neoseiulus baraki,A,H,4,25.0,30.0,33.0,228
471,Sporanaerobacter acetigenes,AN,H,7,25.2,40.1,49.9,229
472,Sporomusa silvacetica,AN,H,1,30.0,30.0,30.0,230
473,Caloramator proteoclasticus,AN,H,1,55.0,55.0,55.0,231
474,Thermococcus peptonophilus,AN,H,5,70.0,85.2,100.0,232
475,Thermococcus sp.,AN,H,4,55.0,82.5,82.5,233
476,Thermococcus siculi,AN,H,5,70.0,84.8,89.9,234
477,Pyrococcus horikoshii,AN,H,4,85.0,98.0,100.0,235
478,Thermaerobacter marianensis,A,H,10,50.1,73.9,80.1,236
479,Streptococcus thermophilus,FA,H,16,21.3,41.8,45.8,237
480,Streptococcus thermophilus,FA,H,24,16.2,39.9,48.5,237
481,Streptococcus thermophilus,FA,H,20,22.3,40.9,45.7,237
482,Streptococcus thermophilus,FA,H,22,17.1,45.3,50.9,237
483,Streptococcus thermophilus,FA,H,18,18.6,42.2,46.3,237
484,Streptococcus thermophilus,FA,H,23,16.5,40.1,45.2,237
485,Streptococcus thermophilus,FA,H,18,24.1,39.1,46.2,237
486,Streptococcus thermophilus,FA,H,22,17.2,44.1,49.2,237
487,Streptococcus thermophilus,FA,H,15,23.5,40.6,44.3,237
488,Streptococcus thermophilus,FA,H,19,24.1,40.4,51.5,237
489,Acidimicrobium ferrooxidans,A,M,21,26.1,47.3,58.8,238
490,Acidianus brierleyi,FA,M,14,52.0,68.3,80.4,238
491,Acidianus brierleyi,FA,M,19,41.9,79.3,83.0,238
492,Sulfolobus metallicus,A,A,20,50.5,71.0,73.4,238
493,Ferroplasma acidiphilum,A,A,11,26.9,42.5,45.8,238
494,Ferroplasma cyprexacervatum,A,A,20,32.6,51.6,62.3,238
495,Sulfobacillus thermosulfidooxidans,FA,M,20,29.3,48.6,60.2,238
496,Leptospirillum ferriphilum,A,H,18,17.5,39.6,45.0,238
497,Leptospirillum ferrooxidans,A,H,16,18.0,35.0,44.0,238
498,Acidithiobacillus caldus,FA,H,18,25.8,45.9,51.1,238
499,Acidithiobacillus ferrooxidans,FA,H,17,11.0,31.0,38.0,238
500,Acidithiobacillus thiooxidans,FA,H,20,12.1,29.6,39.3,238
501,Methanococcoides burtonii,AN,H,21,5.6,22.5,28.4,239
502,Pseudomonas sp.,A,H,11,-2.2,14.7,18.8,240
503,Spirillum sp.,A,H,14,-2.4,29.8,33.6,240
504,Aeromonas hydrophila,FA,H,30,0.5,30.9,38.9,241
505,Escherichia coli,FA,H,10,17.8,39.0,43.0,242
506,Escherichia coli,FA,H,12,12.1,39.0,42.6,242
507,Escherichia coli,FA,H,12,13.2,37.2,45.1,242
508,Paracoccus halodenitrificans,FA,A,13,1.8,33.0,36.5,242
509,Paracoccus halodenitrificans,FA,A,13,4.0,34.9,38.3,242
510,Paracoccus halodenitrificans,FA,A,11,10.5,33.0,36.3,242
511,Paracoccus halodenitrificans,FA,A,13,4.0,35.0,38.3,242
512,Halomonas elongata,FA,H,13,12.3,39.5,39.5,242
513,Halomonas elongata,FA,H,11,18.5,38.7,42.2,242
514,Halomonas elongata,FA,H,14,9.7,36.0,39.4,242
515,Halomonas elongata,FA,H,14,9.0,37.6,41.5,242
516,Halorubrum lacusprofundi,A,H,26,5.5,31.5,40.2,243
517,Halorubrum lacusprofundi,A,H,25,5.2,34.8,40.0,243
518,Klebsiella oxytoca,FA,H,27,5.4,37.0,44.7,244
519,Pseudomonas fluorescens,A,H,52,-0.6,30.4,35.4,245
520,Pseudomonas putida,A,H,85,-0.4,31.7,39.2,245
521,Gelidibacter sp.,A,H,69,8.5,24.3,32.3,246
522,Glaciecola punicea,A,H,24,0.3,13.7,20.2,246
523,Shewanella gelidimarina,FA,H,28,-0.3,15.4,22.4,247
524,Shewanella gelidimarina,FA,H,26,0.4,16.3,20.9,247
525,Shewanella gelidimarina,FA,H,28,-0.3,15.4,22.4,247
526,Listeria monocytogenes,FA,H,26,6.1,39.1,42.8,248
527,Listeria monocytogenes,FA,H,27,6.2,33.2,46.6,248
528,Listeria monocytogenes,FA,H,27,6.2,33.1,46.2,248
529,Listeria monocytogenes,FA,H,27,3.4,37.2,44.3,248
530,Listeria monocytogenes,FA,H,28,3.4,34.7,44.3,248
531,Haloarcula vallismortis,A,H,17,23.0,47.0,55.0,249
532,Halobaculum gomorrense,A,H,17,23.0,45.0,54.0,249
533,Halococcus morrhuae,A,H,18,23.0,51.0,57.0,249
534,Haloferax volcanii,A,H,14,23.0,45.0,49.0,249
535,Halogeometricum borinquense,A,H,19,23.0,49.0,58.0,249
536,Halorubrum saccharovorum,A,H,16,23.0,45.0,53.0,249
537,Haloterrigena turkmenica,A,H,18,23.0,51.0,57.0,249
538,Natrialba asiatica,A,H,15,23.0,45.0,51.0,249
539,Natrinema pellirubrum,A,H,18,23.0,51.0,57.0,249
540,Natronobacterium gregoryi,A,H,16,23.0,47.0,52.0,249
541,Natronococcus occultus,A,H,17,23.0,45.0,54.0,249
542,Natronomonas bangense,A,H,15,23.0,43.0,50.0,249
543,Natronomonas pharaonis,A,H,17,23.0,43.0,56.0,249
544,Halobacterium salinarum,A,A,15,23.1,49.1,50.2,249
545,Listeria monocytogenes,FA,H,28,8.4,35.4,38.8,250
546,Escherichia coli,FA,H,27,7.7,41.0,46.8,251
547,Escherichia coli,FA,H,57,7.5,38.5,45.8,251
548,Escherichia coli,FA,H,27,7.6,43.6,47.4,251
549,Escherichia coli,FA,H,26,10.4,40.1,47.2,251
550,Escherichia coli,FA,H,26,8.1,39.6,43.6,251
551,Escherichia coli,FA,H,48,8.0,41.4,44.8,251
552,Escherichia coli,FA,H,26,8.9,41.6,46.5,251
553,Escherichia coli,FA,H,25,8.9,43.6,45.9,251
554,Escherichia coli,FA,H,25,8.7,43.5,45.4,251
555,Escherichia coli,FA,H,26,9.0,41.2,46.5,251
556,Candida stellata,FA,H,15,4.0,22.0,29.0,252
557,Hanseniaspora uvarum,FA,H,21,4.0,22.0,33.0,252
558,Kluyveromyces marxianus,FA,H,27,4.0,40.0,42.0,252
559,Pichia fermentans,FA,H,21,4.0,22.0,37.0,252
560,Saccharomyces arboricolus,FA,H,24,4.0,33.0,37.0,252
561,Saccharomyces bayanus,FA,H,24,4.0,29.0,37.0,252
562,Saccharomyces bayanus,FA,H,21,4.0,29.0,33.0,252
563,Saccharomyces cariocanus,FA,H,27,4.0,33.0,40.0,252
564,Saccharomyces cerevisiae,FA,H,27,4.0,37.0,42.0,252
565,Saccharomyces cerevisiae,FA,H,27,8.0,37.0,42.0,252
566,Saccharomyces cerevisiae,FA,H,21,4.0,33.0,40.0,252
567,Saccharomyces cerevisiae,FA,H,24,4.0,33.0,42.0,252
568,Saccharomyces cerevisiae,FA,H,30,4.0,37.0,42.0,252
569,Saccharomyces cerevisiae,FA,H,24,4.0,33.0,42.0,252
570,Saccharomyces cerevisiae,FA,H,24,4.0,33.0,42.0,252
571,Saccharomyces cerevisiae,FA,H,30,4.0,29.0,42.0,252
572,Saccharomyces cerevisiae,FA,H,30,4.0,37.0,42.0,252
573,Saccharomyces cerevisiae,FA,H,24,4.0,33.0,42.0,252
574,Saccharomyces kudriavzevii,FA,H,21,4.0,22.0,33.0,252
575,Saccharomyces kudriavzevii,FA,H,21,4.0,22.0,33.0,252
576,Saccharomyces kudriavzevii,FA,H,21,4.0,22.0,33.0,252
577,Saccharomyces kudriavzevii,FA,H,21,4.0,22.0,33.0,252
578,Saccharomyces mikatae,FA,H,24,4.0,29.0,37.0,252
579,Saccharomyces paradoxus,FA,H,24,4.0,33.0,37.0,252
580,Saccharomyces paradoxus,FA,H,27,4.0,29.0,40.0,252
581,Saccharomyces paradoxus,FA,H,27,4.0,29.0,40.0,252
582,Torulaspora delbrueckii,FA,H,21,4.0,22.0,37.0,252
583,Anabaena cylindrica,A,A,1,29.0,29.0,29.0,253
584,Geobacillus toebii,A,H,1,68.0,68.0,68.0,254
585,Psychrobacter cryopegella,A,H,10,-10.1,22.0,22.0,255
586,Desulfobacter curvatus,HN,H,24,-0.7,19.9,22.7,256
587,Desulforhopalus species,HN,H,28,5.9,33.1,36.7,256
588,Amitus fuscipennis,A,H,4,15.0,25.0,30.0,257
589,Amitus fuscipennis,A,H,4,15.0,25.0,30.0,257
590,Amitus fuscipennis,A,H,4,15.0,25.0,30.0,257
591,Encarsia formosa,A,H,4,15.0,30.0,30.0,257
592,Trialeurodes vaporariorum,A,H,4,15.0,30.0,30.0,257
593,Aphelinus semiflavus,A,H,4,15.6,26.7,29.4,258
594,Praon palitans,A,H,3,18.3,23.9,23.9,258
595,Trioxys utilis,A,H,4,15.6,26.7,29.4,258
596,Chryseolinea serpens,A,H,1,25.0,25.0,25.0,259
597,Geobacillus gargensis,A,H,1,62.5,62.5,62.5,260
598,Aphis citricola,A,H,5,14.6,27.2,29.5,261
599,Aphis gossypii,A,H,5,5.1,19.7,29.7,261
600,Toxoptera citricidus,A,H,6,11.3,27.2,27.2,261
601,Toxoptera citricidus,A,H,4,14.9,25.0,27.7,261
602,Aphis gossypii,A,H,6,10.0,25.0,35.0,262
603,Callosobruchus analis,A,H,3,25.0,30.0,35.0,263
604,Callosobruchus chinensis,A,H,3,25.0,30.0,35.0,263
605,Callosobruchus maculatus,A,H,4,20.0,32.5,35.0,263
606,Callosobruchus maculatus,A,H,3,25.0,30.0,35.0,263
607,Callosobruchus rhodesianus,A,H,4,20.0,30.0,35.0,263
608,Bemisia argentifolii,A,H,5,20.0,25.0,35.0,264
609,Brevicoryne brassicae,A,H,4,10.0,20.0,25.0,265
610,Hyadaphis pseudobrassicae,A,H,5,10.0,25.0,30.0,265
611,Myzus persicae,A,H,5,5.0,25.0,25.0,265
612,Bactrocera cucurbitae,A,H,4,16.0,29.0,29.0,266
613,Bactrocera dorsalis,A,H,3,18.0,29.0,29.0,266
614,Bactrocera latifrons,A,H,3,18.0,29.0,29.0,266
615,Ceratitis capitata,A,H,4,16.0,29.0,29.0,266
616,Chlorella pyrenoidosa,A,A,9,21.5,39.3,42.1,267
617,Chlorella pyrenoidosa,A,A,6,18.0,31.9,42.0,267
618,Chlorella pyrenoidosa,A,A,4,18.1,25.4,28.9,267
619,Chlorella pyrenoidosa,A,A,3,18.0,25.4,25.4,267
620,Anagasta kuehniella,A,H,4,20.0,25.0,27.5,268
621,Cotesia flavipes,A,H,4,22.0,25.0,31.0,269
622,Cotesia sesamiae,A,H,4,22.0,28.0,31.0,269
623,Cryptolestes ferrugineus,A,H,3,25.0,30.0,35.0,270
624,Cryptolestes ferrugineus,A,H,8,22.5,35.0,40.0,270
625,Cryptolestes ferrugineus,A,H,3,25.0,35.0,35.0,270
626,Dactylopius austrinus,A,H,8,17.5,30.0,34.0,271
627,Macrolophus pygmaeus,A,H,5,15.0,27.5,30.0,272
628,Macrolophus pygmaeus,A,H,5,15.0,27.5,30.0,272
629,Nephaspis oculatus,A,H,5,20.0,26.0,31.0,273
630,Bactrocera dorsalis,A,H,6,19.0,34.0,34.0,274
631,Oryzaephilus surinamensis,A,H,6,20.0,30.0,35.0,275
632,Oryzaephilus surinamensis,A,H,6,20.0,32.5,35.0,275
633,Oryzaephilus surinamensis,A,H,6,20.0,32.5,35.0,275
634,Oryzaephilus surinamensis,A,H,8,20.1,29.7,32.7,276
635,Oryzaephilus surinamensis,A,H,10,20.3,32.6,34.9,276
636,Oryzaephilus surinamensis,A,H,10,20.0,32.1,34.6,276
637,Oryzaephilus surinamensis,A,H,10,19.9,32.1,34.6,276
638,Rhyzopertha dominica,A,H,12,15.2,29.7,38.5,276
639,Rhyzopertha dominica,A,H,14,15.4,33.1,38.9,276
640,Rhyzopertha dominica,A,H,13,15.2,32.6,38.3,276
641,Rhyzopertha dominica,A,H,14,15.1,32.6,38.5,276
642,Sitophilus oryzae,A,H,10,15.1,23.4,32.1,276
643,Sitophilus oryzae,A,H,10,15.4,27.2,32.5,276
644,Sitophilus oryzae,A,H,10,15.1,26.8,32.2,276
645,Sitophilus oryzae,A,H,10,15.1,26.8,32.2,276
646,Tribolium castaneum,A,H,9,24.3,35.0,37.5,276
647,Tribolium castaneum,A,H,12,20.9,34.5,38.3,276
648,Tribolium castaneum,A,H,13,20.0,34.6,39.5,276
649,Pterohelaeus alternatus,A,H,4,20.6,28.6,33.1,277
650,Pterohelaeus darlingensis,A,H,5,15.8,28.6,33.1,277
651,Calandra oryzae,A,H,1,25.5,25.5,25.5,278
652,Calandra oryzae,A,H,3,18.2,24.3,29.1,278
653,Calandra oryzae,A,H,3,23.0,28.5,33.5,278
654,Calandra oryzae,A,H,7,15.2,25.3,33.5,278
655,Rhizopertha dominica,A,H,3,26.0,32.0,36.0,278
656,Rhizopertha dominica,A,H,2,22.0,30.1,38.2,278
657,Rhizopertha dominica,A,H,4,29.0,33.4,38.2,278
658,Saccharicoccus sacchari,A,H,5,20.0,30.0,33.0,279
659,Scirtothrips perseae,A,H,4,15.0,20.0,27.5,280
660,Sitobion miscanthi,A,H,9,12.0,25.0,28.0,281
661,Sitobion near,A,H,4,12.0,20.0,25.0,281
662,Thrips tabaci,A,H,4,15.0,25.0,25.0,282
663,Trichogramma pretiosum,A,H,6,18.0,30.0,32.0,283
664,Trichogramma pretiosum,A,H,6,18.0,30.0,32.0,283
665,Rhopalosiphum rufiabdominalis,A,H,5,10.0,25.0,30.0,284
666,Muscidifurax zaraptor,A,H,7,14.9,31.5,32.9,285
667,Muscidifurax raptorellus,A,H,5,14.8,31.4,32.9,286
668,Callosobruchus maculatus,A,H,7,20.0,35.0,40.0,287
669,Eriosoma lanigerum,A,H,6,10.0,25.0,30.0,288
670,Diatraea lineolata,A,H,5,22.0,25.0,31.0,289
671,Hyperomyzus lactucae,A,H,4,17.0,24.0,26.0,290
672,Tribolium castaneum,A,H,1,30.0,30.0,30.0,291
673,Tribolium castaneum,A,H,4,25.0,35.0,35.0,291
674,Tribolium castaneum,A,H,7,22.5,37.5,37.5,291
675,Tribolium castaneum,A,H,1,25.0,25.0,25.0,291
676,Sitophilus oryzae,A,H,7,15.0,27.0,32.3,292
677,Sitophilus oryzae,A,H,7,15.0,27.0,32.3,292
678,Sitophilus oryzae,A,H,7,15.0,27.0,32.3,292
679,Trichogrammatoidea bactrae,A,H,5,15.0,25.0,32.5,293
680,Natranaerobius trueperi,AN,H,1,52.0,52.0,52.0,294
681,Natronovirga wadinatrunensis,AN,H,1,51.0,51.0,51.0,294
682,Thermotalea metallivorans,AN,H,1,50.0,50.0,50.0,295
683,Anaerolinea thermophila,AN,H,1,55.0,55.0,55.0,296
684,Caldilinea aerophila,A,H,1,55.0,55.0,55.0,296
685,Acyrthosiphon kondoi,A,H,8,6.0,20.5,20.5,297
686,Halanaerobium sehlinense,AN,H,1,43.0,43.0,43.0,298
687,Balneola vulgaris,A,H,7,10.1,30.0,40.1,299
688,Ruminococcus hydrogenotrophicus,AN,A,1,37.0,37.0,37.0,300
689,Verminephrobacter aporrectodeae,microA,H,1,20.0,20.0,20.0,301
690,Verminephrobacter aporrectodeae,microA,H,1,20.0,20.0,20.0,301
691,Verminephrobacter eiseniae,A,H,1,25.0,25.0,25.0,302
692,Thermoanaerobacterium sp.,AN,H,1,50.0,50.0,50.0,303
693,Thermoanaerobacterium sp.,AN,H,1,50.0,50.0,50.0,303
694,Thermoanaerobacterium sp.,AN,H,1,50.0,50.0,50.0,303
695,Thermoanaerobacterium sp.,AN,H,1,50.0,50.0,50.0,303
696,Hydrogenophilus islandicus,A,M,1,50.0,50.0,50.0,304
697,Thermovorax subterraneus,AN,H,1,71.0,71.0,71.0,305
698,Sulfurihydrogenibium azorense,microA,A,1,68.0,68.0,68.0,306
699,Thermodesulfatator atlanticus,AN,A,5,55.0,65.0,75.0,307
700,Methanobacterium petrolearium,AN,H,5,20.0,35.0,40.0,308
701,Methanobacterium ferruginis,AN,A,6,20.0,40.0,45.0,308
702,Thermodesulfatator indicus,AN,A,1,70.0,70.0,70.0,309
703,Thermococcus celericrescens,AN,H,7,49.9,79.8,84.8,310
704,Moorella humiferrea,AN,H,1,65.0,65.0,65.0,311
705,Thermosulfidibacter takaii,AN,A,6,54.9,70.0,78.0,312
706,Sulfurihydrogenibium subterraneum,AN,A,1,62.5,62.5,62.5,313
707,Thermococcus gammatolerans,AN,H,9,55.1,89.4,95.4,314
708,Persephonella hydrogeniphil,AN,A,7,50.1,70.2,72.6,315
709,Methanotorris formicicus,AN,A,7,54.8,74.7,82.8,316
710,Sulfurihydrogenibium rodmanii,microA,A,12,54.9,74.9,80.0,317
711,Sulfurihydrogenibium kristjanssonii,A,H,30,40.0,67.8,72.8,318
712,Gemmatimonas aurantiaca,A,H,1,30.0,30.0,30.0,319
713,Thermosipho affectus,AN,H,1,70.0,70.0,70.0,320
714,Nautilia nitratireducens,AN,A,8,24.6,54.8,60.0,321
715,Tepidiphilus margaritifer,A,H,1,50.0,50.0,50.0,322
716,Thermoanaerobacter sulfurigignens,AN,H,18,34.0,63.1,72.0,323
717,Methanobacterium paludis,AN,A,1,34.5,34.5,34.5,324
718,Nautilia profundicola,AN,M,6,29.8,39.9,55.1,325
719,Thermococcus thioreducens,AN,H,1,84.0,84.0,84.0,326
720,Thermosipho globiformans,AN,H,7,39.9,68.1,75.0,327
721,Methanobacterium lacuss,AN,A,1,25.0,25.0,25.0,328
722,Thermococcus nautili,AN,H,9,56.9,87.8,92.3,329
723,Thermosipho atlanticus,AN,H,1,65.0,65.0,65.0,330
724,Selenomonas bovis,AN,H,1,39.0,39.0,39.0,331
725,Mahella australiensis,AN,H,1,50.0,50.0,50.0,332
726,Thermoanaerobacter pseudethanolicus,AN,H,1,65.0,65.0,65.0,333
727,Thioprofundum hispidum,AN,A,1,39.0,39.0,39.0,334
728,Thermodesulfovibrio aggregans,AN,H,1,60.0,60.0,60.0,335
729,Thermosulfurimonas dismutans,AN,A,12,49.9,74.1,91.8,336
730,Methylothermus subterraneus,A,H,1,57.5,57.5,57.5,337
731,Tepidimicrobium xylanilyticum,AN,H,1,60.0,60.0,60.0,338
732,Caldisericum exile,AN,H,4,55.1,65.0,70.0,339
733,Thermococcus prieurii,AN,H,9,57.0,88.6,93.1,340
734,Thermosipho activus,AN,H,1,65.0,65.0,65.0,341
735,Moorella stamsii,AN,H,1,65.0,65.0,65.0,342
736,Thermobacillus xylanilyticus,A,H,1,55.0,55.0,55.0,343
737,Tepidimonas ignava,A,H,7,29.8,54.9,60.1,344
738,Staphylothermus hellenicus,AN,H,1,85.0,85.0,85.0,345
739,Thermococcus aegaeicus,AN,H,1,90.0,90.0,90.0,345
740,Thermoanaerobacterium polysaccharolyticum,AN,H,1,68.0,68.0,68.0,346
741,Thermoanaerobacterium polysaccharolyticum,AN,H,1,68.0,68.0,68.0,346
742,Thermoanaerobacterium polysaccharolyticum,AN,H,1,68.0,68.0,68.0,346
743,Thermoanaerobacterium zeae,AN,H,1,67.5,67.5,67.5,346
744,Methanobacterium congolense,AN,A,1,39.5,39.5,39.5,347
745,Thermaerobacter subterraneus,A,H,1,70.0,70.0,70.0,348
746,Petrotoga olearia,AN,H,4,45.1,54.9,60.0,349
747,Thermovibrio ruber,AN,A,1,75.0,75.0,75.0,350
748,Sulfobacillus benefaciens,FA,M,7,29.9,38.5,45.0,351
749,Thiobacillus thermosulfatu,A,A,2,50.0,50.0,52.5,352
750,Phenylobacterium immobile,A,H,1,29.0,29.0,29.0,353
751,Lebetimonas acidiphila,AN,A,7,30.2,50.4,67.2,354
752,Alicyclobacillus pomorum,FA,H,1,47.5,47.5,47.5,355
753,Tepidibacter formicigenes,AN,H,1,45.0,45.0,45.0,356
754,Methanohalophilus levihalophilus,AN,H,1,35.0,35.0,35.0,357
755,Anaerolinea thermolimosa,AN,H,1,50.0,50.0,50.0,358
756,Leptolinea tardivitalis,AN,H,1,37.0,37.0,37.0,358
757,Levilinea saccharolytica,AN,H,1,38.5,38.5,38.5,358
758,Caldilinea tarbellica,AN,H,1,55.0,55.0,55.0,359
759,Thermotoga elfii,AN,H,1,66.0,66.0,66.0,360
760,Litorilinea aerophila,A,H,1,55.0,55.0,55.0,361
761,Erwinia amylovora,FA,H,10,6.5,30.0,33.0,362
762,Thermoanaerobacter wiegelii,AN,H,1,67.5,67.5,67.5,363
763,Rhodothermus obamensis,A,H,1,80.0,80.0,80.0,364
764,Deferribacter abyssi,AN,A,1,60.0,60.0,60.0,365
765,Porphyrobacter tepidarius,A,H,9,30.1,42.7,50.3,366
766,Methanobacterium subterraneum,AN,A,9,3.7,40.0,44.9,367
767,Petrotoga mobilis,AN,H,1,59.0,59.0,59.0,368
768,Melitea salexigens,A,H,7,10.0,30.0,43.9,369
769,Thiomicrospira chilensis,A,A,1,29.0,29.0,29.0,370
770,Archaeal str.,AN,A,10,84.9,104.9,120.9,371
771,Hydrogenimonas thermophila,microA,A,5,35.0,55.0,60.0,372
772,Saccharomyces bayanus,FA,H,7,21.5,30.0,35.0,373
773,Saccharomyces cerevisiae,FA,H,7,25.0,35.0,38.0,373
774,Candida valida,FA,H,15,17.0,36.3,43.0,374
775,Brettanomyces bruxellensis,FA,H,6,15.0,32.0,35.0,375
776,Synechococcus clone,A,A,7,30.0,45.0,57.0,376
777,Synechococcus clone,A,A,7,30.0,45.0,57.0,376
778,Synechococcus clone,A,A,7,30.0,45.0,57.0,376
779,Synechococcus clone,A,A,7,30.0,45.0,57.0,376
780,Synechococcus clone,A,A,7,30.0,45.0,57.0,376
781,Caloranaerobacter ferrireducens,AN,H,1,60.0,60.0,60.0,377
782,Thermococcus sibiricus,AN,H,1,78.0,78.0,78.0,378
783,Escherichia coli,FA,H,13,8.0,36.7,43.0,379
784,Escherichia coli,FA,H,15,-0.1,37.0,42.8,379
785,Thalassobaculum salexigens,A,H,7,9.9,30.0,43.9,380
786,Echinamoeba thermarum,A,H,5,43.1,50.0,55.1,381
787,Amoeba algonquinensis,A,H,4,5.0,12.5,12.5,382
788,Saccamoeba limax,A,H,4,5.0,12.5,12.5,382
789,Vannella sp.,A,H,4,5.0,12.5,12.5,382
790,Vannella sp.,A,H,4,5.0,12.5,12.5,382
791,Acanthamoeba polyphaga,A,H,4,10.0,20.0,25.0,383
792,Cochliopodium minus,A,H,4,10.0,25.0,25.0,383
793,Glaeseria mira,A,H,4,10.0,25.0,25.0,383
794,Saccamoeba limax,A,H,4,10.0,20.0,25.0,383
795,Vannella sp.,A,H,4,10.0,25.0,25.0,383
796,Vexillifera bacillipedes,A,H,3,15.0,25.0,25.0,383
797,Meiothermus cerberus,A,H,6,35.0,55.2,60.1,384
798,Sulfolobus sp.,A,M,7,74.9,87.1,88.8,385
799,Sulfolobus sp.,A,M,5,59.7,75.0,77.0,385
800,Picrophilus oshimae,A,H,6,48.0,60.1,63.0,386
801,Kluyveromyces marxianus,FA,H,18,7.0,37.0,46.9,387
802,Thermus thermophilus,A,H,23,53.1,66.9,83.2,388
803,Thermus aquaticus,A,H,11,46.0,69.7,78.7,389
804,Methanococcus jannaschii,AN,A,7,51.3,85.6,85.6,390
805,Alicyclobacillus acidocaldarius,FA,H,6,45.0,65.1,70.1,391
806,Alicyclobacillus acidocaldarius,FA,H,6,45.0,65.1,69.9,391
807,Alicyclobacillus acidocaldarius,FA,H,5,45.0,65.1,65.1,391
808,Pelotomaculum thermopropionicum,AN,H,5,45.0,55.0,65.0,392
809,Thermacetogenium phaeum,AN,A,7,40.0,58.0,65.1,393
810,Geobacillus stearothermophilus,FA,A,6,37.0,55.0,70.0,394
811,Geobacillus thermoleovorans,FA,H,5,44.9,65.0,69.8,395
812,Thermoanaerobacter kivui,AN,H,6,54.1,64.0,69.8,396
