Original,New
"human - skin, thumb wound",host_animal_endotherm_surface
hypersaline sediment,sediment_hypersaline
"marine sediment, human - ocular",unclassified
"marine sediment, marine algae",host_algae
"marine sediment, marine solar saltern",sediment_hypersaline
not specified ,unclassified
"other,  hydrothermal sediment",sediment_marine_hydrothermal
"other,  interstitial water of a cyano- bacteria-containing microbial mat ",biofilm
"other, a perianal swab of a patient with a bone marrow transplant",host_animal_endotherm_feces
"other, abalone",host_animal_ectotherm
"other, abalone digestive tract",host_animal_ectotherm
"other, abdominal epidermis of sea cucumber",host_animal_ectotherm
"other, acidic aquatic environment",water_fresh
"other, acidic biofilm",biofilm
"other, acidic volcanic steam",volcanic_active
"other, acidic wetlands",soil_marshland
"other, activated sludge from a",sludge
"other, activated sludge of an aerobic,",sludge
"other, activated sludge of bioreactor",sludge
"other, aenorobic granular sludge bed bioreactor",sludge
"other, agar plate",unclassified
"other, air humidifier",unclassified
"other, air in a duck barn",unclassified
"other, air in a pharmaceutical clean room",unclassified
"other, air samples",unclassified
"other, alimentary canal of corbicula clam",host_animal_ectotherm
"other, aliphatic polyester enrichment culture",unclassified
"other, alkaline broth",unclassified
"other, alkaline district healing water",water_fresh_alkaline
"other, alkaline saline lake",water_fresh_alkaline
"other, altamira cave",unclassified
"other, amoebae cytoplasm",host_animal_ectotherm
"other, anaerobic bactec bottle inoculated with human ankle aspirate",host_animal_endotherm
"other, anaerobic municipal sewage sludge digesters",sludge
"other, anaerobic sludge digestor",sludge
"other, anarctic sediment",sediment_marine_cold
"other, anchovy fish sauce",food
"other, ancient permafrost",soil_organic_permafrost
"other, ancient siberian permafrost",soil_organic_permafrost
"other, animal",host_animal_endotherm
"other, animal-fecal",host_animal_endotherm_feces
"other, animal ",host_animal_endotherm
"other, animal - fecal",host_animal_endotherm_feces
"other, animal - pinniped mouth",host_animal_endotherm_oral
"other, animal associated",host_animal_endotherm
"other, animal associated-mollusc",host_animal_ectotherm
"other, animal associated-oyster",host_animal_ectotherm
"other, animal associated-penguin",host_animal_endotherm
"other, animal associated-seal",host_animal_endotherm
"other, animal faeces",host_animal_endotherm_feces
"other, animal skin",host_animal_endotherm_surface
"other, animcal feces",host_animal_endotherm_feces
"other, anode biofilm of a microbial fuel cell",biofilm
"other, anoxic digested sludge",sludge
"other, antarctic hypolith community",rock_surface
"other, antarctic marine sediment",sediment_marine_cold
"other, antral sinus",host_animal_endotherm_nasopharyngeal
"other, apoplastic fluid of sugar cane",host_plant_vasculature
"other, aquatic plant that grows on highly acidic swamps",host_plant
"other, aquifer",water_groundwater
"other, aquifer runoff",water_fresh
"other, arsenic contaminated aquifer",water_groundwater
"other, artemia spp.",host_plant
"other, arthritic joint of a calf",host_animal_endotherm_intratissue
"other, ascidians",host_animal_ectotherm
"other, atlantic salmon",host_animal_ectotherm
"other, ba",unclassified
"other, ballast water tank on cruise ship",unclassified
"other, balsamic vinegar",food
"other, bark of trees",host_plant
"other, bat mouth",host_animal_endotherm_oral
"other, batch reactor",bioreactor
"other, beach sediment",sediment_marine
"other, beachwood",unclassified
"other, beaver",host_animal_endotherm
"other, bees and pollen",host_animal_ectotherm
"other, biodegraded oil",petroleum
"other, biofilm in coastal fish harm",biofilm
"other, biofilms",biofilm
"other, biofilms from beer-bottling plant",food
"other, biofilter from oil mill",food
"other, bird's nest",unclassified
"other, black-headed gulls",host_animal_endotherm
"other, black liquor",wastewater
"other, black rust",unclassified
"other, blood from patient with signs of septicaemia",host_animal_endotherm_blood
"other, blood of french domestic cows",host_animal_endotherm_blood
"other, blood of korean patient",host_animal_endotherm_blood
"other, blood of patient",host_animal_endotherm_blood
"other, blood of patient with endocarditis",host_animal_endotherm_blood
"other, blood of squirrels",host_animal_endotherm_blood
"other, bluespotted cornetfish",host_animal_ectotherm
"other, body surface of a deep-sea fish",host_animal_ectotherm
"other, bog",soil_marshland
"other, bony fish",host_animal_ectotherm
"other, bottom of japan trench",sediment_marine_deep
"other, bovine milk",milk
"other, bovine milk and teat apices",milk
"other, bovine products",food
"other, bovine rumen fluid",host_animal_endotherm_rumen
"other, brackish water",water_brackish
"other, brain of pig with meningitis",host_animal_endotherm_intratissue
"other, breast abscess",host_animal_endotherm
"other, breast implant infection",host_animal_endotherm_intratissue
"other, brewery environment",food
"other, brewery environment ",food
"other, brine",water_hypersaline
"other, brine from a salt pan",water_hypersaline
"other, brittle star",host_animal_ectotherm
"other, broiler chicken caecal content",host_animal_endotherm_intestinal
"other, broiler meat and canine tonsils",unclassified
"other, bronchoalveolar lavage of aptient with lung abscess",host_animal_endotherm_nasopharyngeal
"other, buffalo feces",host_animal_endotherm_feces
"other, caecal content of a mouse",host_animal_endotherm_intestinal
"other, caecal content of broiler chicken",host_animal_endotherm_intestinal
"other, caecal content of chicken",host_animal_endotherm_intestinal
"other, caecal content of rat",host_animal_endotherm_intestinal
"other, caecal contents of rabbits",host_animal_endotherm_intestinal
"other, caecum of a duck",host_animal_endotherm_intestinal
"other, caecum of a mouse",host_animal_endotherm_intestinal
"other, camel milk",milk
"other, canine feces",host_animal_endotherm_feces
"other, caspian seal phallus",host_animal_endotherm_surface
"other, cassava sourdough",food
"other, catepillars ",host_animal_ectotherm
"other, catfish",host_animal_ectotherm
"other, cattle farm compost",compost
"other, cattle ranch",unclassified
"other, cave biofilm",biofilm
"other, cavern",unclassified
"other, cellulose-degrading mixture culture",unclassified
"other, cellulose degrading bacterial community",unclassified
"other, chicken caecum",host_animal_endotherm_intestinal
"other, chicken crop",host_animal_endotherm_intestinal
"other, chinchilla",host_animal_endotherm
"other, chinese prawn",host_animal_ectotherm
"other, chinese water chestnut growing in acidic swamps",host_plant
"other, chironomid egg mass",host_animal_ectotherm
"other, chironomid egg mass ",host_animal_ectotherm
"other, chiton",host_animal_ectotherm
"other, clean floor rooms",built_environment_surfaces
"other, clean room of kennedy space center",built_environment_surfaces
"other, clinical isolates",host_animal_endotherm
"other, clinical origins",host_animal_endotherm
"other, clinical specimen",host_animal_endotherm
"other, clinical specimens of infected human ears",host_animal_endotherm_surface
"other, clinical speciments",host_animal_endotherm
"other, coal mine",unclassified
"other, coal mine and marine lagoon",unclassified
"other, coastal marine sediment",sediment_marine
"other, coastal sea-ice",water_marine_cold
"other, coastal surfaces waters of mediterranean sea",water_marine
"other, cockles",host_animal_ectotherm
"other, cocoa bean fermentation",food
"other, cocoa bean fermentation ",food
"other, cocoa bean heap fermentation",food
"other, cold fjord sediment",sediment_marine_cold
"other, cold spring",water_fresh
"other, colon",host_animal_endotherm_intestinal
"other, commercial nitrifying inoculum",unclassified
"other, common vole",host_animal_endotherm
"other, compost biofilter",compost
"other, compost from cattle farm",compost
"other, congested lungs of a coal tit",host_animal_endotherm_nasopharyngeal
"other, constructed wetland sediment with acid sulfate",soil_marshland
"other, contaminant from a biopharmaceutical process",unclassified
"other, contaminated lab plate",unclassified
"other, contaminated plate",unclassified
"other, contaminated sawmill soil",soil_contaminated
"other, contaminated subsurface ",unclassified
"other, copper-polluted sediments",sediment
"other, copper mine",unclassified
"other, coquina",rock
"other, coral palythoa collected from seawater",host_animal_ectotherm
"other, coral reef mucus",host_animal_ectotherm
"other, coral reef pathogen",host_animal_ectotherm
"other, corals and zoanthids",host_animal_ectotherm
"other, cotton compost",compost
"other, cotton compost ",compost
"other, cow- fecal",host_animal_endotherm_feces
"other, cow feces",host_animal_endotherm_feces
"other, cow udder",host_animal_endotherm_surface
"other, cricket gut",host_animal_ectotherm
"other, crude oil-contaminated seashore",petroleum
"other, crustacean",host_animal_ectotherm
"other, cryopeg (supercooled water brine)",water_hypersaline
"other, crystallizer pond",water_hypersaline
"other, culture of phototrophic bacteria",unclassified
"other, cultured manila clam",host_animal_ectotherm
"other, cultured sole",host_animal_ectotherm
"other, cyanobacterial biofilm",biofilm
"other, damaged mural painting",built_environment_surfaces
"other, damaged tissue of a hydrocoral specimen",host_animal_ectotherm
"other, decayed wood from stump of elm tree",litter
"other, decaying plant material",litter
"other, decaying wood",litter
"other, decomposing algal scum",host_algae
"other, deep-sea hydrothermal chimney",water_marine_hydrothermal
"other, deep-sea hydrothermal field",water_marine_hydrothermal
"other, deep-sea hydrothermal vents",water_marine_hydrothermal
"other, deep-sea sediment sample",sediment_marine_hydrothermal
"other, deep marine sponge",host_animal_ectotherm
"other, deep sea hydrothermal fumarole",water_marine_hydrothermal
"other, digestive tract of a sea polychaete",host_animal_ectotherm
"other, digestive tract of bumblebee",host_animal_ectotherm
"other, diseased coral",host_animal_ectotherm
"other, diseased larvae",host_animal_ectotherm
"other, diseased salmonid fish",host_animal_ectotherm
"other, distilled spirit fermenting cellar",food
"other, dog - mouth",host_animal_endotherm_oral
"other, dog - otitis externa",host_animal_endotherm_surface
"other, dog - skin",host_animal_endotherm_surface
"other, dog -oral",host_animal_endotherm_oral
"other, dog bite wound",host_animal_endotherm
"other, dog feces",host_animal_endotherm_feces
"other, dog mouths",host_animal_endotherm_oral
"other, drain of fish-processing plant",wastewater
"other, dried rice straw",litter
"other, driftwood",litter
"other, drinking-water treatment plant",unclassified
"other, drinking water supply system",water_fresh
"other, dust samples from stratosphere",unclassified
"other, electricity harvesting electrode",unclassified
"other, electroactive biofilm",biofilm
"other, elephant seal mouth",host_animal_endotherm_oral
"other, endocarditis in chicken",host_animal_endotherm_intratissue
"other, entomopathogenic nematode",host_animal_ectotherm
"other, entrance floor",unclassified
"other, environmental sample",unclassified
"other, epilithon-covered stones",rock_surface
"other, equine placenta",host_animal_endotherm_intratissue
"other, estuarine sediment",sediment_brackish
"other, estuarine wetland",sediment_brackish
"other, eutrophic lake",water_fresh
"other, eutrophic pond",water_fresh
"other, eutropic pond",water_fresh
"other, evaporative lagoon",water_hypersaline
"other, eyes of cows with pinkeye",host_animal_endotherm_surface
"other, face wound",host_animal_endotherm
"other, faeces",host_animal_endotherm_feces
"other, faeces of a clouded leopard",host_animal_endotherm_feces
"other, faeces of a thoroughbred",host_animal_endotherm_feces
"other, faeces of pigs",host_animal_endotherm_feces
"other, faeces of pill millipede",host_animal_ectotherm
"other, faeces of thoroughbred horse",host_animal_endotherm_feces
"other, faeces of wild boar",host_animal_endotherm_feces
"other, faeces of wild seahorses",host_animal_ectotherm
"other, farmed atlantic salmon",host_animal_ectotherm
"other, fattening pigs",host_animal_endotherm
"other, feces of monkey",host_animal_endotherm_feces
"other, feline lung tissue",host_animal_endotherm_nasopharyngeal
"other, fermented bovine products",food_fermented
"other, fermented broccoli stems",food_fermented
"other, fermented dairy beverage",food_fermented
"other, fermented liquor sample",food_fermented
"other, fermented mare's milk",food_fermented
"other, fermented mustard",food_fermented
"other, fermented pobuzihi",food_fermented
"other, fermented shrimp paste",food_fermented
"other, fermented stinky tofu brine",food_fermented
"other, fermenting olives",food_fermented
"other, ferret with lethal sepsis",host_animal_endotherm
"other, field nest of ant ",unclassified
"other, filter treating wastewater",wastewater
"other, finnish paper mill",wastewater
"other, fish-culture pond",water
"other, fish aquariums",water
"other, fish samples",host_animal_ectotherm
"other, fish sauce",food
"other, flamingos",host_animal_endotherm
"other, flood plain sediment",soil
"other, flower-associated beetles",host_animal_ectotherm
"other, flower nectar and associated beetles and drosophila flies",host_animal_ectotherm
"other, flowers",host_plant
"other, fluidized-bed reactor",bioreactor
"other, fly ash",unclassified
"other, fly larvae",host_animal_ectotherm
"other, foot abscess of a chimpanzee",host_animal_endotherm
"other, foot epidermis of a nudibranch",host_animal_ectotherm
"other, forensic specimen",unclassified
"other, forest sediment",soil_forest
"other, found as a contaminant on an agar plate",unclassified
"other, frog",host_animal_ectotherm
"other, fruit powder",food
"other, fruit waste",host_plant
"other, fungal hyphae",host_fungus
"other, gas-associated formation water of a gas-producing well in a natural gas field",petroleum
"other, gas storage reservoir",petroleum
"other, gastric mucosa of a cat",host_animal_endotherm_intestinal
"other, gastric mucosa of cat",host_animal_endotherm_intestinal
"other, gastric mucosa of dog",host_animal_endotherm_intestinal
"other, ginseng field",soil_agricultural
"other, glacier croconite",water_fresh_cold
"other, glacier water sample",water_fresh_cold
"other, goose - fecal",host_animal_endotherm_feces
"other, grape juice",food
"other, grapes",host_plant
"other, grass silage",litter
"other, green alga from antarctic",host_algae
"other, green algae",host_algae
"other, green biofilm covering the wall of the domitilla catacombs in rome, italy",biofilm
"other, grey seals",host_animal_endotherm
"other, groin abscess",host_animal_endotherm
"other, groin abscess sample",host_animal_endotherm
"other, gulls",host_animal_endotherm
"other, gut of a butterfly",host_animal_ectotherm
"other, gut of a camel cricket",host_animal_ectotherm
"other, gut of a cricket",host_animal_ectotherm
"other, gut of a honeybee",host_animal_ectotherm
"other, gut of a sea urchin",host_animal_ectotherm
"other, gut of a subterranean termite",host_animal_ectotherm
"other, gut of insect",host_animal_ectotherm
"other, gut of japanese shellfish",host_animal_ectotherm
"other, gut of larvae",host_animal_ectotherm
"other, gut of termite",host_animal_ectotherm
"other, gut of the diplopodian cylindroiulus fulviceps",host_animal_ectotherm
"other, gut of tsetse fly",host_animal_ectotherm
"other, guts of wood-boring insect larvae",host_animal_ectotherm
"other, haemolymph of cultured oysters",host_animal_ectotherm
"other, haemolymph of shrimp",host_animal_ectotherm
"other, hairspray contaminant",unclassified
"other, haloalkine lake",water_fresh_alkaline
"other, hamster mouth",host_animal_endotherm_oral
"other, harbour seals",host_animal_endotherm
"other, hard coral",host_animal_ectotherm
"other, hard tick",host_animal_ectotherm
"other, heifers with dermatitis digitalis",host_animal_endotherm_surface
"other, hexachlorocyclohexane-contaminated dump site",soil_contaminated
"other, high temperature daqu sample used in production of sesame-flavor liquor",food
"other, himalayan snow",unclassified
"other, hindgut of larvae",host_animal_ectotherm
"other, home made compost",compost
"other, hoof keratin",host_animal_endotherm
"other, horse faeces",host_animal_endotherm_feces
"other, horse feces",host_animal_endotherm_feces
"other, human",host_animal_endotherm
"other, human- respiratory ",host_animal_endotherm_nasopharyngeal
"other, human-pulmonary infections",host_animal_endotherm_nasopharyngeal
"other, human-pulmonary lung infection ",host_animal_endotherm_nasopharyngeal
"other, human - discharge",host_animal_endotherm
"other, human - heart",host_animal_endotherm_intratissue
"other, human - intestinal",host_animal_endotherm_intestinal
"other, human - neck abscess",host_animal_endotherm
"other, human - pulmonary",host_animal_endotherm_nasopharyngeal
"other, human - sacrum",host_animal_endotherm
"other, human - sputum",host_animal_endotherm_oral
"other, human - uterus",host_animal_endotherm
"other, human amniotic fluid",host_animal_endotherm_intratissue
"other, human ankle aspirate",host_animal_endotherm_intratissue
"other, human artery",host_animal_endotherm_blood
"other, human blood (habitat unknown)",host_animal_endotherm_blood
"other, human blood samples",host_animal_endotherm_blood
"other, human breast abscess",host_animal_endotherm
"other, human bronchoalveolar lavage",host_animal_endotherm_nasopharyngeal
"other, human buttock abscess ",host_animal_endotherm
"other, human cervical lymph node",host_animal_endotherm_intratissue
"other, human clinical sample",host_animal_endotherm
"other, human clinical samples (wound)",host_animal_endotherm
"other, human clinical samples from skin and soft tissues",host_animal_endotherm
"other, human csf",host_animal_endotherm_intratissue
"other, human ear",host_animal_endotherm_surface
"other, human gi tract",host_animal_endotherm_intestinal
"other, human kidney",host_animal_endotherm_intratissue
"other, human lymph node",host_animal_endotherm_intratissue
"other, human osteo-articular sample",host_animal_endotherm_intratissue
"other, human pleural fluid",host_animal_endotherm_nasopharyngeal
"other, human pulmonary",host_animal_endotherm_nasopharyngeal
"other, human pulmonary system in this case/natural environment normally",host_animal_endotherm_nasopharyngeal
"other, human respiratory sample",host_animal_endotherm_nasopharyngeal
"other, human respiratory secretions of cystic fibrosis",host_animal_endotherm_nasopharyngeal
"other, human specimen",host_animal_endotherm
"other, human with pulmonary infection",host_animal_endotherm_nasopharyngeal
"other, human wound",host_animal_endotherm
"other, human wound specimens",host_animal_endotherm
"other, human wounds, human blood and soil",unclassified
"other, humic-lake samples",water_fresh
"other, hydrocarbon-degrading consortium (seawater sample)",petroleum
"other, hydrothermal field sediment",sediment_marine_hydrothermal
"other, hydrothermal fluid and microbial mat samples",water_marine_hydrothermal
"other, hydrothermal plume",water_marine_hydrothermal
"other, hydrothermal vent fields of genesis",water_marine_hydrothermal
"other, hypersaline soil",soil_saline
"other, hypersaline water of solar saltern",water_hypersaline
"other, hypertrophic pond",water_fresh
"other, hypothermal site on the mid-atlantic ridge",water_marine_hydrothermal
"other, ice cored drilled from a glacier",unclassified
"other, ileal mucosa of a 12 week old female mouse",host_animal_endotherm_intestinal
"other, indigo balls",unclassified
"other, indigo dye",unclassified
"other, indigo fermentation fluid",unclassified
"other, indigo fermentation liquor",unclassified
"other, indoor environment colonized with moulds",host_fungus
"other, indoor wall",built_environment_surfaces
"other, indoor wall material",built_environment_surfaces
"other, indoor walls from colonized walls",built_environment_surfaces
"other, industrial glue",unclassified
"other, industrial sludge",sludge
"other, industrial starch production",food
"other, industrial wastewater treatment plants",wastewater
"other, industrial water",wastewater
"other, industrially-contaminated sediment",sediment
"other, industrially-contaminated site",soil_contaminated
"other, infections from skin and soft tissues",host_animal_endotherm
"other, insect",host_animal_ectotherm
"other, insect tunnel",unclassified
"other, internal tissue of marine mollusc",host_animal_ectotherm
"other, internal tissue of the sponge amphilectus digitatus",host_animal_ectotherm
"other, internal tissues of marine mollusc",host_animal_ectotherm
"other, intertidal sediment",sediment_marine
"other, intestinal tract of a butterfly",host_animal_ectotherm
"other, intestinal tract of an abalone",host_animal_ectotherm
"other, intestinal tract of dog tonsils",host_animal_endotherm_intestinal
"other, intestinal tract of earthworm",host_animal_ectotherm
"other, intestine of a cultured flounder",host_animal_ectotherm
"other, intestine of a sea cucumber",host_animal_ectotherm
"other, intestine of nematode",host_animal_ectotherm
"other, intestine of weaning piglets",host_animal_endotherm_intestinal
"other, intestines of pacific mackerel",host_animal_ectotherm
"other, iron-ore-contaminated soil",soil_contaminated
"other, iron sand",soil_mineral
"other, isolated from a meditteranean sponge",host_animal_ectotherm
"other, isolated from a sponge",host_animal_ectotherm
"other, isolated from a starfish",host_animal_ectotherm
"other, isolated from abalone",host_animal_ectotherm
"other, isolated from air",host_animal_ectotherm
"other, isolated from air sample",unclassified
"other, isolated from ale brewery yeast",food
"other, isolated from algae",host_algae
"other, isolated from birds",host_animal_endotherm
"other, isolated from caterpillars",host_animal_ectotherm
"other, isolated from clam",host_animal_ectotherm
"other, isolated from crabs preserved in soy sauce",food
"other, isolated from fermented fish",food_fermented
"other, isolated from human wound",host_animal_endotherm
"other, isolated from insect frass and a flower",host_animal_ectotherm
"other, isolated from leg infection",host_animal_endotherm
"other, isolated from marine red alga",host_algae
"other, isolated from mouse model of spontaneous colitis",host_animal_endotherm_intestinal
"other, isolated from mushroom-growing spawn",compost
"other, isolated from pineapple",food
"other, isolated from red alga",host_algae
"other, isolated from rice seeds",host_plant
"other, isolated from sea sponge",host_animal_ectotherm
"other, isolated from sea urchin",host_animal_ectotherm
"other, isolated from seaweed",host_algae
"other, isolated from sewage ",host_animal_endotherm_feces
"other, isolated from spoiled orange juice",food
"other, isolated from starfish",host_animal_ectotherm
"other, isolated from sugar-thick juice",food
"other, isolated from the mediterranean sponge",host_animal_ectotherm
"other, isolated from ticks",host_animal_ectotherm
"other, kidney and liver of aborted pig fetus",host_animal_endotherm_intratissue
"other, kidney of pufferfish",host_animal_ectotherm
"other, kingfisher",host_animal_endotherm
"other, kitchen refuse ",food
"other, knee aspirate of human ",host_animal_endotherm_intratissue
"other, lab culture",unclassified
"other, lab culture of marine dinoflagellate",host_algae
"other, lab culture of shellfish",host_animal_ectotherm
"other, lactic acid beverage",food
"other, lagoon",water_brackish
"other, larvae of satin moth",host_animal_ectotherm
"other, laundry surfactant",unclassified
"other, leaf in tropical rainforest in china",host_plant_leaf-associated
"other, leaves",host_plant_leaf-associated
"other, leaves of seagrass",host_plant_leaf-associated
"other, leaves of wild garlic",host_plant_leaf-associated
"other, leech",host_animal_ectotherm
"other, leg wound",host_animal_endotherm
"other, legume",host_plant
"other, leopard faeces",host_animal_endotherm_feces
"other, lichen-colonized rock surface",host_algae
"other, limestone",rock
"other, lining of a pig caecum",host_animal_endotherm_intestinal
"other, liposarcoma infection",host_animal_endotherm_intratissue
"other, liquid sugar",food
"other, liquor sample",food
"other, liver of a stranded beaked whale",host_animal_endotherm_intratissue
"other, liver of vole",host_animal_endotherm_intratissue
"other, lymph node of a pig",host_animal_endotherm_intratissue
"other, maize grains",host_plant
"other, malted barley",food
"other, mangrove rhizosphere",host_plant_root-associated
"other, mangrove sediment",sediment_marine
"other, marine alga",host_algae
"other, marine alga phaeocystis globosa",host_algae
"other, marine bivalve",host_animal_ectotherm
"other, marine dinoflagellate",host_algae
"other, marine electroactive biofilm",biofilm
"other, marine mammals",host_animal_endotherm
"other, marine organisms",host
"other, marine phytoplankton",water_marine
"other, marine sand",sediment_marine
"other, marine sandy sediment",sediment_marine
"other, marine sediment",sediment_marine
"other, marine slime",biofilm
"other, marine snail",host_animal_ectotherm
"other, marine solar saltern crystallizer",water_hypersaline
"other, marine sponge ",host_animal_ectotherm
"other, marine sponges",host_animal_ectotherm
"other, marine tidal flat",sediment_marine
"other, marine vertebrates and invertebrates",host_animal
"other, marinw solar saltern",water_hypersaline
"other, mars odyssey spacecraft",unclassified
"other, medical practice",unclassified
"other, medieval wall painting",built_environment_surfaces
"other, mediterranean sponge",host_animal_ectotherm
"other, meltwater of a glacier",water_fresh
"other, metal-rich aquatic environment",unclassified
"other, metal sulfide rock",rock
"other, metalworking fluid",unclassified
"other, microbial mat formed in a wooden bath filled with hot water emerging from a 2775 m-deep well",unclassified
"other, microbial mat sample",biofilm
"other, microbial mats from geothermal water",biofilm
"other, microbial mats in brackish ponds",biofilm
"other, microbial matsthriving in thermal water",biofilm
"other, microbiological agent",unclassified
"other, midgut of the tsetse fly",host_animal_ectotherm
"other, midui glacier",unclassified
"other, milk from a macaque",milk
"other, mite",host_animal_ectotherm
"other, mixture of swamp water, sewage sludge, swine waste, and soil ",unclassified
"other, molasses grass",litter
"other, mold-colonized wall",built_environment_surfaces
"other, mold-colonized walls",built_environment_surfaces
"other, monkey-mouth",host_animal_endotherm_oral
"other, moraine sample",soil_mineral
"other, mouse caecal mucus",host_animal_endotherm_intestinal
"other, mouse model of spontaneous colitis",host_animal_endotherm_intestinal
"other, mucosal jejunum of pig",host_animal_endotherm_intestinal
"other, mud volcano",unclassified
"other, muddy water",water_fresh
"other, municipal sewage sludge",sludge
"other, municipal urban waste compost",compost
"other, mussels",host_animal_ectotherm
"other, natural gas production-water",petroleum
"other, necrotic pear blossom",host_plant
"other, necrotic tissue of cacti",host_plant
"other, necrotic wound of a 35-year-old man",host_animal_endotherm
"other, nematodes",host_animal_ectotherm
"other, nephridia of earthworm",host_animal_ectotherm
"other, nest of hydrothermal vent polychaetes",host_animal_ectotherm
"other, neutral saline",water_hypersaline
"other, neutral saline lake",water_hypersaline
"other, neutral saline lake ",water_hypersaline
"other, nitrogen-fixing nodules",host_plant_rootnodule
"other, nodules",host_plant_rootnodule
"other, nodules of chickpea",host_plant_rootnodule
"other, nodules of cyisus scoparius",host_plant_rootnodule
"other, noses of pigs",host_animal_endotherm_nasopharyngeal
"other, nuclear legacy waste site",unclassified
"other, ocean",water_marine
"other, ocean sediment",sediment_marine
"other, oil",petroleum
"other, oil-contaminated sand",soil_hydrocarbon_contaminated
"other, oil-contaminated site",petroleum
"other, oil producing wells",petroleum
"other, oil production fluid",petroleum
"other, oil reactor",petroleum
"other, oil well",petroleum
"other, oilfield-water injection",petroleum
"other, ophiuroid specimen from fiji sea",host_animal_ectotherm
"other, oral cavities in pigs",host_animal_endotherm_oral
"other, oral cavity of a chimpanzee",host_animal_endotherm_oral
"other, oral cavity of boar",host_animal_endotherm_oral
"other, oral cavity of dogs, cats, and a ferret",host_animal_endotherm_oral
"other, orange juice",food
"other, oxidative environment",unclassified
"other, oyster",host_animal_ectotherm
"other, paper-mill effluent",wastewater
"other, paper mill",wastewater
"other, paper wasp nest",unclassified
"other, patient's wound",host_animal_endotherm
"other, patient with pulmonary disease",host_animal_endotherm_nasopharyngeal
"other, patient with pulmonary infections",host_animal_endotherm_nasopharyngeal
"other, peat-bog lake",water_fresh
"other, peat bog lake",water_fresh
"other, peatlands",soil_organic_peat
"other, penguin guano",host_animal_endotherm_feces
"other, permafront sediment",soil_organic_permafrost
"other, pesticide contaminated site",soil_contaminated
"other, petroleum contaminated groundwater",petroleum
"other, pharmaceutical clean room",built_environment_surfaces
"other, pharmaceutical clean room, food",built_environment_surfaces
"other, pharmaceutical manufacturing site",built_environment_surfaces
"other, pharynx of a feral pigeon",host_animal_endotherm_nasopharyngeal
"other, pig",host_animal_endotherm
"other, pigeon excrement",host_animal_endotherm_feces
"other, pindari glacier",unclassified
"other, placental tissue of cow",host_animal_endotherm_intratissue
"other, plant litter",litter
"other, plant phyllosphere",host_plant_leaf-associated
"other, plant roots",host_plant_root-associated
"other, polluted sediments",sediment
"other, polycyclic aromatic hydrocarbon-degrading consortium",petroleum
"other, porpoise and grey seal",host_animal_endotherm
"other, potassium-bearing rock",rock
"other, poultry",host_animal_endotherm
"other, poultry houses",unclassified
"other, poultry litter",litter
"other, poultry litter compost",compost
"other, pre-cut lettuce",food
"other, prehistoric paintings",unclassified
"other, pulp of gold-containing sufide concentrate",unclassified
"other, purified water",water_fresh
"other, rabbit",host_animal_endotherm
"other, radiated soil",soil
"other, raw milk ",milk
"other, raw milk cheeses",food
"other, reclassification of dactylosporangium variesporum",unclassified
"other, red sea coral",host_animal_ectotherm
"other, reef-building coral",host_animal_ectotherm
"other, rhizoplane",host_plant_root-associated
"other, rhizosphere of angelica polymorpha",host_plant_root-associated
"other, rhizosphere of legume",host_plant_root-associated
"other, rhizosphere of maize",host_plant_root-associated
"other, rhizosphere of pepper",host_plant_root-associated
"other, rhizosphere of triticum aestivum",host_plant_root-associated
"other, rhizosphere of willow roots",host_plant_root-associated
"other, rhizosphere soils of sesame",host_plant_root-associated
"other, rice-straw residue",litter
"other, rice-straw residue in a methanogenic reactor treating waste from cattle farms",litter
"other, rice field ",soil_agricultural
"other, rice seeds",host_plant
"other, ripe fig",food
"other, rock",rock
"other, rock soil",soil_mineral
"other, rocks",rock
"other, rodent hosts ",host_animal_endotherm
"other, roman catacomb",unclassified
"other, root nodule",host_plant_rootnodule
"other, root of a wattle tree",host_plant_root-associated
"other, roots of mangrove-associated wild rice",host_plant_root-associated
"other, roots of rice plants",host_plant_root-associated
"other, roots of spartina anglica",host_plant_root-associated
"other, rumen content of yak",host_animal_endotherm_rumen
"other, rumen fluid",host_animal_endotherm_rumen
"other, rumen of korean native cattle",host_animal_endotherm_rumen
"other, rumen of yak",host_animal_endotherm_rumen
"other, rusticles samples",unclassified
"other, rusty iron plate",unclassified
"other, rusty iron plates",unclassified
"other, saline-alkaline soil",soil_saline
"other, saline-alkane soil",soil_saline
"other, saline lake sediment",sediment_hypersaline
"other, saline soda lakes",water_fresh_alkaline
"other, salt-crust sample from salt lake",sediment_hypersaline
"other, salt crystal",sediment_hypersaline
"other, salt deposit",sediment_hypersaline
"other, salt fermented fish",food_fermented
"other, salt fermented food",food_fermented
"other, salt field",sediment_hypersaline
"other, salt lake sediment",sediment_hypersaline
"other, salt mine ",sediment_hypersaline
"other, salt mine sample",sediment_hypersaline
"other, salt mine sediment",sediment_hypersaline
"other, salted brown alga",food
"other, salted brown algae",food
"other, salted crab",food
"other, salted hide",unclassified
"other, saltern brine sediment",sediment_hypersaline
"other, saltwater sediment",sediment_marine
"other, sand snail",host_animal_ectotherm
"other, sandbank",sediment_marine
"other, sandstone",rock
"other, sandy permafrost",soil
"other, sandy sediment",sediment
"other, sauce from fish",food
"other, sawdust",litter
"other, sawdust of decayed tree",litter
"other, scalp wound",host_animal_endotherm
"other, scoria",rock
"other, sea-ice sample",water_marine_cold
