dsmz_list,dsmz_risk_category,A,B,C,D,E,F,G,H,I,overall_score
BIFIDOBACTERIUM DENTIUM,2,2,-,2,-,-,-,-,2,-,2
BILOPHILA WADSWORTHIA,2,2,-,2,-,-,-,-,2,-,2
BIOSTRATICOLA,1,-,-,-,-,-,-,-,-,-,1
BIZIONIA,1,-,-,-,-,-,-,-,-,-,1
BLASTOBACTER,1,-,-,1,-,-,-,-,1,-,1
BLASTOCHLORIS,1,-,-,1,-,-,-,-,1,-,1
BLASTOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
BLASTOMONAS,1,-,-,1,-,-,-,-,1,-,1
BLASTOPIRELLULA,1,-,-,1,-,-,-,-,-,-,1
BLAUTIA,1,-,-,-,-,-,-,-,-,-,1
BOGORIELLA,1,-,-,1,-,-,-,-,1,-,1
BORDETELLA AVIUM,2,2,-,2,-,2,-,-,2,2,2
BORDETELLA BRONCHISEPTICA,2,2,2,2,2,2  3,2,2,2,-,2
BORDETELLA HINZII,2,2,2,-,2,-,2,-,-,2,2
BORDETELLA HOLMESII,2,-,-,2,-,2,-,-,2,-,2
BORDETELLA PARAPERTUSSIS,2,2,2,2,2,2,2,2,2,,2
BORDETELLA PERTUSSIS,2,2,2,2,2,2,2,2,2,2,2
BORDETELLA TREMATUM,2,-,-,2,-,2,-,-,2,-,2
BORRELIA AFZELII,2,-,-,2,2,2,2,2,2,2,2
BORRELIA ANSERINA,-,2,-,2,2,2,2,2,2,2,2
BORRELIA BALTAZARDII,-,2,-,2,2,2,2,2,2,2,2
BORRELIA BISSETTII,2,-,-,2,2,2,2,2,-,2,2
BORRELIA BRASILIENSIS,-,2,-,2,2,2,2,2,2,2,2
BORRELIA BURGDORFERI,2,2,-,2,2,2,2,2,2,2,2
BORRELIA CALIFORNENSIS,2,-,-,2,2,2,2,2,-,2,2
BORRELIA CAUCASICA,-,2,-,2,2,2,2,2,2,2,2
BORRELIA CORIACEAE,-,2,-,2,2,2  3,2,2,2,2,2
BORRELIA CROCIDURAE,-,2,-,2,2,2,2,2,2,2,2
BORRELIA DUGESII,-,2,-,2,2,2,2,2,2,2,2
BORRELIA DUTTONII,-,2,-,2,2,2,2,2,2,2,2
BORRELIA GARINII,-,2,-,2,2,2,2,2,2,2,2
BORRELIA GRAINGERI,2,-,2,-,2,2,2,2,2,2,2
BORRELIA GENOMOSPECIES 1,2,-,-,2,2,2,2,2,-,2,2
BORRELIA GENOMOSPECIES 2,2,-,-,2,2,2,2,2,-,2,2
BORRELIA HARVEYI,-,2,-,2,2,2,2,2,2,2,2
BORRELIA HERMSII,2,2,-,2,2,2,2,2,2,2,2
BORRELIA HISPANICA,-,2,-,2,2,2,2,2,2,2,2
BORRELIA MAZZOTTI,-,2,-,2,2,2,2,2,2,2,2
BORRELIA PARKERI,-,2,-,2,2,2,2,2,2,2,2
BORRELIA PERSICA,-,2,-,2,2,2,2,2,2,2,2
BORRELIA RECURRENTIS,-,2,-,2,2,2,2,2,2,2,2
BORRELIA SPIELMANII,2,-,-,-,2,2,2,2,-,2,2
BORRELIA THEILERI,-,2,-,2,2,2,2,2,-,2,2
BORRELIA TANULII,-,-,-,-,-,-,-,-,2,2,2
BORRELIA TILAE,-,2,-,2,2,2,2,2,-,2,2
BORRELIA TURICATAE,-,2,-,2,2,2,2,2,2,2,2
BORRELIA VALAISIANA,2,-,-,2,2,2,2,2,2,2,2
BORRELIA VENEZUELENSIS,-,2,-,2,2,2,2,2,2,2,2
BORRELIA VINCENTI,-,2,-,-,2,2,2,2,-,2,2
BOSEA,1,-,-,1,-,-,-,-,1,-,1
BOWMANELLA AALBORGI,1,-,-,-,-,-,-,-,-,-,1
BRACHYBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
BRACHYMONAS,1,-,-,1,-,-,-,-,1,-,1
BRACHYSPIRA AALBORG1,1,2,-,2,-,-,2,-,2,-,2
BRACHYSPIRA ALVINIPULLI,-,-,-,-,-,-,-,-,2,-,2
BRACHYSPIRA HYODYSENTERIA,1,2,-,2,-,-,2,-,2,-,2
BRACHYSPIRA INNOCENS,-,-,-,-,-,-,-,-,2,-,2
BRACHYSPIRA PILOSICOLI,-,-,-,-,-,-,-,-,2,-,2
BRACKIELLA OEDIPODIS,2,-,-,2,-,-,-,-,-,-,2
BRADYRHIZOBIUM,1,-,-,1,-,-,-,-,1,-,1
BRANHAMELLA,1,-,-,-,-,-,-,-,-,-,1
BRENNERIA,1,-,-,1,-,-,-,-,1,-,1
BREVIBACILLUS,1,-,1,1,-,-,-,-,1,-,1
BREVIBACTERIUM AVIUM,2,-,-,2,-,-,-,-,2,-,2
BREVIBACTERIUM MCBRELLNERI,2,2,-,2,-,-,-,-,2,-,2
BREVIBACTERIUM PAUCIVORANS,2,-,-,2,-,-,-,-,-,-,2
BREVIBACTERIUM SANGUINIS,2,-,-,2,-,-,-,-,-,-,2
BREVINEMA ANDERSONII,-,2,-,2,-,-,-,-,2,-,2
BREVUNDIMONAS DIMINUTA,2,2,1,2,-,-,-,-,2,-,1
BREVUNDIMONAS VESICULARIS,-,2,-,1,-,-,-,-,1,-,2
BROCHOTHRIX,1,-,1,1,-,-,-,-,1,-,1
BROOKLAWNIA,1,-,-,-,-,-,-,-,-,-,1
BRUCELLA ABORTUS,-,3,-,3,3,3,3,3,3,3,3
BRUCELLA CANIS,-,3,3,3,3,3,3,3,3,3,3
BRUCELLA MELITENSIS,-,3,-,3,3,3,3,3,3,3,3
BRUCELLA OVIS,-,3,-,3,-,3,-,-,3,-,3
BRUCELLA SUIS,-,3,-,3,3,3,3,3,3,3,3
BRYANTELLA,1,-,-,1,-,-,-,-,-,-,1
BUDVICIA,1,-,1,1,-,-,-,-,-,-,1
BULLEIDIA EXTRUCTA,2,-,-,2,-,-,-,-,-,-,2
BURKHOLDERIA AMBIFARIA,2,-,-,2,-,-,-,-,-,-,2
BURKHOLDERIA CENOCEPACIA,2,-,-,2,-,-,-,-,-,-,2
BURKHOLDERIA CEPACIA,2,-,2,2,-,OP,-,-,2,2,2
BURKHOLDERIA DOLOSA,2,-,-,2,-,-,-,-,-,-,2
BURKHOLDERIA MALLEI,-,3,-,3,3,3,3,3,3,3,3
BURKHOLDERIA MULTIVORANS,2,-,-,2,-,-,-,-,2,-,2
BURKHOLDERIA PSEUDOMALLEI,-,3,-,3,3,3,3,3,3,3,3
BURKHOLDERIA STABILIS,2,-,-,2,-,-,-,-,-,-,2
BURKHOLDERIA VIETNAMENSIS,2,-,-,2,-,-,-,-,2,-,2
BUTTIAUXELLA,1,-,-,1,-,-,-,-,1,-,1
BUTYRIBACTERIUM METHYLOTROPHICUM,2,-,-,-,-,-,-,-,-,-,2
BUTYRIVIBRIO,1,-,-,1,-,-,-,-,1,-,1
BYSSOPHAGA,1,-,-,-,-,-,-,-,-,-,1
,,,,,,,,,,,NA
CAEDIBACTER CARYOPHILA,-,2,-,1,-,-,-,-,1,-,1
CAEDIBACTER PARACONJUGATUS,-,2,-,1,-,-,-,-,1,-,1
CAEDIBACTER PSEUDONUTANS,-,2,-,1,-,-,-,-,1,-,1
CAEDIBACTER TAENIOSPIRALIS,-,2,-,1,-,-,-,-,1,-,1
CAENIBACTER VARICAEDENS,1,-,-,1,-,-,-,-,1,-,1
CAENIMONAS,1,-,-,-,-,-,-,-,1,-,1
CALDALKALIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
CALDANAEROBACTER,1,-,-,1,-,-,-,-,-,-,1
CALDANAEROBIUS,1,-,-,-,-,-,-,-,-,-,1
CALDEROBACTERIUM,1,-,-,-,-,-,-,-,1,-,1
CALDICELLULOSIRUPTOR,1,-,-,1,-,-,-,-,1,-,1
CALDILINEA,1,-,-,1,-,-,-,-,-,-,1
CALDITERRIVIBRIO,1,-,-,-,-,-,-,-,-,-,1
CALDITHRIX,1,-,-,1,-,-,-,-,-,-,1
CALDOCELLUM,1,-,-,-,-,-,-,-,-,-,1
CALORAMATOR,1,-,-,1,-,-,-,-,1,-,1
CALORANAEROBACTER,1,-,-,1,-,-,-,-,-,-,1
CALYMMATOBACTERIUM GRANULOMATIS,-,2,-,-,-,-,-,-,2,-,2
CAMINIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
CAMINIBACTER,1,-,-,1,-,-,-,-,-,-,1
CAMINICELLA,1,-,-,1,-,-,-,-,-,-,1
CAMPYLOBACTER COLI,-,2,2,2,2,2,2,2,2,2,2
CAMPYLOBACTER CONCISUS,2,2,-,2,2,2,2,2,2,2,2
CAMPYLOBACTER CURVUS,2,2,-,2,2,2,2,2,2,2,2
CAMPYLOBACTER FETUS,2,2,-,2,2,2  3,2,2,2,2,2
CAMPYLOBACTER GRACILIS,2,2,-,2,2,2,2,2,2,2,2
CAMPYLOBACTER HYOILEI,2,2,-,2,2,2,2,2,2,2,2
CAMPYLOBACTER JEJUNI,2,2,2,2,2,2,2,2,2,2,2
CAMPYLOBACTER LARI,2,2,-,2,2,2,2,2,2,2,2
CAMPYLOBACTER MUCOSALIS,2,2,-,2,2,2,2,2,2,2,2
CAMPYLOBACTER RECTUS,2,2,-,2,2,2,2,2,2,2,2
CAMPYLOBACTER SPUTORUM,2,2,-,2,2,2,2,2,2,2,2
CAMPYLOBACTER UPSALIENSIS,2,2,-,2,2,2,2,2,2,2,2
CAPNOCYTOPHAGA CANIMORSUS,2,2,-,2,-,-,-,-,2,-,2
CAPNOCYTOPHAGA CYNODEGMI,2,2,-,2,-,-,-,-,2,-,2
CAPNOCYTOPHAGA GINGIVALIS,2,2,-,2,-,-,-,-,2,-,2
CAPNOCYTOPHAGA GRANULOSA,2,2,-,2,-,-,-,-,2,-,2
CAPNOCYTOPHAGA HAEMOLYTICA,2,2,-,2,-,-,-,-,2,-,2
CAPNOCYTOPHAGA OCHRACEA,2,2,-,2,-,-,-,-,2,-,2
CAPNOCYTOPHAGA SPUTIGENA,2,2,2,2,-,-,-,-,2,-,2
CARBOPHILUS,1,-,-,`-,-,-,-,-,1,-,1
CARBOXYDIBRACHIUM,1,-,-,-,-,-,-,-,-,-,1
CARBOXYDOBRACHIUM,1,-,-,-,-,-,-,-,-,-,1
CARBOXYDOCELLA,1,-,-,1,-,-,-,-,-,-,1
CARBOXYDOTHERMUS,1,-,-,1,-,-,-,-,1,-,1
CARDIOBACTERIUM HOMINIS,2,2,-,2,2,2,2,2,2,2,2
CARDIOBACTERIUM VALVARUM,2,-,-,2,-,-,-,-,-,-,2
CARNOBACTERIUM MALTAROMATICUM,2,-,-,2,-,-,-,-,-,-,2
CARNOBACTERIUM PISCICOLA,-,-,-,-,-,2,-,-,1,-,1
CARYOPHANON,1,-,-,1,-,-,-,-,1,-,1
CASEOBACTER,1,-,-,-,-,-,-,-,-,-,1
CASTELLANIELLA,1,-,-,-,-,-,-,-,-,-,1
CATELLATOSPORA,1,-,-,1,-,-,-,-,1,-,1
CATELLIBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
CATELLICOCCUS,1,-,-,-,-,-,-,-,-,-,1
CATENIBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
CATENOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
CATENULISPORA,1,-,-,-,-,-,-,-,-,-,1
CATENULOPLANES,1,-,-,1,-,-,-,-,1,-,1
CATONELLA MORBI,-,2,-,2,-,-,-,-,2,-,2
CAULOBACTER,1,-,-,1,-,-,-,-,1,-,1
CEDECEA DAVISAE,2,2,-,2,-,-,-,-,2,-,2
CEDECEA LAPAGEI,2,2,-,2,-,-,-,-,2,-,2
CEDECEA NETERI,2,2,2,2,-,-,-,-,2,-,2
CELLULOMONAS DENVERENSIS,2,-,-,1,-,-,-,-,-,-,1
CELLULOMONAS HOMINS,-,-,-,-,-,-,-,-,2,-,2
CELLULOPHAGA,1,-,-,1,-,-,-,-,-,-,1
CELLULOSIMICROBIUM CELLULANS,-,-,1,1,-,-,-,-,-,-,1
CELLULOSIMICROBIUM FUNKEI,2,-,-,1,-,-,-,-,-,-,1
CELLVIBRIO,1,-,-,1,-,-,-,-,1,-,1
CENTIPEDA PERIODONTII,2,2,-,2,-,-,-,-,2,-,2
CERASIBACILLUS,1,-,-,1,-,-,-,-,-,-,1
CETOBACTERIUM CETI,-,-,-,2,-,-,-,-,1,-,1
CHAINIA,1,-,-,-,-,-,-,-,-,-,1
CHELATOBACTER,1,-,-,-,-,-,-,-,1,-,1
CHELATOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
CHIMAEREICELLA,1,-,-,-,-,-,-,-,-,-,1
CHITINIBACTER,1,-,-,1,-,-,-,-,-,-,1
CHITINIMONAS,1,-,-,1,-,-,-,-,-,-,1
CHITINOPHAGA,1,-,-,1,-,-,-,-,1,-,1
CHLAMYDIA PECORUM,-,2,-,2,-,-,-,-,2,-,2
CHLAMYDIA MURIDARUM,-,-,-,-,-,-,-,-,2,-,2
CHLAMYDIA TRACHOMATIS,2,2,-,2,2,2,2,2,2,2,2
CHLAMYDOPHILA CAVIAE,-,-,-,-,-,-,-,-,2,-,2
CHLAMYDOPHILA FELIS,-,-,-,-,-,-,-,-,2,-,2
CHLAMYDOPHILA PNEUMONIAE,2,2,-,2,2,2,2,2,2,2,2
CHLAMYDOPHILA PSITTACI,-,2  3,-,2,2  3,3,3,2  3,2  3,2  3,2
CHLOROBACULUM,1,-,-,1,-,-,-,-,-,-,1
CHLOROBIUM,1,-,-,1,-,-,-,-,1,-,1
CHLOROFLEXUS,1,-,-,1,-,-,-,-,1,-,1
CHONDROCOCCUS,1,-,-,-,-,-,-,-,-,-,1
CHONDROMYCES,1,-,-,1,-,-,-,-,1,-,1
CHROMATIUM,1,-,-,1,-,-,-,-,1,-,1
CHROMOBACTERIUM HAEMOLYTICUM,2,-,-,-,-,-,-,-,-,-,2
CHROMOBACTERIUM VIOLACEUM,2,2,-,2,-,-,-,-,2,-,2
CHROMOBACTERIUM VISCOSUM,2,-,-,-,-,-,-,-,-,-,2
CHROMOHALOBACTER,1,-,-,1,-,-,-,-,1,-,1
CHRYSEOBACTERIUM GLEUM,2,2,-,2,-,-,-,-,2,-,2
CHRYSEOBACTERIUM INDOLOGENES,2,2,-,2,-,-,-,-,2,-,2
CHRYSEOBACTERIUM MENINGOSEPTICUM,-,-,-,2,-,2,-,-,2,-,2
CHRYSEOBACTERIUM SCOPHTHALMUM,2,2,-,2,-,-,-,-,2,-,2
CHRYSEOMONAS LUTEOLA,2,2,-,-,-,-,-,-,-,-,2
CHRYSEOMONAS POLYTRICHA,-,2,-,-,-,-,-,-,-,-,2
CHRYSIOGENES,1,-,-,1,-,-,-,-,1,-,1
CITREICELLA,1,-,-,-,-,-,-,-,-,-,1
CITRICOCCUS,1,-,-,1,-,-,-,-,-,-,1
CITROBACTER AMALONATICUS,2,2,-,2,-,OP,-,-,2,-,2
CITROBACTER BRAAKII,2,2,1,2,-,OP,-,-,2,-,2
CITROBACTER FARMERI,2,2,-,2,-,OP,-,-,2,-,2
CITROBACTER FREUNDII,2,2,1,2,-,OP,-,-,2,-,2
CITROBACTER GILLENII,2,-,-,2,-,OP,-,-,-,-,2
CITROBACTER MURLINIAE,2,-,-,2,-,OP,-,-,-,-,2
CITROBACTER RODENTIUM,2,-,-,2,-,OP,-,-,2,-,2
CITROBACTER SEDLAKII,2,2,-,2,-,OP,-,-,2,-,2
CITROBACTER WERKMANII,2,2,-,2,-,OP,-,-,2,-,2
CITROBACTER YOUNGAE,2,2,-,2,-,OP,-,-,2,-,2
CLAVIBACTER MICHIGANENSIS,2,-,-,1,-,-,-,-,2,-,1
CLAVISPORANGIUM,1,-,-,-,-,-,-,-,-,-,1
CLOACIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
CLOACIBACTERIUM,1,-,-,-,-,-,-,-,-,-,1
CLOSTRIDIISALIBACTER,1,-,-,-,-,-,-,-,-,-,1
CLOSTRIDIUM ABSONUM,-,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM ALDENENSE,2,-,-,-,2,2,2,2,-,2,2
CLOSTRIDIUM ARGENTINENSE,-,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM BARATII,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM BIFERMENTANS,2,2,1,2,2,2,2,2,2,2,2
CLOSTRIDIUM BOTULINUM,-,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM BUTYRICUM,-,2,-,2,2,2,2,2,1,2,2
CLOSTRIDIUM CADAVERIS,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM CARNIS,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM CHAUVOEI,2,2,-,2,2,3,2,2,2,2,2
CLOSTRIDIUM CHITONIAE,2,-,-,-,2,2,2,2,-,2,2
CLOSTRIDIUM CLOSTRIDIOFORME,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM COLINUM,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM DIFFICILE,2,2,2,2,2,2,2,2,2,2,2
CLOSTRIDIUM FALLAX,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM FRIGIDICARNIS,-,-,-,-,-,-,-,-,2,2,2
CLOSTRIDIUM GHONII,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM GLYCOLICUM,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM HASTIFORME,-,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM HISTOLYTICUM,2,2,2,2,2,2,2,2,2,2,2
CLOSTRIDIUM INDOLIS,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM INNOCUUM,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM LIMOSUM,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM MALENOMINATUM,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM NOVYI,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM OROTICUM,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM PARAPUTRIFICUM,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM PERFRINGENS,2,2,2,2,2,2,2,2,2,2,2
CLOSTRIDIUM PILIFORME,-,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM PUTRIFICUM,2,2,-,-,2,2,2,2,2,2,2
CLOSTRIDIUM RAMOSUM,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM SCHIRMACHERENSE,2,-,-,-,2,2,2,2,-,2,2
CLOSTRIDIUM SEPTICUM,2,2,2,2,2,3,2,2,2,2,2
CLOSTRIDIUM SORDELLII,2,2,2,2,2,2,2,2,2,2,2
CLOSTRIDIUM SPHENOIDES,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM SPOROGENES,2,2,1,2,2,2,2,2,2,2,2
CLOSTRIDIUM SUBTERMINALE,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM SYMBIOSUM,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM TERTIUM,2,2,-,2,2,2,2,2,2,2,2
CLOSTRIDIUM TETANI,2,2,-,2,2,2,2,2,2,2,2
COBETIA,1,-,-,1,-,-,-,-,-,-,1
COHAESIBACTER,1,-,-,-,-,-,-,-,-,-,1
COHNELLA,1,-,-,-,-,-,-,-,-,-,1
COLLIMONAS,1,-,-,1,-,-,-,-,-,-,1
COLLINSELLA AEROFACIENS,2,2,-,2,-,-,-,-,-,-,2
COLWELLIA,1,-,-,1,-,-,-,-,1,-,1
COMAMONAS KERSTERSII,2,-,-,2,-,-,-,-,-,-,2
COMAMONAS TERRIGENA,2,2,-,2,-,-,-,-,2,-,2
COMAMONAS TESTOSTERONI,-,2,-,1,-,-,-,-,-,-,2
CONCHIFORMIBIUM,1,-,-,-,-,-,-,-,-,-,1
CONCHIFORMIBIUS,1,-,-,-,-,-,-,-,-,-,1
CONEXIBACTER,1,-,-,1,-,-,-,-,-,-,1
COPROTHERMOBACTER,1,-,-,1,-,-,-,-,1,-,1
CORALIOMARGARITA,1,-,-,-,-,-,-,-,-,-,1
CORALLOCOCCUS,1,-,-,-,-,-,-,-,-,-,1
CORIOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
CORYNEBACTERIUM ACCOLENS,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM AFERMENTANS,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM AMYCOLATUM,2,-,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM ARGENTORATENSE,2,-,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM AURIS,2,-,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM AURISCANIS,2,-,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM BETICOLA,-,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM BOVIS,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM CAMPOREALENSIS,2,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM CASPIUM,2,-,-,-,2,2,2,2,-,2,2
CORYNEBACTERIUM CONFUSUM,2,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM COYLEAE,2,-,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM CYSTITIDIS,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM DIPHTERIAE,2,2,2,2,2,2,2,2,2,2,2
CORYNEBACTERIUM FALSENII,2,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM FELINUM,2,-,-,-,2,2,2,2,-,2,2
CORYNEBACTERIUM FRENEYI,2,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM GLUCURONOLYTICUM,2,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM HOAGII,-,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM IMITANS,2,-,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM JEIKEIUM,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM MACGINLEYI,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM MASTITIDIS,2,-,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM MATRUCHOTII,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM MINUTISSIMUM,2,2,2,2,2,2,2,2,2,2,2
CORYNEBACTERIUM MUCIFACIENS,2,-,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM MYCETOIDES,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM NIGRICANS,-,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM PHOCAE,-,-,-,-,-,-,-,-,2,2,2
CORYNEBACTERIUM PILOSUM,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM PROPINQUUM,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM PSEUDODIPHTERITICUM,2,2,1,2,2,2,2,2,2,2,2
CORYNEBACTERIUM PSEUDOTUBERCULOSIS,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM RENALE,2,2,2,2,2,2,2,2,2,2,2
CORYNEBACTERIUM RESISTENS,2,-,-,-,2,2,2,2,-,2,2
CORYNEBACTERIUM RIEGELII,2,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM SIMULANS,2,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM STRIATUM,2,2,1,2,2,2,2,2,2,2,2
CORYNEBACTERIUM SUICORDIS,2,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM SUNDSVALLENSE,2,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM TESTUDINORIS,2,-,-,-,2,2,2,2,-,2,2
CORYNEBACTERIUM THOMSSENII,2,-,-,2,2,2,2,2,-,2,2
CORYNEBACTERIUM TUBERCULOSTEARICUM,-,-,2,2,2,2,2,-,2,NA,2
CORYNEBACTERIUM TUSCANIENSE,2,-,-,-,2,2,2,2,-,2,2
CORYNEBACTERIUM ULCERANS,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM UREALYTICUM,2,2,-,2,2,2,2,2,2,2,2
CORYNEBACTERIUM XEROSIS,2,2,1,2,2,2,2,2,2,2,2
COUCHIOPLANES,1,-,-,1,-,-,-,-,1,-,1
COWDRIA RUMINANTIUM,-,2,-,-,-,3,-,-,2,-,2
COXIELLA BURNETII,-,3,-,3,3,3,3,3,3,3,3
CRABTREELLA,1,-,-,-,-,-,-,-,-,-,1
CRONOBACTER DUBLINENSIS,2,-,-,-,-,-,-,-,-,-,2
CRONOBACTER MALONATICUS,2,-,-,-,-,-,-,-,-,-,2
CRONOBACTER MUYTJENSII,2,-,-,-,-,-,-,-,-,-,2
CRONOBACTER SAKAZAKII,2,-,-,-,-,-,-,-,-,-,2
CRONOBACTER TURICENSIS,2,-,-,-,-,-,-,-,-,-,2
CROSSIELLA EQUI,2,-,-,2,-,-,-,-,-,-,2
CRUSTIBACTER,1,-,-,-,-,-,-,-,-,-,1
CRUSTIBACTERIUM,1,-,-,-,-,-,-,-,-,-,1
CRYOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
CRYPTANAEROBACTER,1,-,-,-,-,-,-,-,-,-,1
CRYPTOBACTERIUM PAUCULUS,1,-,-,1,-,-,-,-,-,-,1
CRYPTOSPORANGIUM,1,-,-,1,-,-,-,-,-,-,1
CUCUMIBACTER,1,-,-,-,-,-,-,-,-,-,1
CUPRIAVIDUS,2,-,-,-,-,-,-,-,-,-,2
CUPRIAVIDUS RESPIRACULI,2,-,-,-,-,-,-,-,-,-,2
CURTOBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
CURVIBACTER,1,-,-,-,-,-,-,-,-,-,1
CYCLOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
CYSTOBACTER,1,-,-,1,-,-,-,-,1,-,1
CYTOPHAGA ALLERGINAE,2,-,-,-,-,2,-,-,-,-,2
CYTOPHAGA COLUMNARIS,-,-,-,-,-,-,-,-,2,-,2
CYTOPHAGA PSYCHROPHILA,-,-,-,-,-,-,-,-,2,-,2
,,,,,,,,,,,NA
DAEGUIA,1,-,-,-,-,-,-,-,-,-,1
DASANIA,1,-,-,-,-,-,-,-,-,-,1
DECHLOROMONAS,1,-,-,1,-,-,-,-,-,-,1
DECHLOROSOMA,1,-,-,-,-,-,-,-,-,-,1
DEEFGEA,1,-,-,-,-,-,-,-,-,-,1
DEFERRIBACTER,1,-,-,1,-,-,-,-,1,-,1
DEFLUVIBACTER,1,-,-,-,-,-,-,-,-,-,1
DEHALOBACTER,1,-,-,1,-,-,-,-,-,-,1
DEHALOSPIRILLUM,1,-,-,-,-,-,-,-,-,-,1
DEINOBACTER,1,-,-,-,-,-,-,-,-,-,1
DEINOCOCCUS,1,-,1,1,-,-,-,-,1,-,1
DELEYA AQUAMARINA,1,2,-,-,-,-,-,-,-,-,1
DELFTIA ACIDOVORANS,2,-,1,2,-,-,-,-,-,-,2
DEMEQUINA,1,-,-,-,-,-,-,-,-,-,1
DEMETRIA,1,-,-,1,-,-,-,-,1,-,1
DENDROSPOROBACTER,1,-,-,1,-,-,-,-,-,-,1
DENITRATISOMA,1,-,-,-,-,-,-,-,-,-,1
DENITROBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
DENITROVIBRIO,1,-,-,1,-,-,-,-,-,-,1
DERMABACTER,1,-,-,1,-,-,-,-,1,-,1
DERMACOCCUS,1,-,-,1,-,-,-,-,1,-,1
DERMATOPHILUS CHELONAE,2,2,-,2,-,2,-,-,2,-,2
DERMATOPHILUS CONGOLENSIS,2,2,-,2,-,2  3,-,-,2,-,2
DERXIA,1,-,-,1,-,-,-,-,1,-,1
DESEMZIA,1,-,-,1,-,-,-,-,-,-,1
