genus, species, strain, growth_rate, growth_units, pH, temperature_C
Salmonella,enterica,Typhimurium,0.021,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.0635,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.09,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.0605,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.018,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.027,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.049,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.048,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.063,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.128,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.145,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.162,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.051,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.093,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.068,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.077,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.018,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.072,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.044,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.05,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.058,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.0985,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.089,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.144,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.0595,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.0765,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.0875,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.1035,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.0385,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.0285,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.0585,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.043,1/h,7.0,37.0
Salmonella,enterica,"Typhimurium LT2",0.743,1/h,,37.0
Salmonella,enterica,"Typhimurium flr-19",0.743,1/h,,37.0
Salmonella,enterica,"Typhimurium flr-191",0.743,1/h,,37.0
Salmonella,enterica,"Typhimurium CV241",0.495,1/h,,37.0
Hydrogenobacter,thermophilus,TK-6,0.33,1/h,,70.0
Streptomyces,Coelicolor,J802,0.0304078,1/h,7.2,30.0
Streptomyces,Coelicolor,J802,0.0272364,1/h,7.2,30.0
Streptomyces,Coelicolor,J802,0.0330142,1/h,7.2,30.0
Streptomyces,Coelicolor,J802,0.0345022,1/h,7.2,30.0
Streptomyces,Coelicolor,A3(2),1.38629,1/h,7.2,30.0
Streptomyces,Coelicolor,J802,0.365,1/h,,
Streptomyces,Coelicolor,J802,0.178,1/h,,
Streptomyces,Coelicolor,J802,0.193,1/h,,
Streptomyces,Coelicolor,J802,0.025,1/h,,
Streptomyces,Coelicolor,J802,0.193,1/h,,
Streptomyces,Coelicolor,J802,0.301,1/h,,
Streptomyces,Coelicolor,J802,0.11,1/h,,
Streptomyces,Coelicolor,J802,0.136,1/h,,
Streptomyces,Coelicolor,J802,0.114,1/h,,
Streptomyces,Coelicolor,J802,0.154,1/h,,
Streptomyces,Coelicolor,J802,0.0468,1/h,,
Streptomyces,Coelicolor,J802,0.257,1/h,,
Streptomyces,Coelicolor,J802,0.495,1/h,,
Streptomyces,Coelicolor,J802,0.462,1/h,,
Streptomyces,Coelicolor,J802,0.224,1/h,,
Streptomyces,Coelicolor,J802,0.165,1/h,,
Streptomyces,Coelicolor,J802,0.133,1/h,,
Streptomyces,Coelicolor,J802,0.239,1/h,,
Streptomyces,Coelicolor,J802,0.165,1/h,,
Streptomyces,Coelicolor,J845,0.016,1/h,,
Streptomyces,Coelicolor,J845,0.0636,1/h,,
Streptomyces,Coelicolor,J845,0.041,1/h,,
Streptomyces,Coelicolor,J845,0.231,1/h,,
Streptomyces,Coelicolor,J845,0.151,1/h,,
Streptomyces,Coelicolor,J845,0.495,1/h,,
Streptomyces,Coelicolor,J845,0.257,1/h,,
Streptomyces,Coelicolor,J846,0.21,1/h,,
Streptomyces,Coelicolor,J846,0.365,1/h,,
Streptomyces,Coelicolor,J846,0.248,1/h,,
Streptomyces,Coelicolor,J846,0.289,1/h,,
Streptomyces,Coelicolor,J846,0.347,1/h,,
Streptomyces,Coelicolor,J846,0.385,1/h,,
Streptomyces,Coelicolor,J846,0.102,1/h,,
Streptomyces,Coelicolor,J847,0.0715,1/h,,
Streptomyces,Coelicolor,J847,0.0707,1/h,,
Streptomyces,Coelicolor,J847,0.0924,1/h,,
Streptomyces,Coelicolor,J847,0.248,1/h,,
Streptomyces,Coelicolor,J847,0.173,1/h,,
Streptomyces,Coelicolor,J847,0.289,1/h,,
Streptomyces,Coelicolor,J847,0.21,1/h,,
Escherichia,coli,KO229,0.5493,1/h,6.7,37.0
Escherichia,coli,BL21[pACYC184],0.5871,1/h,6.7,37.0
Escherichia,coli,BL21[pACDdsA],0.5964,1/h,6.7,37.0
Escherichia,coli,BL21(DE3),0.457,1/h,,37.0
Escherichia,coli,BL21[pET-ASPP],0.4618,1/h,,37.0
Escherichia,coli,BL21[pET-28b(+)],0.4338,1/h,,37.0
Escherichia,coli,BL21_aspP-,0.4758,1/h,,37.0
Haemophilus,influenzae,Rd,1.167,1/h,,
Haemophilus,influenzae,Rd,,,,
Haemophilus,influenzae,Rd,,,,
Haemophilus,influenzae,Rd,,,,
Corynebacterium,glutamicum,"ATCC 13032",0.28,1/h,6.5,30.0
Corynebacterium,glutamicum,"ATCC 13032",0.36,1/h,6.5,30.0
Corynebacterium,glutamicum,"ATCC 13032",0.32,1/h,6.5,30.0
Neurospora,crassa,OR74A,,,5.8,25.0
Mannheimia,succiniciproducens,MMBEL55E,0.62,1/h,7.0,
Mannheimia,succiniciproducens,MMBEL55E,0.72,1/h,7.0,
Mycobacterium,tuberculosis,H37Rv,0.0472,1/h,6.9,37.0
Zymomonas,mobilis,CP4,0.3,1/h,,30.0
Zymomonas,mobilis,11163,0.38,1/h,,30.0
Zymomonas,mobilis,"ATCC 10988",0.28,1/h,,30.0
Zymomonas,mobilis,CU1,0.33,1/h,,30.0
Staphylococcus,aureus,N315,0.55,1/h,,37.0
Acinetobacter,baumannii,"ATCC 19606",0.17,1/h,7.4,37.0
Acinetobacter,baumannii,"ATCC 19606",0.95,1/h,7.4,37.0
Cyanothece,"","ATCC 51142",0.12,1/h,7.7,30.0
Deinococcus,radiodurans,R1,0.224,1/h,,35.0
Deinococcus,radiodurans,R1,0.217,1/h,,35.0
Deinococcus,radiodurans,R1,0.21,1/h,,35.0
Deinococcus,radiodurans,R1,0.178,1/h,,35.0
Bacillus,amyloliquefaciens,B155,0.75,1/h,,37.0
Bacillus,amyloliquefaciens,B20,0.074,1/h,,37.0
Bacillus,amyloliquefaciens,B20,0.22,1/h,,37.0
Aspergillus,nidulans,conidia,,"",6.5,37.0
Aspergillus,nidulans,conidia,,"",6.5,28.0
Aspergillus,nidulans,A187,,"",7.0,37.0
Aspergillus,nidulans,creA,,"",7.0,37.0
Aspergillus,nidulans,TA1,,"",6.0,30.0
Aspergillus,niger,AB1.13,,"",5.5,30.0
Aspergillus,oryzae,A1560,0.184,"",6.0,30.0
Aspergillus,oryzae,CF1.1,,"",6.0,30.0
Aspergillus,oryzae,CF2.1,,"",6.0,30.0
Francisella,tularensis,-,,"",6.3,
Halobacterium,salinarum,R-1,,"",7.2,40.0
Ketogulonicigenium,vulgare,-,,"",7.0,30.0
Bacillus,megaterium,-,,"",7.0,30.0
Bacillus,megaterium,"KM Leu-",,"",7.5,30.0
Bacillus,megaterium,"KM Leu-",,"",7.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Cupriavidus,necator,H16,,"",6.0,30.0
Cupriavidus,necator,H16,,"",7.0,30.0
Cupriavidus,necator,H16,,"",8.0,30.0
Synechocystis,PCC6803,-,,"",7.5,30.0
Streptococcus,thermophilus,ST1,2.35,"",6.7,37.0
Streptococcus,thermophilus,ST7,1.9,"",6.7,37.0
Streptococcus,thermophilus,ST8,1.48,"",6.7,37.0
Streptococcus,thermophilus,ST11,2.2,"",6.7,37.0
Streptococcus,thermophilus,ST18,2.33,"",6.7,37.0
Streptococcus,thermophilus,ST21,1.6,"",6.7,37.0
Aspergillus,terreus,"ATCC 74135",0.052,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,terreus,"ATCC 74135",,"",6.5,28.0
Aspergillus,oryzae,A1560,,"",6.0,30.0
Aspergillus,oryzae,CF1.1,,"",6.0,30.0
Aspergillus,oryzae,CF2.1,,"",6.0,30.0
Aspergillus,niger,AB1.13,,"",5.5,30.0
Aspergillus,nidulans,A28,,"",6.0,30.0
Aspergillus,nidulans,A187,,"",7.0,37.0
Aspergillus,nidulans,creA,,"",7.0,37.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",,"",5.5,30.0
Candida,glabrata,"CTCC M202019",0.069,"",5.5,30.0
Candida,glabrata,WSH-IP303,0.049,"",5.5,30.0
Candida,glabrata,"CTCC M202019",0.059,"",5.5,30.0
Candida,glabrata,WSH-IP303,0.071,"",5.5,30.0
Thermotoga,maritima,"DSM 3109",,"",,88.0
Thermotoga,maritima,"DSM 3109",,"",6.3,85.0
Synechocystis,PCC6803,-,0.0187,"",7.8,30.0
Synechocystis,PCC6803,-,0.0185,"",7.8,30.0
Synechocystis,PCC6803,-,0.0204,"",7.8,30.0
Synechocystis,PCC6803,-,0.0167,"",7.5,31.0
Synechocystis,PCC6803,-,0.0166,"",7.5,31.0
Synechocystis,PCC6803,-,0.024,"",8.0,31.0
Synechocystis,PCC6803,-,0.0061,"",8.0,31.0
Synechocystis,PCC6803,psbA,0.024,"",8.0,31.0
Albidiferax,ferrireducens,"DMS 15236",,"",6.7,33.0
Albidiferax,ferrireducens,"DMS 15236",,"",6.7,33.0
Cupriavidus,necator,H16,,"",6.0,30.0
Cupriavidus,necator,H16,,"",7.0,30.0
Cupriavidus,necator,H16,,"",8.0,30.0
Streptococcus,thermophilus,ST1,0.6,"",6.7,37.0
Streptococcus,thermophilus,ST8,0.36,"",6.7,37.0
Streptococcus,thermophilus,ST11,0.56,"",6.7,37.0
Streptococcus,thermophilus,ST7,0.53,"",6.7,37.0
Streptococcus,thermophilus,ST18,0.7,"",6.7,37.0
Streptococcus,thermophilus,ST21,0.63,"",6.7,37.0
Neiserria,meningitidis,"serogroup B",,"",7.0,37.0
Neiserria,meningitidis,M1,,"",,37.0
Neiserria,meningitidis,M5,,"",,37.0
Neiserria,meningitidis,M6,,"",,37.0
Saccharomyces,cerevisiae,Y294,0.33,"",5.0,30.0
Saccharomyces,cerevisiae,"CBS 8066",,"",5.0,30.0
Saccharomyces,cerevisiae,"CBS 8066",,"",5.0,30.0
Saccharomyces,cerevisiae,T2-3D,0.45,"",5.0,30.0
Saccharomyces,cerevisiae,T2-3D,0.13,"",5.0,30.0
Saccharomyces,cerevisiae,"GG 570",0.13,"",5.0,30.0
Saccharomyces,cerevisiae,Y294[PGK1],0.28,"",5.0,30.0
Saccharomyces,cerevisiae,Y294[PGK1-XYN],0.25,"",5.0,30.0
Saccharomyces,cerevisiae,Y294[ADH2],0.29,"",5.0,30.0
Saccharomyces,cerevisiae,Y294[ADH2-XYN],0.27,"",5.0,30.0
Lactococcus,lactis,MG1363,0.28,"",7.2,30.0
Lactococcus,lactis,MG1363,0.32,"",7.2,30.0
Lactococcus,lactis,MG1363,0.31,"",7.2,30.0
Lactococcus,lactis,MG1363,0.29,"",7.2,30.0
Lactococcus,lactis,MG1363,0.36,"",7.2,30.0
Lactococcus,lactis,MG1363,0.73,"",7.2,30.0
Lactococcus,lactis,MG1614,0.63,"",7.2,30.0
Lactococcus,lactis,"NCDO 2118",0.55,"",7.2,30.0
Lactococcus,lactis,C2,0.63,"",7.2,30.0
Lactococcus,lactis,IL1403,0.64,"",7.2,30.0
Lactococcus,lactis,"NCDO 2118",1.0,"",6.6,30.0
Lactococcus,lactis,"NCDO 2118",0.6,"",6.6,30.0
Lactococcus,lactis,IL1403,0.5,"",6.6,30.0
Lactococcus,lactis,"NCDO 2118",0.23,"",6.6,30.0
Lactococcus,lactis,IL1403,0.37,"",6.6,30.0
Lactococcus,lactis,MG1363,,"",6.6,30.0
Lactococcus,lactis,MG1363,0.905,"",6.6,30.0
Lactococcus,lactis,MG1363,0.83,"",6.6,30.0
Lactococcus,lactis,MG1363,0.78,"",6.6,30.0
Lactococcus,lactis,MG1363,0.818,"",6.6,30.0
Lactococcus,lactis,MG1363,0.784,"",6.6,30.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Geobacter,metallireducens,-,,"",6.7,33.0
Methanosarcina,acetivorans,C2A,,"",8.0,35.0
Methanosarcina,barkeri,Fusaro,,"",8.0,35.0
Methanococcus,maripaludis,JJ,0.27,"",6.5,30.0
Methanococcus,maripaludis,S2,,"",6.5,37.0
Methanococcus,maripaludis,MM1020,,"",6.5,37.0
Methanococcus,maripaludis,MM1097,,"",6.5,37.0
Methanococcus,maripaludis,MM1145,,"",6.5,37.0
Methanococcus,maripaludis,MM1183,,"",6.5,37.0
Methanococcus,maripaludis,MM1184,,"",6.5,37.0
Methanococcus,maripaludis,MM707,,"",6.5,37.0
Methanococcus,maripaludis,MM708,,"",6.5,37.0
Methanococcus,maripaludis,MM709,,"",6.5,37.0
Pelagibacter,ubique,HTCC1062,0.0171,"",7.5,20.0
Pelagibacter,ubique,HTCC1062,0.0171,"",7.5,20.0
Pelagibacter,ubique,HTCC1062,0.0171,"",7.5,20.0
Pelagibacter,ubique,HTCC1062,0.0171,"",7.5,20.0
Pelagibacter,sp,HTCC7211,0.0146,"",7.5,20.0
Pelagibacter,sp,HTCC7211,0.0146,"",7.5,20.0
Pelagibacter,sp,HTCC7211,0.0146,"",7.5,20.0
Pelagibacter,sp,HTCC7211,0.0146,"",7.5,20.0
Pelagibacter,sp,HTCC7211,,"",7.5,20.0
Pelagibacter,sp,HTCC7211,,"",7.5,20.0
Pelagibacter,sp,HTCC7211,,"",7.5,20.0
Pelagibacter,sp,HTCC7211,,"",7.5,20.0
Pelagibacter,sp,HTCC7211,,"",7.5,20.0
Pelagibacter,sp,HTCC7211,,"",7.5,20.0
