Habitat	IJSEM year	article doi	16S rDNA accession number	DNA GC content (mol%)	oxygen preference	mean length (microns)	mean width (microns)	motility	spore production	Metabolism assays	Genus name	species name	strain name	pH optimum for growth	pH range at which growth occurred	temperature optimum for growth (degC)	temperature range at which growth occurred (degC)	optimal NaCl concentration for growth (%)	NaCl concentration range at which growth occurred (%)	pigment production	cell shape	cell aggregation	article first page	culture collection codes	Sole carbon substrate use	genome accession number	gram status	"If 'other' was chosen above, please enter a habitat below"	The paper included Biolog results
other	2008	10.1099/ijs.0.65516-0	AM774587 		aerobic	2	1	non-motile	no	"aesculin hydrolysis, oxidase positive"	Naxibacter	varians	CCUG 35299	7	5.5-11.5	25-30	15-37	0	0	yes	rod	chain	1680	CCM7478	"3-hydroxybutyrate, acetate, pyruvic acid (pyruvate)"		negative	clinical specimens and water samples	No
other	2008	10.1099/ijs.0.65516-0	AM774589		aerobic	2	1	non-motile	no	oxidase positive	Naxibacter	haematophilus	CCUG 38318	7	"5,5-10.5"	25-30	15-37	0	0	yes	rod	chain	1680	CCM7480	"acetate, adipate, pyruvic acid (pyruvate)"		negative	clinical specimens and water samples	No
other	2011	10.1099/ijs.0.015750-0	AM774638		facultative aerobe	1	0.35	non-motile		alkaline phosphatase	Mycoplasma	mucosicanis	1642T 			37	25-42				cocci		716	ATCCBAA-1895T|DSM22457T				dog -oral	No
other	2008	10.1099/ijs.0.65558-0	AM778124	74.3	aerobic	0.95	0.55	non-motile	no	"acid phosphatase, catalase positive, nitrate reduction to nitrite"	Saxeibacter	lacteus	DLS-10		5.1-9.1		Apr-37		Up to 3%	NA	rod	not indicated	906	KCTC=19285|DSM=19367	"arabinose, myo-inositol"		positive	Rock	No
soil	2008	10.1099/ijs.0.65666-0	AM778407	68	aerobic	0.9-1.7	0.5-0.6	non-motile	no	"oxidase positive, urease positive"	Ancylobacter	oerskovii	NS05	7	7	30	30-40	4	4	no	cocci	chain	1997	DSM18746|CCM7435	"arabinose, arabitol, fructose, fucose, galactose, glucose, malate, malonic acid (malonate), mannitol, rhamnose, sorbitol"		negative		No
seawater	2008	10.1099/ijs.0.65763-0	AM778449	69.3	NA	1.25	0.7	non-motile	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Microbacterium	aquimaris	JS54-2	7.5	06-Oct	27.5	15-37		10	yes	rod	not indicated	1616	KCTC=19124|DSM=19713	5-ketoguconate		positive		No
other	2008	10.1099/ijs.0.65613-0	AM778575		aerobic		0.36	non-motile	yes	"catalase positive, oxidase positive"	Kribbella	catacumbae	BC631	7	05-Oct	Oct-30	Oct-30	0	0	no	rod	chain	2090	DSM19601|JCM14968	"arabinose, fructose, galactose, glucose, glycerol, lactose, maltose, mannitol, mannose, rhamnose, sucrose, xylose"		positive	patinas in the catacombs	No
other	2008	10.1099/ijs.0.65613-0	AM778577		aerobic		0.51	non-motile	yes	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, oxidase positive"	Kribbella	sancticallisti	BC633	7	05-Oct	Oct-37	Oct-37	0-5	0-5	yes	rod	chain	2090	DSM19602|JCM14969	"arabinose, fructose, galactose, gluconic acid, glycerol, lactose, malate, maltose, mannitol, mannose, N-acetylgulcosamine, raffinose, rhamnose, sucrose, xylose"		positive	patinas in the catacombs	No
seawater	2008	10.1099/ijs.0.65575-0	AM778683	74	aerobic	2.4	0.7	non-motile	not indicated	"acid phosphatase, alkaline phosphatase, catalase positive, gelatinase"	Aeromicrobium	ponti	HSW-1	6.1	4.1-12.1	33.5	Apr-42		Up to 10%	yes	rod	not indicated	987	DSM=19178|KACC=20565	"arabinose, cellobiose, citric acide (citrate), galactose, glucose, maltose, salicin, xylose"		positive		No
hotspring	2008	10.1099/ijs.0.65570-0	AM778960	28.1	aerobic	2	0.5	"motile, but unspecified structure"	not indicated		Sulfurihydrogenibium	kristjanssonii	I6628	6.6	5.3-7.8	68	40-73	0	0-0.5	NA	rod	not indicated	1153	DSM=19534|OCM=901|ATCC=BAA-1535	succinic acid (succinate)		negative		No
"freshwater (river, lake, pond)"	2009	10.1099/ijs.0.009019-0	AM779061	60.54	anaerobic	7	0.9	flagella	not indicated		Phaeospirillum	chandramohanii	JA145T	7	6.5-8.0	30	25-30		0	yes	spirillum/corkscrew	chain	2089	JCM14933T|KCTC5703T|NBRC104961T	"acetate, malate, mannitol, pyruvic acid (pyruvate), valerate"		negative		No
other	2008	10.1099/ijs.0.65593-0	AM850678	59.9	microerophile		2.1	non-motile	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, oxidase positive, urease positive"	Singulisphaera	acidiphila	MOB10	5.6	4.2-7.5	23	Apr-33		Up to 0.5%	NA	cocci	clump	1186	ATCC=BAA-1392|VKM=B-2454|DSM=18658	"cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, rhamnose, ribose, salicin, sucrose, trehalose, xylose"		NA	Acidic wetlands	No
other	2008	10.1099/ijs.0.65853-0	AM882997 	40	facultative anaerobe	02-Apr	1	non-motile	no		Weissella	ghanensis	215	3.9	3.9	15-37	15-37	0	0	yes	rod	chain	2721	LMG24286|DSM19935	"cellobiose, fructose, glucose, maltose, mannose, N-acetylgulcosamine, salicin, trehalose"		positive	cocoa fermentation	No
wastewater	2009	10.1099/ijs.0.005322-0	AM883151	68.5	aerobic			non-motile	no	"aesculin hydrolysis, catalase positive, urease positive"	Gordonia	kroppenstedti	NP8-5T	06-Jul	06-Sep	25-30	Oct-30	<10	1-6.5		rod		1992	KCTC19360T|DSM45133T	"alanine, alanine, caprate, galactose, leucine, myo-inositol, ribose, serine, succinic acid (succinate), sucrose"		positive		No
other	2012	10.1099/ijs.0.038224-0	AM884145	58.7	aerobic			not indicated	no	"catalase positive, oxidase positive"	Aquamicrobium	segne	 1006/1	7.5			30			yes	rod	not indicated	2511	DSM=19714|CCUG=55250			negative	Biofilter	Yes
other	2012	10.1099/ijs.0.038224-0	AM884149	60.6	aerobic			not indicated	no	"catalase positive, oxidase positive"	Aquamicrobium	Ahrensii	905/1	7.5			30		Up to 7%	yes	rod	not indicated	2511	DSM=19730|CCUG=55251	"alanine, alpha-ketovaleric acid, asparagine, carnitine, fructose, gluconic acid, glucose, glutamic acid, glycerol, histidine, hyroxl-proline, lactate, leucine, methyl pyruvate, proline, propionic acid (propionate), serine, succinic acid (succinate), Tween 40, Tween 80, urocanic acid"		negative	Biofilter	Yes
other	2008	10.1099/ijs.0.2008/001164-0	AM884331		aerobic			not indicated	no	"arylsulfatase, catalase positive"	Mycobacterium	stomatepiae	T11	7	7	30	22-30	0	0	yes	rod	chain	2821	DSM45059|CIP109275|NCIMB14252			NA	striped barombi mbo cichlid	No
other	2009	10.1099/ijs.0.006205-0	AM884564	46.4	aerobic			not indicated	no	"catalase positive, oxidase positive"	Moraxella 	pluranimalium	 248-01T			29.5	"22-37 not 42,15,4"		<1.5	no	cocci	clump	671	CECT7295T|CCUG54913	"glucose, malate"		negative	animal 	No
other	2008	10.1099/ijs.0.65691-0	AM885866	44.5	aerobic	1.8	0.9	flagella	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Alteromonas	genovensis	LMG 24078	07-Aug	6-8.5	20	Apr-37	Feb-15	Feb-15	yes	rod	chain	2589	CCUG55340			negative	biofilm	No
other	2009	10.1099/ijs.0.005900-0	AM886059	66.4	anaerobic	1	0.55	"motile, but unspecified structure"	no	catalase positive	Gordonibacter	pamelaeae 	7-10-1-bT 			37				yes	ovoid/coccobacillus	not indicated	1405	DSM19378T|CCUG55131T	"arginine, dextrin, mannose, phenylalanine, pyruvic acid (pyruvate), pyruvic acid methyl ester"		positive	colon	Yes
other	2010	10.1099/ijs.0.021824-0	AM887756	57.3-59.3	aerobic	1.5-15	0.8-1	non-motile	no	"catalase positive, oxidase positive"	Granulicella	pectinivorans	TPB6011	3.8-4.5	3-7.5	18-22	Feb-33	0	0	yes	rod	chain	2951	VKMB-2509|DSM21001	"fructose, galactose, glucose, lactate, mannitol, succinic acid (succinate)"		negative	peat bogs	No
other	2010	10.1099/ijs.0.021824-0	AM887756	57.3-59.3	aerobic	1.5-10	0.8-1.5		no	catalase positive	Granulicella	aggregans	TPB6028	4.5	3-7.5	18-22	Feb-33	0	0	yes	rod	chain	2951	LMG25274|VKMB-2571	"fructose, galactose, gluconic acid, glucose, malate, maltose, mannose, pyruvic acid (pyruvate), rhamnose, ribose, salicin, sorbitol, sucrose"		negative	peat bogs	No
other	2010	10.1099/ijs.0.021824-0	AM887757	57.3-59.3	aerobic	1.5-15	0.8-1	non-motile	no	oxidase positive	Granulicella	pectinivorans	TPB6011	3.8-4.5	3-7.5	18-22	Feb-33	0	0	yes	rod	chain	2951	VKMB-2509|DSM21001	"acetate, cellobiose, fructose, galactose, gluconic acid, glucose, lactate, mannitol, mannose, melibiose, succinic acid (succinate), trehalose, xylose"		negative	peat bogs	No
other	2010	10.1099/ijs.0.021824-0	AM887758	57.3-59.3	aerobic	1.5-3.5	0.4-0.6	non-motile	no	"catalase positive, oxidase positive"	Granulicella 	paludicola	OB1010	4.2	3-7.5	18-22	Feb-33	0	0	yes	rod	chain	2951	DSM22464|LMG25275	"cellobiose, fructose, glucose, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, rhamnose, salicin, sucrose"		negative	peat bogs	No
other	2010	10.1099/ijs.0.021824-0	AM887759	57.3-59.3	aerobic	1.5-9	0.5-1	non-motile	no	catalase positive	Granulicella	rosea	TPO1014	4.5	3-7.5	18-22	Feb-33	0	0	yes	rod	chain	2951	DSM18704|ATCCBAA-1396	"fructose, glucose, malate, maltose, pyruvic acid (pyruvate), salicin, xylose"		negative	peat bogs	Yes
other	2012	10.1099/ijs.0.029629-0	AM887760	57.6	facultative anaerobe	2.0-10.0	0.4-0.6	flagella	no	"acid phosphatase, aesculin hydrolysis, alpha-galactosidase, catalase positive"	Telmatobacter	bradus	TPB6017	4.5-5.0	3.0-7.5	20-28	Apr-35	Not indicated	Up to 0.06%	yes	rod	not indicated	430	DSM=23630|VKM=B-2570	"arabinose, cellobiose, fructose, galactose, galcturonic acid, glucose, lactose, maltose, mannose, melibiose, pyruvic acid (pyruvate), raffinose, rhamnose, salicin, sucrose, xylose"		negative	Peat	No
soil	2009	10.1099/ijs.0.006643-0	AM889135		aerobic	1.5	0.4	non-motile	not indicated	"aesculin hydrolysis, catalase positive"	Leifsonia	kafniensis	KFC-22T	7.5	6.5-7.5	22	Apr-30	2.5	0-5	yes	rod	not indicated	1348	NCCB100216T|LMG24362T	"arabinose, arginine, asparagine, aspartic acid (aspartate), citric acide (citrate), fructose, galactose, glutamic acid, glycerol, malonic acid (malonate), raffinose, rhamnose, salicin, serine, xylitol"		positive		No
other	2008	10.1099/ijs.0.65844-0	AM900415	61.4	aerobic	1.4	1	flagella	no	"alkaline phosphatase, catalase positive, gelatinase, oxidase positive"	Leisingera	aquimarina	LMG 24366	6.5-8	5.5-9	30	Apr-37	01-Jul	01-Jul	yes	ovoid/coccobacillus	chain	2788	CCUG 55860			negative	marine electroactive biofilm	No
other	2008	10.1099/ijs.0.65715-0	AM900767	66-73	aerobic			"motile, but unspecified structure"	no	"aesculin hydrolysis, catalase positive, urease positive"	Leifsonia	pindariensis	PON10	7	7	28	Apr-35	0	0	yes	rod	chain	2229	LMG24222|MTCC9128	"arginine, asparagine, glucuronamide, glucose, glycerol, lactose, maltose, mannose, melibiose, ribose, salicin"		positive	Pindari glacier	No
other	2008	10.1099/ijs.0.65840-0	AM900832	69.4	aerobic	02-May	0.9-1.1	non-motile	no	"catalase positive, nitrate reduction to nitrite, oxidase positive"	Halorubrum	kocurii	BG-1	7.5	06-Sep	37	25-55	19.72	14.5-19.72	yes	rod	chain	2031	CECT7322|CGMCC1.7018|JCM14978	xylose		negative	saline lake	No
soil	2013	10.1099/ijs.0.049023-0	AM901295	60.2	NA	10	2	flagella	not indicated		Rhodospirillum	oryzae	JA318	7	06-Aug	30	25-40			yes	spirillum/corkscrew	chain	3050	KCTC5960|NBRC107573	"acetate, ethanol, formic acid, lactate, malate, mannitol, pyruvic acid (pyruvate), succinic acid (succinate), valerate"		negative		Yes
hypersaline environment	2008	10.1099/ijs.0.65790-0	AM905297	47.5	facultative anaerobe	1.5-7	0.9	"motile, but unspecified structure"	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, nitrate reduction to nitrite, oxidase positive"	Sediminibacillus	halophilus	EN8d	7.5	5-9.5	37	15-55	5-7.5	0-20	yes	rod	chain	1961	CCM7364|CECT7148|CGMCC1.6199|DSM18088	"arabinose, cellobiose, galactose, lactose"		positive		No
bioreactor	2008	10.1099/ijs.0.65843-0	AM905330	60.6-61.4	aerobic	1.3	1	flagella	no	"aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase, catalase positive, indole production, oxidase positive"	Ruegeria	scottomollicae	LMG 24367	6.5-8.5	05-Sep	30	Apr-40	Jan-15	Jan-15	yes	ovoid/coccobacillus	chain	2726	CCUG55858			negative	biofilm	No
other	2009	10.1099/ijs.0.001172-0	AM905388	44.9	facultative anaerobe	10	2	non-motile	not indicated	aesculin hydrolysis	Lactobacillus	fabifermentans	LMG24284T			23.5	Oct-37			no	rod	not indicated	7	DSM21115T	"arabinose, cellobiose, fructose, galactose, glucose, maltose, mannitol, mannose, ribose, salicin, sucrose, trehalose, xylose"		positive	cocoa bean fermentation	No
other	2009	10.1099/ijs.0.001172-0	AM905389	44.9	facultative anaerobe	2.5	0.9	non-motile	not indicated	aesculin hydrolysis	Lactobacillus	cacaonum	LMG24285T			23.5	Oct-37			no	rod	chain	7	DSM21116T	"cellobiose, fructose, glucose, maltose, mannose, salicin"		positive	cocoa bean fermentation 	No
other	2008	10.1099/ijs.0.65778-0	AM905849 	56.8-58	aerobic	1.2-3	0.8	"motile, but unspecified structure"	no	catalase positive	Acetobacter	fabarum	985	7	7	28	28-37	0	0	yes	ovoid/coccobacillus	chain	2180	R-36330|LMG24244|DSM19596	xylose		negative	cocoa bean heap fermentation	No
seawater	2009	10.1099/ijs.0.003541-0	AM909651	43.9	aerobic			non-motile	not indicated		Acinetobacter	venetianus	RAG-1T 			33.5	30-37				ovoid/coccobacillus	not indicated	1376	ATCC31012T|CCUG45561T|LMG19082T|LUH3904T|NIPH1925T	"acetate, arginine, citric acide (citrate), ethanol, histidine, leucine, malate, malonic acid (malonate)"		negative		No
other	2008	10.1099/ijs.0.65813-0	AM911047	45.9	aerobic	02-Oct	0.5	non-motile	no	"catalase positive, nitrate reduction to nitrite"	Aquisalibacillus	elongatus	SH4s	7.5	07-Oct	37	20-55	10	Mar-20	yes	rod	chain	1922	CCM7366|CECT7149|DSM18090	"acetate, butanol, ethanol, fucose, raffinose, sorbitol, valerate"		positive	saline lake	No
"freshwater (river, lake, pond)"	2009	10.1099/ijs.0.007617-0	AM921780	68.6		2	0.85	non-motile	not indicated		Rhodovulum	lacipunicei	JA322T	7.75	6.5-9.0	30	25-35	2.5	0-5 (< = 5)	yes	rod	not indicated	1615	NBRC104147T|KCTC5700T	"acetate, aspartic acid (aspartate), fructose, glucose, lactate, malate, pyruvic acid (pyruvate), succinic acid (succinate), valerate"		negative		No
other	2009	10.1099/ijs.0.65832-0	AM922112		facultative anaerobe			non-motile	no	"acid phosphatase, alkaline phosphatase, catalase positive, pyrazinamidase"	Corynebacterium	 ulceribovis	IMMIB L-1395T							NA	cocci	clump	34	DSM45146T|CCUG55727T	"glucose, leucine, Tween 80"		positive	cow udder	No
other	2009	10.1099/ijs.0.65837-0	AM922283		aerobic			flagella	not indicated	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, oxidase positive, urease positive"	Azospirillum	picis	IMMIB TAR-3T 			29.5	22-37			yes	rod		761	CCUG55431T|DSM19922T	"arabinose, arabitol, fructose, galactose, glucose, glycerol, mannitol, ribose, sorbitol, xylose"		negative	tar	No
plant associated	2009	10.1099/ijs.0.003327-0	AM930381		aerobic			not indicated	no		Mesorhizobium	metallidurans	STM 2683T	8	05-Nov		<37		<1		rod	clump	850	CFBP7147T|LMG24485T	"adonitol, alanine, alanine, arabinose, arabitol, cellobiose, citric acide (citrate), fructose, galactose, glucose, glutamic acid, glycerol, lactose, maltose, mannitol, mannose, proline, propionic acid (propionate), rhamnose, ribose, sorbitol, succinic acid (succinate), sucrose, trehalose, tryptophan, xylitol, xylose"		negative		No
other	2008	10.1099/ijs.0.2008/000414-0	AM930556		facultative anaerobe			non-motile	no	urease positive	Corynebacterium	sputi	IMMIB L-999	7	7	37	37	0	0	yes	rod	chain	2876	DSM45148|CCUG55795	glucose		positive	sputum of patient with pneumonia	No
soil	2009	DOI 10.1099/ijs.0.000521-0	AM931436		aerobic	0.7	1	"motile, but unspecified structure"	not indicated	catalase positive	Rhizobium	alamii	GBV016T				30		<0.1		rod	clump	367	CFBP7146T5|LMG24466T	"carnitine, formic acid, fucose, galactonic acid, glucose, maltose, mannitol, ribose, sucrose, xylose"		negative		Yes
other	2013	10.1099/ijs.0.040923-0	AM931441	39.5	aerobic	32	0.5	non-motile	yes	"acid phosphatase, aesculin hydrolysis, catalase positive, gelatinase, nitrate reduction to nitrite"	Pullulanibacillus	uraniitolerans	UG-2	4	03/06/14	37	Nov-49	3	0-6	no	rod	not indicated	158	DSM19429|LMG24205	"arabinose, asparagine, cellobiose, citric acide (citrate), fructose, galactose, gluconic acid, glucose, glutamic acid, glycerol, lactose, leucine, maltose, mannose, N-acetylgulcosamine, ornithine, proline, ribose, sucrose, trehalose, xylose"		positive	uranium mill tailing effluent	Yes
other	2013	10.1099/ijs.0.040923-0	AM931442	39.5	aerobic	32	0.5	non-motile	yes	"acid phosphatase, aesculin hydrolysis, catalase positive, gelatinase"	Pullulanibacillus	uraniitolerans	UG-3	4	03/06/14	37	Nov-49	3	0-6	no	rod	not indicated	158	DSM19429|LMG 24205	"arabinose, asparagine, cellobiose, citric acide (citrate), fructose, galactose, gluconic acid, glucose, glutamic acid, glycerol, lactose, leucine, maltose, mannose, N-acetylgulcosamine, ornithine, proline, ribose, sucrose, trehalose, xylose"		positive	uranium mill tailing effluent	Yes
other	2010	10.1099/ijs.0.012989-0	AM931709	68	aerobic	1.5-2.2	0.2-0.3	"motile, but unspecified structure"	not indicated	catalase positive	Arthrobacter	antarcticus	SPC26	7	04-Oct	22-25	Apr-25	0-6	0-8	yes	rod	chain	2263	LMG24542|NCCB100228	"arabinose, galactose, glucose, malonic acid (malonate), rhamnose, xylose"		positive	Antarctic marine sediment	No
marine sediment	2009	10.1099/ijs.0.006643-0	AM931710		aerobic	0.7	0.5	non-motile	not indicated	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, oxidase positive"	Leifsonia	antarctica	SPC-20T	7.5	6.0-7.5	22	Apr-25	2.5	0-5	yes	rod	not indicated	1348	NCCB100227T|LMG24541T	"arabinose, fructose, galactose, glucose, glycerol, lactose, mannitol, mannose, ribose, threonine, trehalose"		positive		No
other	2010	10.1099/ijs.0.011056-0	AM933371		anaerobic			flagella		"catalase positive, oxidase positive"	Campylobacter	Campylobacter subantarcticus	R-3023			37-42	30-42			no	rod	not indicated	815	LMG24377|CCUG38513			negative	birds	No
other	2010	10.1099/ijs.0.011056-0	AM933371	30	microerophile			flagella	not indicated	"catalase positive, oxidase positive"	Campylobacter	subantarcticus	R-3023				"37, 42"		2	no	rod	not indicated	815	LMG=24377|CCUG=38513			negative	Wild birds	No
hotspring	2009	10.1099/ijs.0.008771-0	AM934651	33.3	aerobic	0.3	5.25	non-motile	not indicated	"catalase positive, H2S production, nitrate reduction to nitrite, oxidase positive"	Flavobacterium	swingsii	WB 2.3-68T		7	24-26	Mar-26		<0	yes	rod	not indicated	2610	DSM21789T|CIP109868T	Tween 40		negative		Yes
hotspring	2009	10.1099/ijs.0.008771-0	AM934661	40.4	aerobic	0.5	2	non-motile	not indicated	"aesculin hydrolysis, catalase positive, H2S production, oxidase positive"	Flavobacterium	rivuli	WB3.3-2T	7	6.4-7.8	16-24	Apr-29	1	0-2	no	rod	not indicated	2610	DSM21788T5|CIP109865T	"acetate, arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, melibiose, methyl pyruvate, proline, threonine, trehalose, Tween 40"		negative		Yes
hotspring	2009	10.1099/ijs.0.008771-0	AM934666	43.3	aerobic	1.5	4	non-motile	not indicated	"aesculin hydrolysis, catalase positive, gelatinase, H2S production, oxidase positive"	Flavobacterium	subsaxonicum	WB 4.1-42T	7.2	7.0-7.6	24-28	Feb-38	0	0-2	yes	rod	not indicated	2610	DSM21790T|CIP109867T	"alanine, alanine, arabinose, cellobiose, fructose, fucose, galactose, glucose, lactate, maltose, mannose, melibiose, methyl beta-D-glucoside, ornithine, proline, rhamnose, serine, threonine"		negative		Yes
soil	2008	10.1099/ijs.0.2008/001008-0	AM934703		aerobic			not indicated	yes		Streptomyces	specialis	GW41-1564	7	7	25-30	25-30	0	0	yes	rod	chain	2602	DSM41924|CCM7499	"adonitol, arabitol, arginine, asparagine, gluconic acid, glucose, propionic acid (propionate), ribose, sorbitol, sucrose"		positive		No
seawater	2009	10.1099/ijs.0.005454-0	AM937002	35	anaerobic	1.6	0.4	flagella	no	H2S production	Nautilia	abyssi	PH1209T	6.25	5.0-8.0	60	33-65	3	2.0-4.0	NA	rod	not indicated	1310	DSM21157T|JCM15390T	"glutamic acid, urea"		negative		No
"freshwater (river, lake, pond)"	2013	10.1099/ijs.0.038281-0	AM937247	64.6	aerobic	2	0.4	non-motile	no	"alpha-galactosidase, gelatinase, nitrate reduction to nitrite, urease positive"	Brevibacterium	siliguriense	MB18	7	05-Dec	28	20-37	2	0-15	NA	rod	not indicated	511	DSM23676|LMG25772	"alanine, alanine, arginine, leucine, proline"		positive		Yes
soil	2009	10.1099/ijs.0.000968-0	AM939778	66.15	aerobic	2.35	0.45	"motile, but unspecified structure"	not indicated	catalase positive	Dyella 	marensis	CS5-B2T	7.6	5.1-9.1	33.5	20-37	1	0-2	NA	rod	not indicated	1397	JCM14959T|KCTC22144T	"arabinose, cellobiose, lactose, maltose, trehalose, xylose"		negative		No
human - mouth	2009	10.1099/ijs.0.001362-0	AM940019	49.3	aerobic				yes	"aesculin hydrolysis, catalase positive, urease positive"	Desmospora	activa	IMMIB L-1269T			40	30-50			no			454	DSM45169T|CCUG55916T	"acetate, alanine, alanine, arginine, citric acide (citrate), galactose, gelatin, gluconic acid, glucose, lactate, lactose, proline, serine, sorbitol, sucrose, trehalose, urea, xylose"		positive		No
other	2008	10.1099/ijs.0.2008/001610-0	AM940157		aerobic	0.8-1.2	0.5-0.6	non-motile	no	catalase positive	Agrococcus	versicolor	K 114/01	7	7	21	21	01-Feb	01-Feb	yes	ovoid/coccobacillus	chain	2833	DSM19812|LMG24386	"arabinose, dextrin, fructose, gluconic acid, glucose, glycerol, mannose, N-acetylgulcosamine, sucrose, trehalose, xylose"		positive	phyllosphere of potato plants	Yes
other	2008	10.1099/ijs.0.2008/001065-0	AM940158		aerobic	0.8-1.6	0.4-0.6	non-motile	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Leucobacter	tardus	K 70/01	7	7	21-30	Apr-37	0	0	yes	rod	chain	2574	DSM19811|LMG24388	"arabinose, fructose, gluconic acid, glucose, glycerol, lactate, mannitol, pyruvic acid (pyruvate), ribose, serine, sorbitol, succinic acid (succinate), Tween 40, Tween 80, xylose"		positive	phyllosphere of potato plants	Yes
food product	2009	10.1099/ijs.0.005983-0	AM940225дусAM940227	36.4	facultative anaerobe			non-motile	no		Leuconostoc	palmae	TMW 2.694T	6.8		30	15-45		<3		cocci	chain	943	DSM21144T|LMG24510T	"fructose, glucose, lactate, mannose, sucrose"		positive		No
seawater	2008	10.1099/ijs.0.2008/001206-0	AM940971		aerobic			non-motile	no	oxidase positive	Deinococcus	aquatilis	CCUG 53370	08-Sep	5.5-11	30	15-36	0	0	yes	rod	chain	2803	CCM7524	"acetate, glucose, maltose, N-acetylgulcosamine, sucrose"		positive		No
other	2010	10.1099/ijs.0.011171-0	AM941160	41.5	facultative anaerobe			non-motile	no		Streptococcus	Streptococcus porci	2923-03		9.6		37			NA	cocci	chain	104	CECT7374|CCUG55896	"lactose, melibiose, raffinose, trehalose"		positive	swine sources	No
other	2010	10.1099/ijs.0.011171-0	AM941160	41.5	facultative anaerobe		0.87	non-motile	no	alpha-galactosidase	Streptococcus	porci	2923-03		9.6		37			no	cocci	chain	104	CECT=7374|CCUG=55896	"cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, salicin, sucrose, trehalose, xylose"		positive	Pigs	No
other	2010	10.1099/ijs.0.011171-0	AM941160	41.5	facultative anaerobe		0.4	non-motile	no	alpha-galactosidase	Streptococcus	porci	2923-03		9.6		37			no	cocci	chain	104	CECT=7374|CCUG=55896	"cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, salicin, sucrose, trehalose, xylose"		positive	Pigs	No
other	2010	10.1099/ijs.0.004424-0	AM941388	62	aerobic	02/03/14	0.9-1.1	flagella	no	"catalase positive, H2S production, oxidase positive"	Halomonas	Halomonas stevensii	S18214	08/09/14	07/11/14	30-35	Oct-40	3-7.5	0-20	NA	rod	not indicated	369	KCTC22148|DSM21198	"alanine, proline, serine"		negative	renal care center	No
other	2010	10.1099/ijs.0.004424-0	AM941388	62	aerobic	2.5	1	flagella	no	"catalase positive, H2S production, oxidase positive, urease positive"	Halomonas	stevensii	S18214	8.5	07-Nov	32.5	Oct-40	5.25	0-20	yes	rod	not indicated	369	KCTC=22148|DSM=21198	"acetate, alanine, alanine, citric acide (citrate), ethanol, fructose, gluconic acid, glucose, glycerol, malate, maltose, myo-inositol, proline, propionic acid (propionate), serine, succinic acid (succinate), sucrose, trehalose"		negative	Human - blood	No
other	2010	10.1099/ijs.0.004424-0	AM941396	64.6	aerobic	02/03/14	0.9-1.0	flagella	no	"catalase positive, H2S production, oxidase positive"	Halomonas	Halomonas hamiltonii	W1025	08/09/14	06/10/14	30-35	Oct-40	5-7.5	0-20	yes	rod	not indicated	369	KCTC22154|DSM21196	"4-hydroxbenzoate, acetate, adipate, citric acide (citrate), ethanol, fructose, galactose, gluconic acid, glucose, glycerol, malate, malonic acid (malonate), maltose, mannitol, propionic acid (propionate), sorbitol, succinic acid (succinate), sucrose, trehalose"		negative	renal care center	No
other	2010	10.1099/ijs.0.004424-0	AM941396	64.6	aerobic	2.5	0.95	flagella	no	"catalase positive, H2S production, oxidase positive"	Halomonas	hamiltonii	W1025	8.5	06-Oct	32.5	Oct-40	6.25	0-20	yes	rod	not indicated	369	KCTC=22154|DSM=21196	"4-hydroxbenzoate, acetate, adipate, alanine, alanine, citric acide (citrate), ethanol, fructose, galactose, gluconic acid, glucose, glycerol, malate, malonic acid (malonate), mannitol, proline, propionic acid (propionate), serine, sorbitol, succinic acid (succinate), sucrose, trehalose"		negative	Human - blood	No
other	2010	10.1099/ijs.0.004424-0	AM941399	64.4-65.2	aerobic	2.75	0.8	flagella	no	"catalase positive, H2S production, nitrate reduction to nitrite, oxidase positive"	Halomonas	johnsoniae	T68687	8.5	07-Oct	32.5	Oct-40	2.5	0-20	yes	rod	not indicated	369	KCTC=22157|DSM=21197	"4-hydroxbenzoate, acetate, alanine, alanine, citric acide (citrate), ethanol, fructose, gluconic acid, glucose, glycerol, malate, maltose, mannitol, proline, propionic acid (propionate), serine, sorbitol, succinic acid (succinate), sucrose, trehalose"		negative	Human - blood	No
