,drugClassCount,disease,pathogenName,level,host,mlstCount,strainCount,taxonid,assCount
234,14.0,Reproductive system,Trueperella pyogenes,BSL-2,"Human,Mammal",0,25,1661,31
235,13.0,,Rothia dentocariosa,BSL-2,Human,0,17,2047,31
236,,,Mycoplasma capricolum,,"Human,Mammal",0,30,2095,31
237,12.0,,Neisseria subflava,,Human,4,26,28449,31
238,12.0,,Bacteroides pyogenes,BSL-2,"Human,Mammal",0,27,310300,31
239,13.0,,Vibrio mimicus,BSL-2,"Environment,Human",6,29,674,29
240,11.0,,Fusobacterium periodonticum,,Human,0,4,860,29
241,11.0,,Actinomyces naeslundii,BSL-2,Human,0,25,1655,29
242,11.0,,Parvimonas micra,,Human,0,23,33033,29
243,12.0,,Brucella canis,BSL-3,"Environment,Human,Mammal",3,24,36855,29
244,14.0,"Cardiovascular system,Central nervous system",Streptococcus pasteurianus,BSL-2,"Birds,Human,Mammal",3,24,197614,29
245,13.0,,Clostridium tertium,BSL-2,Human,0,24,1559,28
246,12.0,,Veillonella dispar,BSL-1,Human,0,8,39778,28
247,13.0,,Serratia rubidaea,,Human,0,19,61652,27
248,24.0,,Citrobacter sedlakii,BSL-2,Human,2,18,67826,27
249,20.0,,Achromobacter ruhlandii,BSL-2,Human,12,26,72557,27
250,18.0,,Edwardsiella tarda,BSL-2,Human,0,23,636,26
251,8.0,,Streptobacillus moniliformis,BSL-2,"Birds,Human,Rodent",0,26,34105,26
252,12.0,Digestive system,Corynebacterium jeikeium,BSL-2,Human,0,22,38289,26
253,11.0,Eye/Ear/Oral/Nasal,Corynebacterium macginleyi,BSL-2,Human,0,26,38290,26
254,13.0,,Veillonella atypica,BSL-1,Human,0,13,39777,26
255,12.0,,Burkholderia dolosa,BSL-2,Human,6,25,152500,26
256,11.0,,Bartonella quintana,BSL-2,"Human,Primate",0,25,803,25
257,23.0,Blood,Enterobacter cancerogenus,BSL-2,"Human,Mammal",2,21,69218,25
258,11.0,Digestive system,Neisseria flavescens,BSL-2,Human,4,11,484,24
259,15.0,,Vibrio furnissii,BSL-2,Human,0,23,29494,24
260,8.0,,Corynebacterium bovis,BSL-2,"Human,Mammal,Rodent",0,22,36808,24
261,12.0,Digestive system,Streptococcus infantis,BSL-2,"Human,Primate",0,21,68892,24
262,11.0,Bone/Joint,Eikenella corrodens,BSL-2,Human,0,21,539,23
263,16.0,,Staphylococcus nepalensis,BSL-2,"Mammal,Rodent",0,19,214473,23
264,12.0,Eye/Ear/Oral/Nasal,Streptococcus canis,BSL-2,"Human,Mammal",10,19,1329,22
265,13.0,Respiratory system,Prevotella denticola,BSL-2,Human,0,17,28129,22
266,14.0,,Corynebacterium pseudodiphtheriticum,BSL-2,Human,0,21,37637,22
267,19.0,,Pseudomonas oryzihabitans,BSL-2,"Birds,Human,Mammal",0,17,47885,22
268,23.0,Respiratory system,Citrobacter youngae,BSL-2,"Birds,Human",8,20,133448,22
269,14.0,,Prevotella timonensis,BSL-2,Human,0,8,386414,22
270,22.0,Blood,Enterobacter quasiroggenkampii,BSL-2,"Human,Primate",10,22,2497436,22
271,13.0,,Prevotella nigrescens,BSL-2,Human,0,9,28133,21
272,22.0,Blood,Acinetobacter schindleri,BSL-2,"Birds,Human",8,19,108981,21
273,13.0,,Streptococcus halichoeri,BSL-2,"Human,Mammal",0,21,254785,21
274,16.0,,Shewanella putrefaciens,BSL-2,Human,0,16,24,20
275,11.0,,Methylorubrum extorquens,,,0,18,408,20
276,12.0,Respiratory system,Rodentibacter pneumotropicus,BSL-2,"Mammal,Rodent",0,19,758,20
277,12.0,,Fusobacterium varium,BSL-2,"Human,Mammal",0,10,856,20
278,13.0,Respiratory system,Prevotella nanceiensis,BSL-2,Human,0,5,425941,20
279,19.0,,Burkholderia lata,BSL-1,Human,16,6,482957,19
280,12.0,Eye/Ear/Oral/Nasal,Streptococcus australis,BSL-2,"Human,Primate",0,17,113107,18
281,18.0,,Comamonas aquatica,,Human,0,8,225991,18
282,11.0,,Bartonella bacilliformis,BSL-2,Human,8,17,774,17
283,13.0,,Clostridium baratii,BSL-2,Human,0,14,1561,17
284,9.0,Digestive system,Helicobacter bilis,BSL-2,"Human,Mammal,Rodent",0,8,37372,17
285,,,Chlamydia pecorum,,Mammal,10,17,85991,17
286,10.0,,Campylobacter curvus,BSL-2,Human,11,14,200,16
287,10.0,,Rickettsia rickettsii,,Human,0,14,783,16
288,14.0,,Prevotella bivia,BSL-2,Human,0,8,28125,16
289,13.0,,Staphylococcus auricularis,BSL-1,"Birds,Human,Mammal",0,13,29379,16
290,14.0,,Corynebacterium propinquum,BSL-2,Human,0,14,43769,16
291,20.0,,Acinetobacter guillouiae,BSL-2,Human,6,16,106649,16
292,13.0,,Neisseria mucosa,BSL-2,Human,6,12,488,15
293,10.0,,Tannerella forsythia,,"Human,Mammal",0,12,28112,15
294,13.0,,Prevotella buccalis,BSL-2,Human,0,6,28127,15
295,10.0,,Rickettsia conorii,,Human,0,13,781,14
296,14.0,,Arachnia propionica,BSL-2,"Human,Mammal",0,10,1750,14
297,20.0,,Bordetella trematum,BSL-2,Human,0,12,123899,14
298,23.0,,Enterobacter sichuanensis,BSL-2,Human,4,12,2071710,14
299,17.0,,Aeromonas sobria,BSL-2,Vertebrate,0,11,646,13
300,12.0,Respiratory system,Haemophilus parahaemolyticus,BSL-2,Human,0,9,735,13
301,9.0,,Rickettsia prowazekii,,Human,0,13,782,13
302,11.0,Eye/Ear/Oral/Nasal,Gemella haemolysans,,Human,0,10,1379,13
303,14.0,,Mycobacterium ulcerans,BSL-2,Human,6,11,1809,13
304,13.0,,Prevotella disiens,BSL-2,Human,0,6,28130,13
305,1.0,,Chlamydia pneumoniae,BSL-2,Human,3,6,83558,13
306,10.0,,Campylobacter sputorum,BSL-2,"Human,Mammal",4,12,206,12
307,10.0,,Fusobacterium ulcerans,BSL-2,"Birds,Human",0,6,861,12
308,12.0,,Clostridium novyi,BSL-2,"Birds,Human,Mammal",1,11,1542,12
309,12.0,,Leptospira meyeri,,,0,12,29508,12
310,8.0,,Nocardia nova,BSL-2,Human,1,12,37330,12
311,17.0,,Proteus penneri,BSL-2,"Birds,Human,Mammal",0,11,102862,12
312,20.0,Blood,Acinetobacter colistiniresistens,BSL-2,Human,6,12,280145,12
313,10.0,,Prevotella amnii,BSL-2,Human,0,5,419005,12
314,16.0,"Digestive system,Respiratory system",Streptococcus parasuis,BSL-2,"Human,Mammal",0,12,1501662,12
315,9.0,,Borrelia hermsii,,"Human,Rodent",2,9,140,11
316,11.0,Respiratory system,Legionella longbeachae,BSL-2,Human,0,9,450,11
317,13.0,,Actinomadura madurae,BSL-2,Human,0,11,1993,11
318,12.0,,Streptococcus alactolyticus,BSL-2,"Birds,Mammal",0,7,29389,11
319,9.0,,Corynebacterium minutissimum,BSL-2,Human,0,11,38301,11
320,14.0,,Burkholderia oklahomensis,BSL-2,Human,2,6,342113,11
321,12.0,,Sarcina ventriculi,BSL-1,"Human,Mammal,Primate",0,6,1267,10
322,14.0,Eye/Ear/Oral/Nasal,Corynebacterium xerosis,BSL-1,"Birds,Human,Mammal",0,7,1725,10
323,11.0,,Mycobacterium asiaticum,BSL-2,Primate,9,9,1790,10
324,16.0,Skin/Soft tissue,Staphylococcus condimenti,BSL-1,Human,0,8,70255,10
325,8.0,,Streptococcus pseudoporcinus,BSL-2,"Human,Mammal",0,8,361101,10
326,12.0,,Neisseria cinerea,BSL-1,Human,1,8,483,9
327,13.0,Central nervous system,Streptococcus porcinus,BSL-2,Mammal,0,8,1340,9
328,12.0,,Mycobacterium malmoense,BSL-2,Human,5,9,1780,9
329,12.0,Respiratory system,Mycobacterium xenopi,BSL-2,Human,4,9,1789,9
330,14.0,,Nocardia otitidiscaviarum,BSL-2,"Human,Rodent",0,9,1823,9
331,13.0,Respiratory system,Prevotella buccae,BSL-2,Human,0,7,28126,9
332,10.0,,Prevotella corporis,BSL-2,Human,0,4,28128,9
333,11.0,,Bartonella vinsonii,,Mammal,0,9,33047,9
334,13.0,,Nocardia brasiliensis,BSL-2,Human,0,8,37326,9
335,8.0,,Gemella sanguinis,,Human,0,6,84135,9
336,8.0,,Actinomyces urogenitalis,BSL-1,Human,0,5,103621,9
337,14.0,,Mycobacterium goodii,,Human,4,9,134601,9
338,21.0,Bone/Joint,Cedecea davisae,BSL-2,Human,0,7,158484,9
339,13.0,,Microbacterium hominis,BSL-2,Human,0,7,162426,9
340,21.0,Blood,Acinetobacter courvalinii,BSL-2,Human,2,9,280147,9
341,14.0,,Burkholderia latens,BSL-2,Human,3,8,488446,9
342,16.0,Digestive system,Streptococcus danieliae,BSL-2,Rodent,0,9,747656,9
343,12.0,,Myroides odoratus,,Human,0,8,256,8
344,9.0,,Ehrlichia chaffeensis,BSL-2,Human,0,8,945,8
345,11.0,,Clostridium cadaveris,BSL-2,"Human,Mammal",0,6,1529,8
346,13.0,,Nocardia asteroides,BSL-2,Human,0,8,1824,8
347,13.0,,Prevotella oris,BSL-2,Human,0,5,28135,8
348,14.0,,Clostridium disporicum,BSL-1,Human,0,3,84024,8
349,11.0,,Corynebacterium falsenii,BSL-2,"Birds,Human",0,6,108486,8
350,11.0,,Legionella jordanis,BSL-2,Human,0,7,456,7
351,11.0,,Moraxella nonliquefaciens,BSL-2,Human,0,6,478,7
352,12.0,,Haemophilus paraphrohaemolyticus,BSL-2,Human,0,4,736,7
353,10.0,,Prevotella loescheii,BSL-2,Mammal,0,4,840,7
354,10.0,,Fusobacterium gonidiaformans,,Human,0,2,849,7
355,8.0,,Streptococcus acidominimus,BSL-2,"Mammal,Rodent",0,6,1326,7
356,19.0,,Achromobacter piechaudii,BSL-2,Human,3,7,72556,7
357,20.0,"Blood,Respiratory system",Acinetobacter parvus,BSL-2,Human,2,7,134533,7
358,11.0,,Haemophilus aegyptius,BSL-2,Human,2,7,197575,7
359,13.0,,Bacteroides fluxus,BSL-1,Human,0,1,626930,7
360,24.0,Urinary system,Enterobacter chuandaensis,BSL-2,Human,0,7,2497875,7
361,14.0,,Aeromonas schubertii,BSL-2,Human,1,6,652,6
362,11.0,,Bartonella elizabethae,BSL-2,,0,5,807,6
363,9.0,,Clostridium septicum,,Birds,0,5,1504,6
364,9.0,,Listeria grayi,BSL-1,Human,0,5,1641,6
365,10.0,,Mycobacterium leprae,BSL-2,Human,2,5,1769,6
366,2.0,,Mycoplasma genitalium,BSL-2,Human,0,5,2097,6
367,10.0,,Prevotella oralis,BSL-2,Human,0,4,28134,6
368,10.0,,Prevotella oulorum,BSL-2,Human,0,3,28136,6
369,8.0,,Arcanobacterium haemolyticum,BSL-2,"Human,Mammal",0,6,28264,6
370,12.0,,Brucella neotomae,BSL-3,,1,4,29460,6
371,11.0,,Bartonella grahamii,BSL-2,,0,6,33045,6
372,10.0,,Nocardia abscessus,BSL-2,Human,0,6,120957,6
373,21.0,,Cedecea neteri,BSL-2,Human,0,6,158822,6
374,13.0,,Prevotella pleuritidis,BSL-2,Human,0,2,407975,6
375,22.0,,Enterobacter huaxiensis,BSL-2,Human,0,4,2494702,6
376,11.0,,Legionella bozemanae,BSL-2,Human,0,4,447,5
377,12.0,,Afipia felis,BSL-2,Human,0,4,1035,5
378,13.0,,Tsukamurella paurometabola,,,0,5,2061,5
379,10.0,Digestive system,Helicobacter canis,BSL-2,Mammal,0,4,29419,5
380,10.0,,Rickettsia amblyommatis,,,0,4,33989,5
381,11.0,,Moraxella atlantae,BSL-2,Human,0,5,34059,5
382,14.0,,Agromyces mediolanus,,,0,5,41986,5
383,10.0,,Prevotella dentalis,BSL-1,"Human,Mammal",0,2,52227,5
384,11.0,Bone/Joint,Clostridium haemolyticum,BSL-2,Human,0,4,84025,5
385,9.0,,Helicobacter canadensis,BSL-2,Human,0,2,123841,5
386,11.0,,Corynebacterium freneyi,BSL-2,Human,0,5,134034,5
387,11.0,,Prevotella baroniae,BSL-2,Human,0,3,305719,5
388,11.0,,Neisseria animaloris,BSL-2,Human,0,5,326522,5
389,10.0,,Actinomyces massiliensis,BSL-2,Human,0,2,461393,5
390,10.0,,Chlamydia gallinacea,,Birds,4,4,1457153,5
391,8.0,Central nervous system,Actinomyces israelii,BSL-2,Human,0,3,1659,4
392,12.0,,Mycobacterium scrofulaceum,BSL-2,Human,3,3,1783,4
393,13.0,Respiratory system,Mycobacterium simiae,BSL-2,Human,2,4,1784,4
394,13.0,Respiratory system,Porphyromonas asaccharolytica,BSL-2,Human,0,2,28123,4
395,13.0,,Corynebacterium genitalium,,Human,0,3,38288,4
396,10.0,,Rickettsia felis,,,0,4,42862,4
397,10.0,,Prevotella brevis,BSL-2,Mammal,0,4,83231,4
398,10.0,,Nocardia beijingensis,BSL-2,Human,0,4,95162,4
399,10.0,,Streptococcus sinensis,BSL-2,Human,0,3,176090,4
400,11.0,,Neisseria bacilliformis,BSL-2,Human,1,4,267212,4
401,10.0,,Prevotella multiformis,BSL-2,Human,0,2,282402,4
402,11.0,,Streptococcus halitosis,BSL-2,Human,0,4,2172545,4
403,9.0,,Borrelia parkeri,,,1,2,141,3
404,10.0,,Bacteroides zoogleoformans,BSL-2,Human,0,1,28119,3
405,9.0,,Borrelia crocidurae,,,1,3,29520,3
406,9.0,,Streptococcus milleri,BSL-2,"Human,Rodent",0,3,33040,3
407,10.0,,Rickettsia sibirica,,,0,3,35793,3
408,13.0,,Nocardia transvalensis,BSL-2,Human,0,3,37333,3
409,11.0,,Bartonella alsatica,,Mammal,0,3,52764,3
410,10.0,,Nocardia flavorosea,BSL-1,Human,0,3,53429,3
411,11.0,,Streptococcus pluranimalium,BSL-2,Mammal,0,3,82348,3
412,8.0,,Nocardia cerradoensis,BSL-1,Human,0,3,85688,3
413,11.0,Blood,Haemophilus quentini,,Human,1,3,123834,3
414,11.0,,Streptococcus massiliensis,BSL-2,,0,3,313439,3
415,10.0,,Rickettsia tamurae,,Arthropod,0,2,334545,3
416,12.0,,Brucella inopinata,BSL-3,Human,2,2,1218315,3
417,19.0,,Achromobacter animicus,BSL-1,,3,3,1389935,3
418,10.0,,Rickettsia australis,,,0,2,787,2
419,10.0,,Mycobacterium szulgai,BSL-2,Human,1,1,1787,2
420,1.0,,Mycoplasma pirum,,,0,2,2122,2
421,10.0,,Rickettsia slovaca,,,0,2,35794,2
422,9.0,,Nocardia carnea,BSL-2,,0,2,37328,2
423,9.0,,Borrelia duttonii,BSL-2,Arthropod,1,2,40834,2
424,9.0,,Enterococcus pseudoavium,BSL-2,Human,0,2,44007,2
425,11.0,,Actinomyces gerencseriae,BSL-2,,0,1,52769,2
426,8.0,,Streptococcus thoraltensis,BSL-2,,0,1,55085,2
427,13.0,,Corynebacterium mucifaciens,BSL-2,Human,0,2,57171,2
428,13.0,,Aeromonas popoffii,BSL-1,,0,2,70856,2
429,9.0,,Streptococcus viridans,BSL-2,Human,0,2,78535,2
430,11.0,,Bartonella koehlerae,BSL-2,Mammal,0,2,92181,2
431,10.0,,Afipia birgiae,BSL-2,,0,1,151414,2
432,9.0,,Streptococcus gallinaceus,BSL-2,,0,2,165758,2
433,10.0,,Afipia massiliensis,BSL-2,,0,2,211460,2
434,11.0,,Nocardia higoensis,BSL-1,Human,0,2,228599,2
435,9.0,,Streptococcus minor,BSL-2,Mammal,0,2,229549,2
436,10.0,,Prevotella bergensis,BSL-2,Human,0,1,242750,2
437,10.0,,Prevotella multisaccharivorax,BSL-2,,0,2,310514,2
438,10.0,,Prevotella conceptionensis,BSL-2,,0,1,340486,2
439,11.0,,Bartonella tamiae,,,0,2,373638,2
440,12.0,,Brucella microti,BSL-3,,1,1,444163,2
441,11.0,,Aeromonas diversa,BSL-2,Human,0,2,502790,2
442,10.0,,Streptococcus lactarius,BSL-1,Human,0,1,684066,2
443,9.0,,Rickettsia asembonensis,,,0,1,1068590,2
444,13.0,,Nocardia vulneris,BSL-2,Human,0,2,1141657,2
445,11.0,,Streptococcus gwangjuense,BSL-2,Human,0,2,1433513,2
446,,,Candidatus Mycoplasma haemohominis,,Human,0,1,1494318,2
447,9.0,,Borreliella mayonii,,Human,2,2,1674146,2
448,13.0,,Prevotella lascolaii,BSL-2,,0,1,1776379,2
449,9.0,,Streptococcus periodonticum,BSL-2,Human,0,2,2490633,2
450,21.0,,Enterobacter wuhouensis,BSL-2,Human,0,2,2529381,2
451,22.0,Blood,Enterobacter quasihormaechei,BSL-2,Human,0,2,2529382,2
452,21.0,,Enterobacter quasimori,BSL-2,Human,0,2,2838947,2
453,13.0,,Aeromonas eucrenophila,BSL-1,,0,1,649,1
454,9.0,,Rickettsia akari,,Human,0,1,786,1
455,9.0,,Neorickettsia sennetsu,BSL-2,,0,1,951,1
456,10.0,,Afipia clevelandensis,BSL-2,Human,0,1,1034,1
457,9.0,,Hathewaya histolytica,BSL-2,,0,1,1498,1
458,8.0,,Actinomyces bovis,BSL-2,Mammal,0,1,1658,1
459,1.0,,Mycoplasma testudinis,,,0,1,33924,1
460,10.0,,Rickettsia africae,,,0,1,35788,1
461,10.0,,Rickettsia helvetica,,Arthropod,0,1,35789,1
462,8.0,,Erysipelothrix tonsillarum,BSL-2,Mammal,0,1,38402,1
463,9.0,,Borrelia hispanica,,,1,1,40835,1
464,9.0,,Borrelia persica,,,1,1,44448,1
465,9.0,,Borrelia recurrentis,BSL-2,,1,1,44449,1
466,9.0,,Rickettsia aeschlimannii,,,0,0,45262,1
467,10.0,,Afipia broomeae,BSL-2,,0,1,56946,1
468,1.0,,Chlamydia felis,,,1,1,83556,1
469,1.0,,Chlamydia caviae,,,1,0,83557,1
470,10.0,,Rickettsia monacensis,,,0,1,109232,1
471,10.0,,Actinomadura pelletieri,BSL-2,,0,1,111805,1
472,,,Mycoplasma ovis,,Mammal,0,1,171632,1
473,9.0,,Borrelia turcica,,,1,1,229155,1
474,8.0,,Streptococcus devriesei,BSL-2,Mammal,0,1,231233,1
475,9.0,,Rickettsia asiatica,,Arthropod,0,1,238800,1
476,1.0,,Mycoplasma amphoriforme,,,0,1,273136,1
477,11.0,,Bartonella australis,,,0,1,388640,1
478,9.0,,Nocardia wallacei,BSL-2,Human,0,1,480035,1
479,10.0,,Prevotella dentasini,BSL-2,,0,1,589537,1
480,8.0,,Streptococcus hongkongensis,BSL-2,,1,1,910939,1
481,11.0,,Bartonella ancashensis,,Human,0,1,1318743,1
482,8.0,,Streptococcus pharyngis,BSL-2,,0,1,1562651,1
483,11.0,,Bartonella kosoyi,,,0,1,2133959,1
484,13.0,,Prevotella marseillensis,BSL-2,,0,1,2479840,1
485,10.0,,Prevotella vespertina,BSL-2,Human,0,1,2608404,1
486,11.0,,Bartonella gabonensis,,,0,1,2699889,1
487,,,Streptococcus sciuri,BSL-2,,0,0,272771,0
488,,,Candidatus Rickettsia kellyi,,,0,0,332615,0
489,,,Bartonella japonica,,,0,0,357761,0
490,,,Candidatus Rickettsia barbariae,,,0,0,500466,0
491,,,Borrelia microti,,,0,0,554134,0
492,,,Streptococcus dentasini,BSL-2,,0,0,1080072,0
493,,,Candidatus Rickettsia uralica,,,0,0,1654925,0
494,,,Candidatus Rickettsia jingxinensis,,,0,0,1903323,0
495,,,Candidatus Rickettsia leptotrombidium,,,0,0,1980020,0
496,,,Candidatus Rickettsia paranaensis,,,0,0,2608628,0
